0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.139,85.139,7.83477,0.05,0,1.86497,2.46977,0,0,4.47552,4.12444e+06,2.70226e+06,7.69196e+06,0,0,0,0,80.8192,79.791,5.13815,0,0,1.72511,1.12031,0,0,2.1168,8.57142e+06,3.61194e+06,1.47866e+07,0,0,0,0
85.139,85.139,8.1902,0.05,0,1.87669,2.47066,0,0.349496,4.47552,4.12444e+06,2.70226e+06,7.74028e+06,0,0,0,0,80.8192,79.791,6.40087,0,0,1.71468,1.12071,0,1.33282,2.1168,8.57142e+06,3.61194e+06,1.46973e+07,0,0,0,0
85.139,85.139,5.59339,0.05,0,1.87798,2.47155,0,0.351691,4.47552,4.12444e+06,2.70226e+06,7.74561e+06,0,0,0,0,80.8192,79.791,4.28899,0,0,1.71468,1.12111,0,1.32476,2.1168,8.57142e+06,3.61194e+06,1.46973e+07,0,0,0,0
85.139,85.139,8.48759,0.05,0,1.87927,2.47244,0,0.351933,4.47552,4.12444e+06,2.70226e+06,7.75093e+06,0,0,0,0,80.8192,79.791,4.89329,0,0,1.71468,1.12152,0,1.32476,2.1168,8.57142e+06,3.61194e+06,1.46973e+07,0,0,0,0
85.139,85.139,9.23884,0.05,0,2.12181,2.71457,0,0.352175,4.47552,4.12444e+06,2.70226e+06,8.75125e+06,0,0,0,0,80.8192,79.791,5.40078,0,0,1.8466,1.25383,0,1.32476,2.1168,8.57142e+06,3.61194e+06,1.5828e+07,0,0,0,0
85.139,85.139,11.5293,0.05,0,2.2551,2.71555,0,0.397626,4.47552,4.12444e+06,2.70226e+06,9.30101e+06,0,0,0,0,80.8192,79.791,8.20239,0,0,1.71473,1.25428,0,1.42668,2.1168,8.57142e+06,3.61194e+06,1.46977e+07,0,0,0,0
85.139,85.139,9.88697,0.05,0,2.25653,2.71652,0,0.422606,4.47552,4.12444e+06,2.70226e+06,9.3069e+06,0,0,0,0,80.8192,79.791,6.56805,0,0,1.71473,1.25473,0,1.3248,2.1168,8.57142e+06,3.61194e+06,1.46977e+07,0,0,0,0
85.139,85.139,14.1174,0.05,0,2.25795,2.7175,0,0.422873,4.47552,4.12444e+06,2.70226e+06,9.31279e+06,0,0,0,0,80.8192,79.791,9.73013,0,0,1.71473,1.25519,0,1.3248,2.1168,8.57142e+06,3.61194e+06,1.46977e+07,0,0,0,0
85.139,85.139,11.8086,0.05,0,1.9148,2.37389,0,0.42314,4.47552,4.12444e+06,2.70226e+06,7.89746e+06,0,0,0,0,80.8192,79.791,10.3678,0,0,1.53745,1.07835,0,1.3248,2.1168,8.57142e+06,3.61194e+06,1.31781e+07,0,0,0,0
85.139,85.139,8.54956,0.05,0,1.76994,2.37474,0,0.358833,4.47552,4.12444e+06,2.70226e+06,7.30003e+06,0,0,0,0,80.8192,79.791,9.17714,0,0,1.68354,1.07874,0,1.18783,2.1168,8.57142e+06,3.61194e+06,1.44303e+07,0,0,0,0
85.139,85.139,8.18859,0.05,0,1.7708,2.3756,0,0.331688,4.47552,4.12444e+06,2.70226e+06,7.30355e+06,0,0,0,0,80.8192,79.791,11.0572,0,0,1.68393,1.07913,0,1.3007,2.1168,8.57142e+06,3.61194e+06,1.44336e+07,0,0,0,0
85.139,85.139,8.65947,0.05,0,1.77165,2.37645,0,0.331848,4.47552,4.12444e+06,2.70226e+06,7.30707e+06,0,0,0,0,80.8192,79.791,10.2734,0,0,1.68431,1.07951,0,1.301,2.1168,8.57142e+06,3.61194e+06,1.4437e+07,0,0,0,0
85.139,85.139,10.1922,0.05,0,1.77251,2.37731,0,0.332008,4.47552,4.12444e+06,2.70226e+06,7.31059e+06,0,0,0,0,80.8192,79.791,11.4744,0,0,1.6847,1.0799,0,1.3013,2.1168,8.57142e+06,3.61194e+06,1.44403e+07,0,0,0,0
85.139,85.139,12.1935,0.05,0,1.86025,2.46505,0,0.332168,4.47552,4.12444e+06,2.70226e+06,7.6725e+06,0,0,0,0,80.8192,79.791,9.68566,0,0,1.72854,1.12374,0,1.3016,2.1168,8.57142e+06,3.61194e+06,1.4816e+07,0,0,0,0
85.139,85.139,10.5639,0.05,0,1.8754,2.46594,0,0.348611,4.47552,4.12444e+06,2.70226e+06,7.73496e+06,0,0,0,0,80.8192,79.791,7.69472,0,0,1.71468,1.12414,0,1.33547,2.1168,8.57142e+06,3.61194e+06,1.46973e+07,0,0,0,0
85.139,85.139,8.48951,0.05,0,1.87669,2.46682,0,0.351449,4.47552,4.12444e+06,2.70226e+06,7.74028e+06,0,0,0,0,80.8192,79.791,5.81298,0,0,1.71468,1.12455,0,1.32476,2.1168,8.57142e+06,3.61194e+06,1.46973e+07,0,0,0,0
85.139,85.139,7.3426,0.05,0,1.87798,2.46771,0,0.351691,4.47552,4.12444e+06,2.70226e+06,7.7456e+06,0,0,0,0,80.8192,79.791,4.56425,0,0,1.71468,1.12495,0,1.32476,2.1168,8.57142e+06,3.61194e+06,1.46973e+07,0,0,0,0
85.139,85.139,6.06861,0.05,0,1.84524,2.43457,0,0.351933,4.47552,4.12444e+06,2.70226e+06,7.61059e+06,0,0,0,0,80.8192,79.791,3.32385,0,0,1.69778,1.10846,0,1.32476,2.1168,8.57142e+06,3.61194e+06,1.45524e+07,0,0,0,0
85.139,85.139,6.23045,0.05,0,1.83065,2.43545,0,0.345799,4.47552,4.12444e+06,2.70226e+06,7.55039e+06,0,0,0,0,80.8192,79.791,4.60164,0,0,1.71365,1.10885,0,1.31171,2.1168,8.57142e+06,3.61194e+06,1.46884e+07,0,0,0,0
85.139,85.139,5.84663,0.05,0,1.83152,2.43632,0,0.343063,4.47552,4.12444e+06,2.70226e+06,7.55399e+06,0,0,0,0,80.8192,79.791,4.46715,0,0,1.71405,1.10925,0,1.32397,2.1168,8.57142e+06,3.61194e+06,1.46919e+07,0,0,0,0
85.139,85.139,5.10266,0.04,0,1.8324,2.4372,0,0.343227,4.47552,4.12444e+06,2.70226e+06,7.5576e+06,0,0,0,0,80.8192,79.791,3.95905,0,0,1.71445,1.10965,0,1.32428,2.1168,8.57142e+06,3.61194e+06,1.46953e+07,0,0,0,0
85.139,85.139,4.72656,0.04,0,1.94909,2.55373,0,0.343391,4.47552,4.12444e+06,2.70226e+06,8.03892e+06,0,0,0,0,80.8192,79.791,3.43783,0,0,1.77469,1.17006,0,1.32458,2.1168,8.57142e+06,3.61194e+06,1.52116e+07,0,0,0,0
85.139,85.139,4.88645,0.03,0,2.01042,2.55464,0,0.36526,4.47552,4.12444e+06,2.70226e+06,8.29187e+06,0,0,0,0,80.8192,79.791,3.05423,0,0,1.7147,1.17048,0,1.37113,2.1168,8.57142e+06,3.61194e+06,1.46974e+07,0,0,0,0
85.139,85.139,4.26893,0.02,0,2.01176,2.55556,0,0.376754,4.47552,4.12444e+06,2.70226e+06,8.29738e+06,0,0,0,0,80.8192,79.791,2.85599,0,0,1.7147,1.1709,0,1.32478,2.1168,8.57142e+06,3.61194e+06,1.46974e+07,0,0,0,0
85.139,85.139,4.0111,0.01,0,2.0131,2.55648,0,0.377004,4.47552,4.12444e+06,2.70226e+06,8.3029e+06,0,0,0,0,80.8101,79.791,2.72762,0,0,1.7147,1.17132,0,1.32478,2.1168,8.57142e+06,3.61194e+06,1.46974e+07,0,0,0,0
85.139,85.139,3.77197,0.01,0,2.01444,2.55739,0,0.377255,4.47552,4.12444e+06,2.70226e+06,8.30842e+06,0,0,0,0,80.7763,79.791,2.67735,0,0,1.7147,1.17174,0,1.32478,2.1168,8.57142e+06,3.61194e+06,1.46974e+07,0,0,0,0
85.139,85.139,3.48482,0.02,0,1.99286,2.5354,0,0.377505,4.47552,4.12444e+06,2.70226e+06,8.21943e+06,0,0,0,0,80.7294,79.791,2.99626,0,0,1.74774,1.20521,0,1.32478,2.1168,8.57142e+06,3.61194e+06,1.49807e+07,0,0,0,0
85.139,85.139,3.18175,0.02,0,2.02724,2.53631,0,0.373462,4.47552,4.12444e+06,2.70226e+06,8.3612e+06,0,0,0,0,80.6861,79.791,2.8833,0,0,1.71471,1.20564,0,1.35031,2.1168,8.57142e+06,3.61194e+06,1.46975e+07,0,0,0,0
85.139,85.139,3.01726,0.02,0,2.02858,2.53722,0,0.379904,4.47552,4.12444e+06,2.70226e+06,8.36674e+06,0,0,0,0,80.5825,79.791,2.5907,0,0,1.71471,1.20607,0,1.32479,2.1168,8.57142e+06,3.61194e+06,1.46975e+07,0,0,0,0
85.139,85.139,2.90931,0.02,0,2.02992,2.53813,0,0.380155,4.47552,4.12444e+06,2.70226e+06,8.37228e+06,0,0,0,0,80.4378,79.791,2.47642,0,0,1.71471,1.20651,0,1.32479,2.1168,8.57142e+06,3.61194e+06,1.46975e+07,0,0,0,0
85.139,85.139,2.53644,0.02,0,2.09052,2.59829,0,0.380407,4.47552,4.12444e+06,2.70226e+06,8.62221e+06,0,0,0,0,80.167,79.791,2.02046,0,0,1.7442,1.23643,0,1.32479,2.1168,8.57142e+06,3.61194e+06,1.49503e+07,0,0,0,0
85.139,85.139,2.56556,0.02,0,2.12137,2.59922,0,0.391763,4.47552,4.12444e+06,2.70226e+06,8.74948e+06,0,0,0,0,79.9204,79.791,2.17184,0,0,1.71472,1.23687,0,1.34757,2.1168,8.57142e+06,3.61194e+06,1.46976e+07,0,0,0,0
85.139,85.139,2.37043,0.02,0,2.12275,2.60016,0,0.397546,4.47552,4.12444e+06,2.70226e+06,8.75515e+06,0,0,0,0,79.5417,79.791,2.07261,0,0,1.71472,1.23732,0,1.3248,2.1168,8.57142e+06,3.61194e+06,1.46976e+07,0,0,0,0
84.9543,85.139,2.15737,0.02,0,2.12413,2.60109,0,0.397803,4.47552,4.12444e+06,2.70226e+06,8.76082e+06,0,0,0,0,79.213,79.791,1.80837,0,0,1.71472,1.23776,0,1.3248,2.1168,8.57142e+06,3.61194e+06,1.46976e+07,0,0,0,0
84.9509,85.139,2.48772,0.03,0,2.29928,2.7758,0,0.398061,4.47552,4.12444e+06,2.70226e+06,9.48324e+06,0,0,0,0,78.9093,79.791,2.44156,0,0,1.82133,1.34481,0,1.3248,2.1168,8.57142e+06,3.61194e+06,1.56114e+07,0,0,0,0
84.7638,85.139,2.42705,0.03,0,2.40732,2.77679,0,0.430885,4.47552,4.12444e+06,2.70226e+06,9.92885e+06,0,0,0,0,78.7103,79.791,2.38088,0,0,1.71476,1.34529,0,1.40716,2.1168,8.57142e+06,3.61194e+06,1.46979e+07,0,0,0,0
84.5036,85.139,2.3531,0.03,0,2.4088,2.77779,0,0.451132,4.47552,4.12444e+06,2.70226e+06,9.93494e+06,0,0,0,0,78.4896,79.791,2.31592,0,0,1.71476,1.34577,0,1.32483,2.1168,8.57142e+06,3.61194e+06,1.46979e+07,0,0,0,0
84.7783,85.139,2.88552,0.03,0,2.41028,2.77878,0,0.451409,4.47552,4.12444e+06,2.70226e+06,9.94104e+06,0,0,0,0,78.3118,79.791,2.60184,0,0,1.71476,1.34626,0,1.32483,2.1168,8.57142e+06,3.61194e+06,1.46979e+07,0,0,0,0
84.3754,85.139,2.20664,0.03,0,2.41176,2.77978,0,0.451686,4.47552,4.12444e+06,2.70226e+06,9.94713e+06,0,0,0,0,78.0665,79.791,2.28976,0,0,1.71476,1.34674,0,1.32483,2.1168,8.57142e+06,3.61194e+06,1.4698e+07,0,0,0,0
82.9348,85.139,1.0685,0.03,0,2.32839,2.69593,0,0.451963,4.47552,4.12444e+06,2.70226e+06,9.60329e+06,0,0,0,0,77.4054,79.791,1.76285,0,0,1.64994,1.2824,0,1.32483,2.1168,8.57142e+06,3.61194e+06,1.41423e+07,0,0,0,0
81.4291,85.139,0.943238,0.03,0,2.26502,2.6969,0,0.43634,4.47552,4.12444e+06,2.70226e+06,9.34192e+06,0,0,0,0,76.419,79.791,1.23938,0,0,1.71474,1.28286,0,1.27475,2.1168,8.57142e+06,3.61194e+06,1.46978e+07,0,0,0,0
79.7638,85.139,0.772643,0.03,0,2.26644,2.69786,0,0.424464,4.47552,4.12444e+06,2.70226e+06,9.3478e+06,0,0,0,0,75.638,79.791,0.986552,0,0,1.71474,1.28332,0,1.32481,2.1168,8.57142e+06,3.61194e+06,1.46978e+07,0,0,0,0
78.5043,85.139,1.26583,0.03,0,2.26787,2.69883,0,0.424731,4.47552,4.12444e+06,2.70226e+06,9.35368e+06,0,0,0,0,75.3039,79.791,1.30652,0,0,1.71474,1.28378,0,1.32481,2.1168,8.57142e+06,3.61194e+06,1.46978e+07,0,0,0,0
78.0126,85.139,2.09784,0.04,0,2.19955,2.63005,0,0.424998,4.47552,4.12444e+06,2.70226e+06,9.07191e+06,0,0,0,0,75.3276,79.791,2.75994,0,0,1.65565,1.22515,0,1.32481,2.1168,8.57142e+06,3.61194e+06,1.41913e+07,0,0,0,0
