0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2),1_Lago Paranoa(id3)
1,1,1,1
1,1,1,1
1,1,1,1
0.998999,1,1,1
0.996997,1,1,1
0.994995,1,1,1
0.996997,1,1,1
0.995996,1,1,1
0.995996,1,1,1
0.991992,1,1,1
0.987988,1,1,1
0.98999,1,1,1
0.98999,1,1,1
0.98999,0.998999,1,1
0.986987,1,1,1
0.988989,1,1,1
0.978979,1,1,1
0.977978,1,1,1
0.977978,1,1,1
0.96997,0.998999,1,1
0.95996,1,0.998999,1
0.948949,1,1,1
0.943944,1,1,1
0.92993,1,1,1
0.922923,0.998999,1,1
0.916917,0.998999,0.998999,1
0.908909,1,1,1
0.890891,1,1,1
0.883884,1,0.998999,1
0.882883,1,1,1
0.858859,1,1,1
0.840841,1,1,1
0.853854,1,1,1
0.856857,1,0.998999,1
0.837838,1,0.998999,1
0.82983,1,0.998999,1
0.837838,1,1,1
0.846847,1,1,1
0.838839,1,1,1
0.827828,1,0.997998,1
