Realization	utility	WSS	week	infra.
0	0	0	313	8
0	0	0	626	5
0	0	0	1043	9
0	0	0	1408	6
1	0	0	313	8
1	0	0	626	5
1	0	0	834	9
1	0	0	1148	6
1	0	0	1408	10
2	0	0	313	8
2	0	0	626	5
2	0	0	887	9
2	0	0	1200	6
2	0	0	1461	10
3	0	0	313	8
3	0	0	626	5
3	0	0	991	9
3	0	0	1356	6
3	0	0	1878	10
4	0	0	313	8
4	0	0	626	5
4	0	0	939	9
4	0	0	1252	6
4	0	0	1513	10
5	0	0	313	8
5	0	0	626	5
5	0	0	939	9
5	0	0	1252	6
5	0	0	1565	10
6	0	0	313	8
6	0	0	626	5
6	0	0	1304	9
6	0	0	1982	6
7	0	0	313	8
7	0	0	626	5
7	0	0	782	9
7	0	0	1095	6
7	0	0	1356	10
8	0	0	313	8
8	0	0	626	5
8	0	0	1304	9
9	0	0	313	8
9	0	0	626	5
9	0	0	939	9
9	0	0	1252	6
9	0	0	1513	10
10	0	0	313	8
10	0	0	626	5
10	0	0	678	9
10	0	0	991	6
10	0	0	1252	10
11	0	0	313	8
11	0	0	626	5
11	0	0	1304	9
11	0	0	1982	6
12	0	0	313	8
12	0	0	626	5
12	0	0	782	9
12	0	0	1095	6
12	0	0	1356	10
13	0	0	313	8
13	0	0	626	5
13	0	0	782	9
13	0	0	1095	6
13	0	0	1356	10
14	0	0	313	8
14	0	0	626	5
14	0	0	730	9
14	0	0	1043	6
14	0	0	1304	10
15	0	0	313	8
15	0	0	626	5
15	0	0	1304	9
16	0	0	313	8
16	0	0	626	5
16	0	0	1148	9
16	0	0	1669	6
17	0	0	313	8
17	0	0	626	5
17	0	0	991	9
17	0	0	1356	6
17	0	0	1774	10
18	0	0	313	8
18	0	0	626	5
18	0	0	678	9
18	0	0	991	6
18	0	0	1252	10
19	0	0	313	8
19	0	0	626	5
19	0	0	1095	9
19	0	0	1513	6
20	0	0	313	8
20	0	0	626	5
20	0	0	1252	9
20	0	0	1982	6
21	0	0	313	8
21	0	0	626	5
21	0	0	991	9
21	0	0	1304	6
21	0	0	1722	10
22	0	0	313	8
22	0	0	626	5
22	0	0	730	9
22	0	0	1043	6
22	0	0	1304	10
23	0	0	313	8
23	0	0	626	5
23	0	0	1252	9
23	0	0	1878	6
24	0	0	313	8
24	0	0	626	5
24	0	0	1252	9
24	0	0	1826	6
25	0	0	313	8
25	0	0	626	5
25	0	0	887	9
25	0	0	1200	6
25	0	0	1461	10
26	0	0	313	8
26	0	0	626	5
26	0	0	1043	9
26	0	0	1356	6
26	0	0	1982	10
27	0	0	313	8
27	0	0	626	5
27	0	0	782	9
27	0	0	1095	6
27	0	0	1356	10
28	0	0	313	8
28	0	0	626	5
28	0	0	1304	9
28	0	0	2035	6
29	0	0	313	8
29	0	0	626	5
29	0	0	1148	9
29	0	0	1722	6
29	0	0	1982	10
30	0	0	313	8
30	0	0	626	5
30	0	0	730	9
30	0	0	1043	6
30	0	0	1304	10
31	0	0	313	8
31	0	0	626	5
31	0	0	782	9
31	0	0	1095	6
31	0	0	1356	10
32	0	0	313	8
32	0	0	626	5
32	0	0	678	9
32	0	0	991	6
32	0	0	1252	10
33	0	0	313	8
33	0	0	626	5
33	0	0	834	9
33	0	0	1148	6
33	0	0	1408	10
34	0	0	313	8
34	0	0	626	5
34	0	0	678	9
34	0	0	991	6
34	0	0	1252	10
35	0	0	313	8
35	0	0	626	5
35	0	0	991	9
35	0	0	1304	6
35	0	0	1669	10
36	0	0	313	8
36	0	0	626	5
36	0	0	1043	9
36	0	0	1408	6
37	0	0	313	8
37	0	0	626	5
37	0	0	678	9
37	0	0	991	6
37	0	0	1252	10
38	0	0	313	8
38	0	0	626	5
38	0	0	887	9
38	0	0	1200	6
38	0	0	1461	10
39	0	0	313	8
39	0	0	626	5
39	0	0	939	9
39	0	0	1252	6
39	0	0	1513	10
40	0	0	313	8
40	0	0	626	5
40	0	0	678	9
40	0	0	991	6
40	0	0	1252	10
41	0	0	313	8
41	0	0	626	5
41	0	0	1304	9
41	0	0	1982	6
42	0	0	313	8
42	0	0	626	5
42	0	0	939	9
42	0	0	1252	6
42	0	0	1513	10
43	0	0	313	8
43	0	0	626	5
43	0	0	678	9
43	0	0	991	6
43	0	0	1252	10
44	0	0	313	8
44	0	0	626	5
44	0	0	834	9
44	0	0	1148	6
44	0	0	1408	10
45	0	0	313	8
45	0	0	626	5
45	0	0	1148	9
45	0	0	1669	6
46	0	0	313	8
46	0	0	626	5
46	0	0	730	9
46	0	0	1043	6
46	0	0	1304	10
47	0	0	313	8
47	0	0	626	5
47	0	0	730	9
47	0	0	1043	6
47	0	0	1304	10
48	0	0	313	8
48	0	0	626	5
48	0	0	834	9
48	0	0	1148	6
48	0	0	1408	10
49	0	0	313	8
49	0	0	626	5
49	0	0	834	9
49	0	0	1148	6
49	0	0	1408	10
50	0	0	313	8
50	0	0	626	5
50	0	0	678	9
50	0	0	991	6
50	0	0	1252	10
51	0	0	313	8
51	0	0	626	5
51	0	0	782	9
51	0	0	1095	6
51	0	0	1356	10
52	0	0	313	8
52	0	0	626	5
52	0	0	1252	9
52	0	0	1826	6
53	0	0	313	8
53	0	0	626	5
53	0	0	1252	9
53	0	0	1982	6
54	0	0	313	8
54	0	0	626	5
54	0	0	730	9
54	0	0	1043	6
54	0	0	1304	10
55	0	0	313	8
55	0	0	626	5
55	0	0	834	9
55	0	0	1148	6
55	0	0	1408	10
56	0	0	313	8
56	0	0	626	5
56	0	0	678	9
56	0	0	991	6
56	0	0	1252	10
57	0	0	313	8
57	0	0	626	5
57	0	0	1043	9
57	0	0	1408	6
58	0	0	313	8
58	0	0	626	5
58	0	0	834	9
58	0	0	1148	6
58	0	0	1408	10
59	0	0	313	8
59	0	0	626	5
59	0	0	678	9
59	0	0	991	6
59	0	0	1252	10
60	0	0	313	8
60	0	0	626	5
60	0	0	1148	9
60	0	0	1617	6
61	0	0	313	8
61	0	0	626	5
61	0	0	730	9
61	0	0	1043	6
61	0	0	1304	10
62	0	0	313	8
62	0	0	626	5
62	0	0	730	9
62	0	0	1043	6
62	0	0	1304	10
63	0	0	313	8
63	0	0	626	5
63	0	0	1252	9
63	0	0	1826	6
64	0	0	313	8
64	0	0	626	5
64	0	0	1043	9
64	0	0	1408	6
65	0	0	313	8
65	0	0	626	5
65	0	0	991	9
65	0	0	1304	6
65	0	0	1669	10
66	0	0	313	8
66	0	0	626	5
66	0	0	1252	9
66	0	0	1774	6
67	0	0	313	8
67	0	0	626	5
67	0	0	782	9
67	0	0	1095	6
67	0	0	1356	10
68	0	0	313	8
68	0	0	626	5
68	0	0	730	9
68	0	0	1043	6
68	0	0	1304	10
69	0	0	313	8
69	0	0	626	5
69	0	0	1095	9
69	0	0	1513	6
70	0	0	313	8
70	0	0	626	5
70	0	0	730	9
70	0	0	1043	6
70	0	0	1304	10
71	0	0	313	8
71	0	0	626	5
71	0	0	782	9
71	0	0	1095	6
71	0	0	1356	10
72	0	0	313	8
