0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.1408,85.1408,5.10069,1,0,2.1859,2.46977,0,0,4.6872,4.40887e+06,3.01713e+06,9.63736e+06,0,0,0,0,62.338,61.3098,5.66057,1,1,0.99154,1.12031,0,0,1.90512,9.16254e+06,4.03281e+06,9.08503e+06,0,0,0,0
85.1408,85.1408,4.63021,1,0,2.1865,2.47045,0,0.409638,4.6872,4.40887e+06,3.01713e+06,9.64002e+06,0,0,0,0,62.338,61.3098,5.35654,1,1,0.991814,1.12062,0,0.766064,1.90512,9.16254e+06,4.03281e+06,9.08753e+06,0,0,0,0
85.1408,85.1408,9.23627,1,0,2.18711,2.47113,0,0.409751,4.6872,4.40887e+06,3.01713e+06,9.64268e+06,0,0,0,0,62.338,61.3098,7.64716,1,1,0.992087,1.12092,0,0.766275,1.90512,9.16254e+06,4.03281e+06,9.09004e+06,0,0,0,0
85.1408,85.1408,12.9571,1,0,2.18771,2.47182,0,0.409864,4.6872,4.40887e+06,3.01713e+06,9.64534e+06,0,0,0,0,62.338,61.3098,8.48399,1,1,0.992361,1.12123,0,0.766486,1.90512,9.16254e+06,4.03281e+06,9.09254e+06,0,0,0,0
85.1408,85.1408,13.6817,1,0,2.40176,2.71366,0,0.409977,4.6872,4.40887e+06,3.01713e+06,1.0589e+07,0,0,0,0,62.338,61.3098,8.74031,1,1,1.10935,1.25341,0,0.766698,1.90512,9.16254e+06,4.03281e+06,1.01644e+07,0,0,0,0
85.1408,85.1408,10.0498,1,0,2.40242,2.71441,0,0.450089,4.6872,4.40887e+06,3.01713e+06,1.0592e+07,0,0,0,0,62.338,61.3098,6.38961,1,1,1.10965,1.25376,0,0.857081,1.90512,9.16254e+06,4.03281e+06,1.01672e+07,0,0,0,0
85.1408,85.1408,8.02148,1,0,2.40308,2.71515,0,0.450213,4.6872,4.40887e+06,3.01713e+06,1.05949e+07,0,0,0,0,62.338,61.3098,6.08446,1,1,1.10996,1.2541,0,0.857318,1.90512,9.16254e+06,4.03281e+06,1.017e+07,0,0,0,0
85.1408,85.1408,7.53033,1,0,2.40374,2.7159,0,0.450337,4.6872,4.40887e+06,3.01713e+06,1.05978e+07,0,0,0,0,62.338,61.3098,6.32772,1,1,1.11026,1.25445,0,0.857554,1.90512,9.16254e+06,4.03281e+06,1.01728e+07,0,0,0,0
85.1408,85.1408,5.45007,1,0,2.09963,2.3723,0,0.450461,4.6872,4.40887e+06,3.01713e+06,9.25701e+06,0,0,0,0,62.338,61.3098,4.51229,1,1,0.953768,1.07763,0,0.85779,1.90512,9.16254e+06,4.03281e+06,8.73893e+06,0,0,0,0
85.1408,85.1408,4.8038,1,0,2.10021,2.37295,0,0.393471,4.6872,4.40887e+06,3.01713e+06,9.25956e+06,0,0,0,0,62.338,61.3098,4.18554,1,1,0.954031,1.07793,0,0.736881,1.90512,9.16254e+06,4.03281e+06,8.74134e+06,0,0,0,0
85.1408,85.1408,5.97595,1,0,2.10079,2.37361,0,0.393579,4.6872,4.40887e+06,3.01713e+06,9.26211e+06,0,0,0,0,62.338,61.3098,5.02234,1,1,0.954294,1.07822,0,0.737084,1.90512,9.16254e+06,4.03281e+06,8.74375e+06,0,0,0,0
85.1408,85.1408,6.47849,1,0,2.10137,2.37426,0,0.393688,4.6872,4.40887e+06,3.01713e+06,9.26466e+06,0,0,0,0,62.338,61.3098,7.89665,1,1,0.954556,1.07852,0,0.737287,1.90512,9.16254e+06,4.03281e+06,8.74616e+06,0,0,0,0
85.1408,85.1408,7.21298,1,0,2.10195,2.37491,0,0.393796,4.6872,4.40887e+06,3.01713e+06,9.26722e+06,0,0,0,0,62.338,61.3098,6.73043,1,1,0.95482,1.07882,0,0.73749,1.90512,9.16254e+06,4.03281e+06,8.74857e+06,0,0,0,0
85.1408,85.1408,7.31507,1,0,2.17935,2.46237,0,0.393905,4.6872,4.40887e+06,3.01713e+06,9.60847e+06,0,0,0,0,62.338,61.3098,5.88333,1,1,0.993495,1.12251,0,0.737694,1.90512,9.16254e+06,4.03281e+06,9.10294e+06,0,0,0,0
85.1408,85.1408,11.1117,1,0,2.17995,2.46305,0,0.40841,4.6872,4.40887e+06,3.01713e+06,9.61112e+06,0,0,0,0,62.338,61.3098,8.18098,1,1,0.993769,1.12282,0,0.767574,1.90512,9.16254e+06,4.03281e+06,9.10545e+06,0,0,0,0
85.1408,85.1408,9.82723,1,0,2.18055,2.46372,0,0.408522,4.6872,4.40887e+06,3.01713e+06,9.61376e+06,0,0,0,0,62.338,61.3098,5.96113,1,1,0.994043,1.12313,0,0.767786,1.90512,9.16254e+06,4.03281e+06,9.10796e+06,0,0,0,0
85.1408,85.1408,6.9394,1,0,2.18115,2.4644,0,0.408635,4.6872,4.40887e+06,3.01713e+06,9.61641e+06,0,0,0,0,62.338,61.3098,5.61253,1,1,0.994317,1.12344,0,0.767998,1.90512,9.16254e+06,4.03281e+06,9.11047e+06,0,0,0,0
85.1408,85.1408,5.50532,1,0,2.15168,2.43111,0,0.408747,4.6872,4.40887e+06,3.01713e+06,9.48649e+06,0,0,0,0,62.338,61.3098,4.53438,1,1,0.979655,1.10688,0,0.768209,1.90512,9.16254e+06,4.03281e+06,8.97613e+06,0,0,0,0
85.1408,85.1408,4.83499,1,0,2.15227,2.43178,0,0.403225,4.6872,4.40887e+06,3.01713e+06,9.4891e+06,0,0,0,0,62.338,61.3098,3.78583,1,1,0.979925,1.10718,0,0.756882,1.90512,9.16254e+06,4.03281e+06,8.9786e+06,0,0,0,0
85.1408,85.1408,4.54792,1,0,2.15287,2.43245,0,0.403336,4.6872,4.40887e+06,3.01713e+06,9.49172e+06,0,0,0,0,62.338,61.3098,3.21839,1,1,0.980195,1.10749,0,0.75709,1.90512,9.16254e+06,4.03281e+06,8.98108e+06,0,0,0,0
85.1408,85.1408,4.17634,1,0,2.15346,2.43312,0,0.403447,4.6872,4.40887e+06,3.01713e+06,9.49433e+06,0,0,0,0,62.338,61.3098,3.09293,1,1,0.980465,1.10779,0,0.757299,1.90512,9.16254e+06,4.03281e+06,8.98355e+06,0,0,0,0
85.1408,85.1408,4.41993,1,0,2.25624,2.54924,0,0.403558,4.6872,4.40887e+06,3.01713e+06,9.94745e+06,0,0,0,0,62.338,61.3098,2.94423,1,1,1.03376,1.16801,0,0.757508,1.90512,9.16254e+06,4.03281e+06,9.47186e+06,0,0,0,0
85.1408,85.1408,4.05895,1,0,2.25686,2.54994,0,0.422818,4.6872,4.40887e+06,3.01713e+06,9.9502e+06,0,0,0,0,62.338,61.3098,3.01129,1,1,1.03404,1.16833,0,0.798682,1.90512,9.16254e+06,4.03281e+06,9.47447e+06,0,0,0,0
85.1408,85.1408,3.62668,1,0,2.25748,2.55064,0,0.422935,4.6872,4.40887e+06,3.01713e+06,9.95294e+06,0,0,0,0,62.338,61.3098,2.63481,1,1,1.03433,1.16865,0,0.798902,1.90512,9.16254e+06,4.03281e+06,9.47708e+06,0,0,0,0
85.1408,85.1408,3.46908,1,0,2.2581,2.55135,0,0.423051,4.6872,4.40887e+06,3.01713e+06,9.95568e+06,0,0,0,0,62.338,61.3098,2.60911,1,1,1.03461,1.16897,0,0.799122,1.90512,9.16254e+06,4.03281e+06,9.47969e+06,0,0,0,0
85.1408,85.1408,3.25468,1,0,2.25872,2.55205,0,0.423168,4.6872,4.40887e+06,3.01713e+06,9.95842e+06,0,0,0,0,62.338,61.3098,2.75014,1,1,1.0349,1.1693,0,0.799343,1.90512,9.16254e+06,4.03281e+06,9.4823e+06,0,0,0,0
85.1408,85.1408,2.64638,1,0,2.23911,2.52989,0,0.423285,4.6872,4.40887e+06,3.01713e+06,9.87195e+06,0,0,0,0,62.338,61.3098,2.61573,1,1,1.06437,1.20259,0,0.799563,1.90512,9.16254e+06,4.03281e+06,9.7523e+06,0,0,0,0
85.0037,85.1408,2.41221,1,0,2.23973,2.53059,0,0.419609,4.6872,4.40887e+06,3.01713e+06,9.87467e+06,0,0,0,0,62.338,61.3098,2.49053,1,1,1.06466,1.20292,0,0.82233,1.90512,9.16254e+06,4.03281e+06,9.75499e+06,0,0,0,0
84.6727,85.1408,2.19057,1,0,2.24034,2.53128,0,0.419725,4.6872,4.40887e+06,3.01713e+06,9.87739e+06,0,0,0,0,62.338,61.3098,2.28828,1,1,1.06495,1.20325,0,0.822556,1.90512,9.16254e+06,4.03281e+06,9.75768e+06,0,0,0,0
84.2689,85.1408,2.07172,1,0,2.24096,2.53198,0,0.41984,4.6872,4.40887e+06,3.01713e+06,9.88011e+06,0,0,0,0,62.338,61.3098,2.25671,1,1,1.06525,1.20358,0,0.822783,1.90512,9.16254e+06,4.03281e+06,9.76036e+06,0,0,0,0
83.8533,85.1408,2.10642,1,0,2.29389,2.59179,0,0.419956,4.6872,4.40887e+06,3.01713e+06,1.01135e+07,0,0,0,0,62.338,61.3098,2.42976,1,1,1.09158,1.23333,0,0.82301,1.90512,9.16254e+06,4.03281e+06,1.00016e+07,0,0,0,0
83.4864,85.1408,2.14713,1,0,2.29452,2.5925,0,0.429875,4.6872,4.40887e+06,3.01713e+06,1.01163e+07,0,0,0,0,62.338,61.3098,2.52105,1,1,1.09188,1.23367,0,0.843353,1.90512,9.16254e+06,4.03281e+06,1.00044e+07,0,0,0,0
82.8907,85.1408,1.90901,1,0,2.29516,2.59321,0,0.429994,4.6872,4.40887e+06,3.01713e+06,1.01191e+07,0,0,0,0,62.338,61.3098,2.38318,1,1,1.09218,1.23401,0,0.843585,1.90512,9.16254e+06,4.03281e+06,1.00071e+07,0,0,0,0
82.1454,85.1408,1.74879,1,0,2.29579,2.59393,0,0.430112,4.6872,4.40887e+06,3.01713e+06,1.01218e+07,0,0,0,0,62.338,61.3098,2.23263,1,1,1.09248,1.23435,0,0.843817,1.90512,9.16254e+06,4.03281e+06,1.00099e+07,0,0,0,0
81.0545,85.1408,1.50508,1,0,2.44979,2.76793,0,0.430231,4.6872,4.40887e+06,3.01713e+06,1.08008e+07,0,0,0,0,62.338,61.3098,2.27997,1,1,1.18686,1.341,0,0.84405,1.90512,9.16254e+06,4.03281e+06,1.08747e+07,0,0,0,0
79.6829,85.1408,1.21939,1,0,2.45046,2.76869,0,0.45909,4.6872,4.40887e+06,3.01713e+06,1.08038e+07,0,0,0,0,62.338,61.3098,2.29783,1,1,1.18719,1.34136,0,0.916971,1.90512,9.16254e+06,4.03281e+06,1.08777e+07,0,0,0,0
78.3415,85.1408,1.23495,1,0,2.45114,2.76945,0,0.459217,4.6872,4.40887e+06,3.01713e+06,1.08068e+07,0,0,0,0,62.338,61.3098,2.20309,1,1,1.18752,1.34173,0,0.917224,1.90512,9.16254e+06,4.03281e+06,1.08807e+07,0,0,0,0
77.562,85.1408,1.82152,1,0,2.45181,2.77022,0,0.459343,4.6872,4.40887e+06,3.01713e+06,1.08097e+07,0,0,0,0,62.338,61.3098,2.63913,1,1,1.18785,1.3421,0,0.917476,1.90512,9.16254e+06,4.03281e+06,1.08837e+07,0,0,0,0
77.4901,85.1408,2.60288,1,0,2.45249,2.77098,0,0.45947,4.6872,4.40887e+06,3.01713e+06,1.08127e+07,0,0,0,0,62.338,61.3098,2.97328,1,1,1.18817,1.34247,0,0.917729,1.90512,9.16254e+06,4.03281e+06,1.08867e+07,0,0,0,0
76.9138,85.1408,1.98802,1,0,2.37831,2.68717,0,0.459596,4.6872,4.40887e+06,3.01713e+06,1.04857e+07,0,0,0,0,62.2273,61.3098,2.75902,1,1,1.13132,1.27823,0,0.917982,1.90512,9.16254e+06,4.03281e+06,1.03657e+07,0,0,0,0
75.5944,85.1408,1.19604,1,0,2.37897,2.68791,0,0.445696,4.6872,4.40887e+06,3.01713e+06,1.04886e+07,0,0,0,0,62.338,61.3098,1.69819,1,1,1.13163,1.27859,0,0.874054,1.90512,9.16254e+06,4.03281e+06,1.03686e+07,0,0,0,0
74.6574,85.1408,1.61706,1,0,2.37963,2.68865,0,0.445819,4.6872,4.40887e+06,3.01713e+06,1.04915e+07,0,0,0,0,62.338,61.3098,2.08266,1,1,1.13194,1.27894,0,0.874295,1.90512,9.16254e+06,4.03281e+06,1.03714e+07,0,0,0,0
76.1252,85.1408,4.16503,1,0,2.38028,2.68939,0,0.445942,4.6872,4.40887e+06,3.01713e+06,1.04944e+07,0,0,0,0,62.338,61.3098,4.36737,1,1,1.13225,1.27929,0,0.874536,1.90512,9.16254e+06,4.03281e+06,1.03743e+07,0,0,0,0
75.2475,85.1408,1.74494,1,0,2.31943,2.62064,0,0.446065,4.6872,4.40887e+06,3.01713e+06,1.02261e+07,0,0,0,0,62.338,61.3098,2.06944,1,1,1.08045,1.22077,0,0.874777,1.90512,9.16254e+06,4.03281e+06,9.89969e+06,0,0,0,0
74.8153,85.1408,2.23154,1,0,2.32007,2.62136,0,0.434661,4.6872,4.40887e+06,3.01713e+06,1.02289e+07,0,0,0,0,62.338,61.3098,2.12085,1,1,1.08075,1.2211,0,0.834758,1.90512,9.16254e+06,4.03281e+06,9.90242e+06,0,0,0,0
75.4553,85.1408,3.31568,1,0,2.32071,2.62209,0,0.434781,4.6872,4.40887e+06,3.01713e+06,1.02317e+07,0,0,0,0,62.338,61.3098,3.93996,1,1,1.08105,1.22144,0,0.834988,1.90512,9.16254e+06,4.03281e+06,9.90515e+06,0,0,0,0
74.8808,85.1408,2.08792,1,0,2.32135,2.62281,0,0.434901,4.6872,4.40887e+06,3.01713e+06,1.02345e+07,0,0,0,0,62.338,61.3098,3.00685,1,1,1.08135,1.22177,0,0.835218,1.90512,9.16254e+06,4.03281e+06,9.90788e+06,0,0,0,0
76.1082,85.1408,3.97703,1,0,2.14711,2.42595,0,0.435021,4.6872,4.40887e+06,3.01713e+06,9.46636e+06,0,0,0,0,62.338,61.3098,3.66595,1,1,0.972996,1.09935,0,0.835448,1.90512,9.16254e+06,4.03281e+06,8.91512e+06,0,0,0,0
