0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2),0_Lago Paranoa(id3)
1,1,1,1
1,1,1,1
1,1,1,1
0.996997,0.998999,1,1
0.992993,0.998999,1,1
0.991992,1,1,1
0.995996,0.997998,1,1
0.994995,0.995996,1,1
0.994995,0.996997,1,1
0.98999,0.992993,1,1
0.986987,0.98999,1,1
0.987988,0.990991,1,1
0.986987,0.995996,1,1
0.988989,0.993994,1,1
0.985986,0.992993,1,1
0.986987,0.991992,1,1
0.977978,0.98999,1,1
0.974975,0.991992,1,1
0.975976,0.991992,1,1
0.967968,0.991992,1,1
0.957958,0.990991,0.997998,1
0.943944,0.988989,1,1
0.948949,0.993994,1,1
0.940941,0.98999,1,1
0.91992,0.98999,1,1
0.910911,0.991992,0.997998,1
0.898899,0.992993,1,1
0.887888,0.995996,1,1
0.876877,0.996997,0.998999,1
0.878879,0.995996,1,1
0.856857,0.997998,1,1
0.83984,0.994995,1,1
0.847848,0.991992,1,1
0.84985,0.993994,0.998999,1
0.832833,0.996997,0.998999,1
0.825826,0.997998,0.998999,1
0.833834,0.995996,1,1
0.843844,0.993994,1,1
0.838839,0.994995,1,1
0.822823,0.994995,0.997998,1
