0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.034967,0.0226336,0,0
1,1,0.0355919,0.0199265,0,0
1,1,0.036098,0.0202099,0,0
1,1,0.0366459,0.0205269,0,0
0.998999,1,0.0372339,0.0208458,0,0
1,1,0.0376462,0.0210767,0,0
1,1,0.0397521,0.0222556,0,0
1,1,0.0409905,0.022949,0,0
1,1,0.0416751,0.0233323,0,0
1,1,0.0422664,0.0236633,0,0
1,1,0.0429647,0.023997,0,0
0.998999,1,0.043497,0.0243105,0,0
1,1,0.0440195,0.0246448,0,0
1,1,0.0446455,0.0249649,0,0
1,1,0.0453499,0.025229,0,0
1,1,0.0457712,0.0254528,0,0
0.998999,1,0.046195,0.0256206,0,0
0.998999,1,0.0467443,0.0256924,0,0
1,1,0.0470924,0.0257464,0,0
0.996997,1,0.0475322,0.025813,0,0
1,0.998999,0.0479249,0.0258548,0,0
0.997998,1,0.0483332,0.0258845,0,0
0.998999,1,0.0486568,0.0259233,0,0
0.995996,0.998999,0.0489986,0.0259425,0,0
1,0.998999,0.0493148,0.0259568,0,0
0.996997,0.998999,0.0496103,0.0259617,0,0
0.997998,0.996997,0.0498515,0.0259635,0,0
0.996997,0.998999,0.0501269,0.0259635,0,0
0.995996,0.998999,0.0503498,0.0259635,0,0
0.995996,0.997998,0.0505491,0.0259764,0,0
0.998999,1,0.0507245,0.0259933,0,0
0.998999,0.998999,0.0508764,0.0259967,0,0
0.992993,0.996997,0.0510047,0.0259967,0,0
0.994995,0.997998,0.0511092,0.0260013,0,0
0.994995,1,0.0511897,0.0260061,0,0
0.993994,0.998999,0.0512462,0.0260013,0,0
0.991992,0.996997,0.0512399,0.0260061,0,0
0.996997,0.995996,0.0512498,0.0260061,0,0
0.994995,0.996997,0.0512375,0.0260061,0,0
0.992993,0.997998,0.0512024,0.0260061,0,0
