0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,60,2.13438e+07,-1.1096e+07,1.1096e+07,1.27459e+07
0,0,0,0,0,2.25268e+07,-1.70444e+06,1.70444e+06,1.27459e+07
0,0,0,0,0,2.25327e+07,-1.70317e+06,1.70317e+06,1.27459e+07
0,0,0,0,0,2.25386e+07,-1.70189e+06,1.70189e+06,1.27459e+07
0,0,0,0,0,2.46789e+07,-1.70062e+06,1.70062e+06,1.27459e+07
0,0,0,0,0,2.40966e+07,-1.32075e+06,1.32075e+06,1.27459e+07
0,0,0,0,0,2.41031e+07,-1.31932e+06,1.31932e+06,1.27459e+07
0,0,0,0,0,2.41096e+07,-1.3179e+06,1.3179e+06,1.27459e+07
0,0,0,0,0,2.11629e+07,-1.31647e+06,1.31647e+06,1.27459e+07
0,0,0,0,0,2.196e+07,-1.82392e+06,1.82392e+06,1.27459e+07
0,0,0,0,0,2.19656e+07,-1.82269e+06,1.82269e+06,1.27459e+07
0,0,0,0,0,2.19713e+07,-1.82147e+06,1.82147e+06,1.27459e+07
0,0,0,0,0,2.1977e+07,-1.82024e+06,1.82024e+06,1.27459e+07
0,0,0,0,0,2.27167e+07,-1.81901e+06,1.81901e+06,1.27459e+07
0,0,0,0,0,2.25286e+07,-1.69305e+06,1.69305e+06,1.27459e+07
0,0,0,0,0,2.25345e+07,-1.69177e+06,1.69177e+06,1.27459e+07
0,0,0,0,0,2.25404e+07,-1.69049e+06,1.69049e+06,1.27459e+07
0,0,0,0,0,2.22598e+07,-1.68922e+06,1.68922e+06,1.27459e+07
0,0,0,0,0,2.2341e+07,-1.73646e+06,1.73646e+06,1.27459e+07
0,0,0,0,0,2.23469e+07,-1.7352e+06,1.7352e+06,1.27459e+07
0,0,0,0,0,2.23527e+07,-1.73394e+06,1.73394e+06,1.27459e+07
0,0,0,0,0,2.33546e+07,-1.73268e+06,1.73268e+06,1.27459e+07
0,0,0,0,0,2.30927e+07,-1.55907e+06,1.55907e+06,1.27459e+07
0,0,0,0,0,2.30988e+07,-1.55774e+06,1.55774e+06,1.27459e+07
0,0,0,0,0,2.31049e+07,-1.55641e+06,1.55641e+06,1.27459e+07
0,0,0,0,0,2.3111e+07,-1.55508e+06,1.55508e+06,1.27459e+07
0,0,0,0,0,2.33067e+07,-1.55375e+06,1.55375e+06,1.27459e+07
0,0,0,0,0,2.31653e+07,-1.45751e+06,1.45751e+06,1.27459e+07
0,0,0,0,0,2.31714e+07,-1.45614e+06,1.45614e+06,1.27459e+07
0,0,0,0,0,2.31775e+07,-1.45477e+06,1.45477e+06,1.27459e+07
0,0,0,0,0,2.36833e+07,-1.4534e+06,1.4534e+06,1.27459e+07
0,0,0,0,0,2.35579e+07,-1.36731e+06,1.36731e+06,1.27459e+07
0,0,0,0,0,2.35641e+07,-1.36591e+06,1.36591e+06,1.27459e+07
0,0,0,0,0,2.35704e+07,-1.36451e+06,1.36451e+06,1.27459e+07
0,0,0,0,0,2.52157e+07,-1.3631e+06,1.3631e+06,1.27459e+07
0,0,0,0,0,2.47461e+07,-1.05541e+06,1.05541e+06,1.27459e+07
0,0,0,0,0,2.47528e+07,-1.05389e+06,1.05389e+06,1.27459e+07
0,0,0,0,0,2.47596e+07,-1.05236e+06,1.05236e+06,1.27459e+07
0,0,0,0,0,2.47663e+07,-1.05083e+06,1.05083e+06,1.27459e+07
0,0,0,0,0,2.38627e+07,-1.04931e+06,1.04931e+06,1.27459e+07
