0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
748217,0,0,0,1.871,1.87288e+07,748217,0,1.26222e+07
1.49632e+06,0,0,0,0,1.87354e+07,748098,0,1.26222e+07
2.24429e+06,0,0,0,0,1.8742e+07,747979,0,1.26222e+07
2.99215e+06,0,0,0,0,1.87485e+07,747860,0,1.26222e+07
3.69665e+06,0,0,0,0,2.1138e+07,704497,0,1.26222e+07
4.40102e+06,0,0,0,0,2.11453e+07,704365,0,1.26222e+07
5.10525e+06,0,0,0,0,2.11525e+07,704233,0,1.26222e+07
5.80935e+06,0,0,0,0,2.11598e+07,704101,0,1.26222e+07
6.57291e+06,0,0,0,0,1.78834e+07,763559,0,1.26222e+07
7.33636e+06,0,0,0,0,1.78897e+07,763445,0,1.26222e+07
8.09969e+06,0,0,0,0,1.7896e+07,763330,0,1.26222e+07
8.8629e+06,0,0,0,0,1.79023e+07,763216,0,1.26222e+07
9.626e+06,0,0,0,0,1.79087e+07,763101,0,1.26222e+07
1.03742e+07,0,0,0,0,1.87293e+07,748209,0,1.26222e+07
1.11223e+07,0,0,0,0,1.87359e+07,748090,0,1.26222e+07
1.18703e+07,0,0,0,0,1.87424e+07,747971,0,1.26222e+07
1.26181e+07,0,0,0,0,1.8749e+07,747852,0,1.26222e+07
1.33716e+07,0,0,0,0,1.8438e+07,753496,0,1.26222e+07
1.4125e+07,0,0,0,0,1.84444e+07,753378,0,1.26222e+07
1.48783e+07,0,0,0,0,1.84509e+07,753261,0,1.26222e+07
1.56314e+07,0,0,0,0,1.84574e+07,753143,0,1.26222e+07
1.63643e+07,0,0,0,0,1.95706e+07,732942,0,1.26222e+07
1.70972e+07,0,0,0,0,1.95774e+07,732818,0,1.26222e+07
1.78299e+07,0,0,0,0,1.95842e+07,732695,0,1.26222e+07
1.85624e+07,0,0,0,0,1.9591e+07,732571,0,1.26222e+07
1.92949e+07,0,0,0,0,1.95978e+07,732448,0,1.26222e+07
2.00225e+07,0,0,0,0,1.98656e+07,727588,0,1.26222e+07
2.07499e+07,0,0,0,0,1.98725e+07,727463,0,1.26222e+07
2.14773e+07,0,0,0,0,1.98794e+07,727338,0,1.26222e+07
2.22045e+07,0,0,0,0,1.98863e+07,727212,0,1.26222e+07
2.29215e+07,0,0,0,0,2.04465e+07,717046,0,1.26222e+07
2.36384e+07,0,0,0,0,2.04536e+07,716918,0,1.26222e+07
2.43552e+07,0,0,0,0,2.04606e+07,716790,0,1.26222e+07
2.39256e+07,0,0,0,0,2.36764e+07,-429665,0,1.26222e+07
2.34624e+07,0,0,0,0,2.55206e+07,-463132,0,1.26222e+07
2.29992e+07,0,0,0,0,2.55282e+07,-463270,0,1.26222e+07
2.25358e+07,0,0,0,0,2.55358e+07,-463408,0,1.26222e+07
2.20722e+07,0,0,0,0,2.55435e+07,-463547,0,1.26222e+07
2.16085e+07,0,0,0,0,2.55511e+07,-463685,0,1.26222e+07
2.11634e+07,0,0,0,0,2.45256e+07,-445076,0,1.26222e+07
2.07182e+07,0,0,0,0,2.4533e+07,-445209,0,1.26222e+07
2.02729e+07,0,0,0,0,2.45403e+07,-445342,0,1.26222e+07
1.98274e+07,0,0,0,0,2.45476e+07,-445475,0,1.26222e+07
1.93983e+07,0,0,0,0,2.3644e+07,-429077,0,1.26222e+07
1.89691e+07,0,0,0,0,2.36511e+07,-429205,0,1.26222e+07
1.85398e+07,0,0,0,0,2.36581e+07,-429333,0,1.26222e+07
1.81103e+07,0,0,0,0,2.36652e+07,-429461,0,1.26222e+07
1.77191e+07,0,0,0,0,2.15603e+07,-391263,0,1.26222e+07
1.73277e+07,0,0,0,0,2.15667e+07,-391380,0,1.26222e+07
1.69362e+07,0,0,0,0,2.15732e+07,-391497,0,1.26222e+07
1.65446e+07,0,0,0,0,2.15796e+07,-391614,0,1.26222e+07
1.61529e+07,0,0,0,0,2.15861e+07,-391730,0,1.26222e+07
1.57485e+07,0,0,8.98942e+07,1.871,2.22807e+07,-404336,0,1.26222e+07
1.53441e+07,0,0,8.98942e+07,0,2.22871e+07,-404453,0,1.26222e+07
1.49395e+07,0,0,8.98942e+07,0,2.22936e+07,-404570,0,1.26222e+07
1.45348e+07,0,0,8.98942e+07,0,2.23e+07,-404687,0,1.26222e+07
