0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.0334817,0.0230849,0,0
1,1,0.0342783,0.0231347,0,0
0.998999,1,0.0350593,0.0231839,0.001001,0
0.998999,1,0.035823,0.0232326,0.00900901,0
0.997998,1,0.0365896,0.0232811,0.01001,0
1,1,0.0411415,0.0270306,0,0
1,1,0.037049,0.0277624,0,0
1,1,0.0376412,0.0282017,0,0
0.997998,1,0.0382584,0.0286398,0.013013,0
0.998999,1,0.0389903,0.029349,0.00500501,0
0.998999,1,0.0396707,0.0308683,0.002002,0
0.998999,1,0.0409581,0.0323942,0.001001,0
1,1,0.0414611,0.0326231,0,0
1,1,0.0433618,0.034254,0,0
0.997998,1,0.0441977,0.0348668,0.01001,0
0.996997,1,0.0446701,0.0350753,0.017017,0
0.997998,1,0.0458475,0.0357484,0.019019,0
0.998999,1,0.0466268,0.0364237,0.012012,0
0.995996,1,0.0471711,0.0368634,0.023023,0
0.994995,1,0.0477514,0.037193,0.033033,0
0.994995,1,0.0481204,0.0375097,0.022022,0
0.990991,1,0.0487782,0.0380152,0.0610611,0
0.986987,1,0.0489154,0.0380096,0.0950951,0
0.976977,1,0.0489833,0.0380341,0.162162,0
0.981982,1,0.0489753,0.0381929,0.114114,0
0.976977,1,0.0489526,0.0380293,0.202202,0
0.976977,1,0.0491112,0.0380804,0.191191,0
0.972973,1,0.0491343,0.03809,0.196196,0
0.963964,1,0.0491962,0.038062,0.266266,0
0.961962,1,0.0496109,0.0382419,0.271271,0
0.953954,1,0.049688,0.038403,0.324324,0
0.957958,1,0.0496158,0.0383702,0.29029,0
0.953954,1,0.0502028,0.0388441,0.336336,0
0.948949,1,0.0504389,0.0388679,0.378378,0
0.94995,1,0.0505279,0.0389569,0.378378,0
0.947948,1,0.0499306,0.0386646,0.378378,0
0.956957,1,0.0499891,0.0386085,0.296296,0
0.953954,1,0.0502135,0.038648,0.315315,0
0.955956,1,0.050134,0.0388429,0.321321,0
0.94995,1,0.05031,0.038952,0.4004,0
