Realization	utility	WSS	week	infra.
0	1	1	1513	12
1	1	1	1252	12
2	1	1	1304	12
3	1	1	1513	12
4	1	1	1408	12
5	1	1	1408	12
6	1	1	1930	12
7	1	1	1200	12
8	1	1	1982	12
9	1	1	1356	12
10	1	1	1043	12
11	1	1	1930	12
12	1	1	1200	12
13	1	1	1200	12
14	1	1	1148	12
15	1	1	1565	12
16	1	1	1722	12
17	1	1	1461	12
18	1	1	1095	12
19	1	1	1617	12
20	1	1	1826	12
21	1	1	1461	12
22	1	1	1148	12
23	1	1	1774	12
24	1	1	1774	12
25	1	1	1304	12
26	1	1	1513	12
27	1	1	1200	12
28	1	1	1930	12
29	1	1	1722	12
30	1	1	1148	12
31	1	1	1200	12
32	1	1	1095	12
33	1	1	1304	12
34	1	1	1043	12
35	1	1	1461	12
36	1	1	1565	12
37	1	1	1043	12
38	1	1	1304	12
39	1	1	1356	12
40	1	1	1095	12
41	1	1	1878	12
42	1	1	1356	12
43	1	1	1095	12
44	1	1	1304	12
45	1	1	1722	12
46	1	1	1095	12
47	1	1	1148	12
48	1	1	1252	12
49	1	1	1252	12
50	1	1	1043	12
51	1	1	1200	12
52	1	1	1774	12
53	1	1	1878	12
54	1	1	1148	12
55	1	1	1304	12
56	1	1	1043	12
57	1	1	1513	12
58	1	1	1304	12
59	1	1	1043	12
60	1	1	1669	12
61	1	1	1148	12
62	1	1	1148	12
63	1	1	1774	12
64	1	1	1513	12
65	1	1	1461	12
66	1	1	1722	12
67	1	1	1148	12
68	1	1	1148	12
69	1	1	1617	12
70	1	1	1148	12
71	1	1	1200	12
72	1	1	1565	12
73	1	1	1200	12
74	1	1	1200	12
75	1	1	1095	12
76	1	1	1252	12
77	1	1	1461	12
78	1	1	1617	12
79	1	1	1930	12
80	1	1	1252	12
81	1	1	1304	12
82	1	1	1930	12
83	1	1	1252	12
84	1	1	1304	12
85	1	1	1669	12
86	1	1	1617	12
87	1	1	1513	12
88	1	1	1408	12
89	1	1	1356	12
90	1	1	1669	12
91	1	1	1043	12
92	1	1	1461	12
93	1	1	1200	12
94	1	1	1513	12
95	1	1	1304	12
96	1	1	1722	12
97	1	1	1304	12
98	1	1	1513	12
99	1	1	1304	12
0	1	1	1200	7
1	1	1	939	7
2	1	1	991	7
3	1	1	1200	7
4	1	1	1095	7
5	1	1	1095	7
6	1	1	1617	7
7	1	1	887	7
7	1	1	1722	8
8	1	1	1669	7
9	1	1	1043	7
10	1	1	730	7
10	1	1	1356	8
10	1	1	1617	9
11	1	1	1617	7
12	1	1	887	7
12	1	1	1669	8
13	1	1	887	7
13	1	1	1774	8
14	1	1	834	7
14	1	1	1513	8
14	1	1	1774	9
15	1	1	1252	7
16	1	1	1408	7
17	1	1	1148	7
18	1	1	782	7
18	1	1	1408	8
18	1	1	1669	9
19	1	1	1304	7
20	1	1	1513	7
21	1	1	1148	7
22	1	1	834	7
22	1	1	1565	8
22	1	1	1826	9
23	1	1	1461	7
24	1	1	1461	7
25	1	1	991	7
26	1	1	1200	7
27	1	1	887	7
27	1	1	1669	8
28	1	1	1617	7
29	1	1	1408	7
30	1	1	834	7
30	1	1	1565	8
30	1	1	1826	9
31	1	1	887	7
31	1	1	1669	8
32	1	1	782	7
32	1	1	1408	8
32	1	1	1669	9
33	1	1	991	7
34	1	1	730	7
34	1	1	1356	8
34	1	1	1617	9
35	1	1	1148	7
36	1	1	1252	7
37	1	1	730	7
37	1	1	1356	8
37	1	1	1617	9
38	1	1	991	7
39	1	1	1043	7
40	1	1	782	7
40	1	1	1408	8
40	1	1	1669	9
41	1	1	1565	7
42	1	1	1043	7
43	1	1	782	7
43	1	1	1408	8
43	1	1	1669	9
44	1	1	991	7
45	1	1	1408	7
46	1	1	782	7
46	1	1	1408	8
46	1	1	1669	9
47	1	1	834	7
47	1	1	1565	8
47	1	1	1878	9
48	1	1	939	7
48	1	1	1930	8
49	1	1	939	7
50	1	1	730	7
50	1	1	1356	8
50	1	1	1617	9
51	1	1	887	7
51	1	1	1669	8
52	1	1	1461	7
53	1	1	1565	7
54	1	1	834	7
54	1	1	1565	8
54	1	1	1878	9
55	1	1	991	7
56	1	1	730	7
56	1	1	1356	8
56	1	1	1617	9
57	1	1	1200	7
58	1	1	991	7
59	1	1	730	7
59	1	1	1356	8
59	1	1	1617	9
60	1	1	1356	7
61	1	1	834	7
61	1	1	1565	8
61	1	1	1930	9
62	1	1	834	7
62	1	1	1565	8
62	1	1	1878	9
63	1	1	1461	7
64	1	1	1200	7
65	1	1	1148	7
66	1	1	1408	7
67	1	1	834	7
67	1	1	1617	8
67	1	1	2035	9
68	1	1	834	7
68	1	1	1513	8
68	1	1	1826	9
69	1	1	1304	7
70	1	1	834	7
70	1	1	1513	8
70	1	1	1774	9
71	1	1	887	7
71	1	1	1669	8
72	1	1	1252	7
73	1	1	887	7
73	1	1	1774	8
74	1	1	887	7
74	1	1	1878	8
75	1	1	782	7
75	1	1	1408	8
75	1	1	1669	9
76	1	1	939	7
77	1	1	1148	7
78	1	1	1304	7
79	1	1	1617	7
80	1	1	939	7
81	1	1	991	7
82	1	1	1617	7
83	1	1	939	7
83	1	1	1878	8
84	1	1	991	7
85	1	1	1356	7
86	1	1	1304	7
87	1	1	1200	7
88	1	1	1095	7
89	1	1	1043	7
90	1	1	1356	7
91	1	1	730	7
91	1	1	1356	8
91	1	1	1617	9
92	1	1	1148	7
93	1	1	887	7
93	1	1	1617	8
94	1	1	1200	7
95	1	1	991	7
96	1	1	1408	7
97	1	1	991	7
98	1	1	1200	7
99	1	1	991	7
