0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
735.749,735.749,8.81389,0,0,2.46977,2.46977,0,0,18.9907,4.22011e+06,2.88796e+06,1.04227e+07,0,0,0,0,66.5342,64.9919,5.15149,0,0,1.12031,1.12031,0,0,2.60064,8.77024e+06,3.86015e+06,9.82536e+06,0,0,0,0
735.749,735.749,7.22057,0,0,2.47087,2.47087,0,0.462835,18.9907,4.22011e+06,2.88796e+06,1.04273e+07,0,0,0,0,66.5342,64.9919,5.69288,0,0,1.1208,1.1208,0,0.865549,2.60064,8.77024e+06,3.86015e+06,9.82972e+06,0,0,0,0
735.749,735.749,7.20646,0,0,2.47197,2.47197,0,0.463041,18.9907,4.22011e+06,2.88796e+06,1.0432e+07,0,0,0,0,66.5342,64.9919,4.83837,0,0,1.1213,1.1213,0,0.865933,2.60064,8.77024e+06,3.86015e+06,9.83408e+06,0,0,0,0
735.749,735.749,5.90558,0,0,2.47306,2.47306,0,0.463246,18.9907,4.22011e+06,2.88796e+06,1.04366e+07,0,0,0,0,66.5342,64.9919,4.47292,0,0,1.1218,1.1218,0,0.866317,2.60064,8.77024e+06,3.86015e+06,9.83844e+06,0,0,0,0
735.749,735.749,6.20244,0,0,2.71548,2.71548,0,0.463452,18.9907,4.22011e+06,2.88796e+06,1.14596e+07,0,0,0,0,66.5342,64.9919,3.80265,0,0,1.25425,1.25425,0,0.866701,2.60064,8.77024e+06,3.86015e+06,1.10001e+07,0,0,0,0
735.749,735.749,5.86901,0,0,2.71669,2.71669,0,0.508881,18.9907,4.22011e+06,2.88796e+06,1.14647e+07,0,0,0,0,66.5342,64.9919,4.18052,0,0,1.25481,1.25481,0,0.969037,2.60064,8.77024e+06,3.86015e+06,1.1005e+07,0,0,0,0
735.749,735.749,7.79743,0,0,2.71789,2.71789,0,0.509107,18.9907,4.22011e+06,2.88796e+06,1.14698e+07,0,0,0,0,66.5342,64.9919,4.33461,0,0,1.25537,1.25537,0,0.969466,2.60064,8.77024e+06,3.86015e+06,1.10099e+07,0,0,0,0
735.749,735.749,6.28881,0,0,2.7191,2.7191,0,0.509333,18.9907,4.22011e+06,2.88796e+06,1.14749e+07,0,0,0,0,66.5342,64.9919,5.25195,0,0,1.25592,1.25592,0,0.969896,2.60064,8.77024e+06,3.86015e+06,1.10148e+07,0,0,0,0
735.749,735.749,4.67991,0,0,2.37549,2.37549,0,0.509559,18.9907,4.22011e+06,2.88796e+06,1.00248e+07,0,0,0,0,66.5342,64.9919,4.23088,0,0,1.07908,1.07908,0,0.970326,2.60064,8.77024e+06,3.86015e+06,9.46376e+06,0,0,0,0
735.749,735.749,3.54488,0,0,2.37654,2.37654,0,0.445166,18.9907,4.22011e+06,2.88796e+06,1.00293e+07,0,0,0,0,66.5342,64.9919,3.46883,0,0,1.07955,1.07955,0,0.833694,2.60064,8.77024e+06,3.86015e+06,9.46796e+06,0,0,0,0
735.749,735.749,3.31016,0,0,2.37759,2.37759,0,0.445363,18.9907,4.22011e+06,2.88796e+06,1.00337e+07,0,0,0,0,66.5342,64.9919,3.0794,0,0,1.08003,1.08003,0,0.834064,2.60064,8.77024e+06,3.86015e+06,9.47215e+06,0,0,0,0
735.749,735.749,7.37421,0,0,2.37864,2.37864,0,0.445561,18.9907,4.22011e+06,2.88796e+06,1.00381e+07,0,0,0,0,66.5342,64.9919,5.22021,0,0,1.08051,1.08051,0,0.834433,2.60064,8.77024e+06,3.86015e+06,9.47635e+06,0,0,0,0
735.749,735.749,5.25013,0,0,2.3797,2.3797,0,0.445758,18.9907,4.22011e+06,2.88796e+06,1.00426e+07,0,0,0,0,66.5342,64.9919,3.87306,0,0,1.08099,1.08099,0,0.834803,2.60064,8.77024e+06,3.86015e+06,9.48054e+06,0,0,0,0
