0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.0368409,0.0242934,0,0
1,1,0.0372683,0.0245752,0,0
1,1,0.0379724,0.0250396,0,0
1,1,0.0386294,0.0254728,0,0
1,1,0.0391998,0.0258489,0,0
1,1,0.0398551,0.026281,0,0
1,1,0.0404927,0.0267015,0,0
1,1,0.0411118,0.0271097,0,0
1,1,0.0417119,0.0275054,0,0
1,1,0.04233,0.027913,0,0
1,1,0.0428858,0.0282795,0,0
1,1,0.0433991,0.028618,0,0
1,1,0.0439255,0.0289651,0,0
1,1,0.0444337,0.0293003,0,0
1,1,0.0449235,0.0296232,0,0
1,1,0.045394,0.0299335,0,0
1,1,0.0458445,0.0302305,0,0
1,1,0.0462745,0.0305141,0,0
1,1,0.0466839,0.0307841,0,0
1,1,0.0470724,0.0310402,0,0
1,1,0.0474395,0.0312823,0,0
1,1,0.0477848,0.03151,0,0
1,1,0.0481085,0.0317235,0,0
1,1,0.048411,0.0319229,0,0
0.99,1,0.0486923,0.0321084,4,0
0.99,1,0.0489524,0.03228,12,0
0.98,1,0.0491915,0.0324376,14,0
0.97,1,0.0494096,0.0325814,52,0
0.95,1,0.0496069,0.0327115,23,0
0.93,1,0.0497832,0.0328278,52,0
0.9,1,0.0499385,0.0329302,52,0
0.91,1,0.0500729,0.0330188,52,0
0.88,1,0.0501865,0.0330937,52,0
0.87,1,0.0502789,0.0331547,52,0
0.85,1,0.0503501,0.0332016,52,0
0.84,0.99,0.0504002,0.0332346,52,11
0.83,0.99,0.0504294,0.0332539,52,52
0.82,0.99,0.0504378,0.0332594,52,3
0.79,1,0.0504268,0.0332522,52,0
0.79,1,0.0503955,0.0332315,52,0
