0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.0370183,0.0244104,0,0
0.996997,1,0.0376686,0.0248392,0,0
0.992993,1,0.0383867,0.0253127,0,0
0.984985,1,0.0391097,0.0257895,6,0
0.984985,1,0.0397864,0.0262357,6,0
0.972973,1,0.0405024,0.0267079,10,0
0.96997,1,0.0412262,0.0271852,10,0
0.972973,1,0.0419117,0.0276372,10,0
0.964965,1,0.0425773,0.0280761,12,0
0.947948,1,0.0431984,0.0284856,15,0
0.933934,1,0.0438072,0.0288871,14,0
0.922923,1,0.0444313,0.0292986,14,0
0.914915,1,0.0450171,0.0296849,17,0
0.8999,1,0.0455622,0.0300089,18,0
0.883884,1,0.0458278,0.0300025,27,0
0.862863,1,0.0461883,0.0301185,23,0
0.847848,0.998999,0.0465216,0.0302945,26,0
0.82983,0.997998,0.0469602,0.0305182,28,0
0.814815,0.998999,0.047337,0.0306,32,0
0.80981,1,0.0476236,0.0307804,40,0
0.781782,0.998999,0.0477692,0.0310071,30,0
0.766767,0.998999,0.0480373,0.031245,41,0
0.751752,0.998999,0.0482471,0.0314713,46,0
0.763764,0.997998,0.0483876,0.031702,41,0
0.740741,0.997998,0.048638,0.0319093,42,0
0.744745,0.998999,0.048832,0.0321013,43,0
0.717718,0.995996,0.0490516,0.0322805,46,0
0.702703,0.998999,0.0492093,0.032444,47,0
0.701702,0.998999,0.0494232,0.0325863,52,0
0.721722,0.997998,0.0496028,0.0327088,45,0
0.695696,0.997998,0.0497663,0.0328166,48,0
0.671672,0.994995,0.0499116,0.0329124,52,0
0.676677,0.985986,0.050035,0.0329938,52,5
0.678679,0.977978,0.0501354,0.0330531,48,5
0.661662,0.974975,0.0502128,0.0330731,52,5
0.660661,0.971972,0.0502672,0.0331083,52,5
0.683684,0.967968,0.0502989,0.0331287,43,5
0.685686,0.966967,0.0503081,0.0331346,46,5
0.680681,0.967968,0.0502962,0.0331269,44,5
0.678679,0.970971,0.0502621,0.0331049,52,5
