0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,0.000499492,2.60672e+07,-946255,946255,1.3899e+07
0,0,0,0,0,2.59725e+07,-881368,881368,1.3899e+07
0,0,0,0,0,2.5977e+07,-880223,880223,1.3899e+07
0,0,0,0,0,2.59815e+07,-879079,879079,1.3899e+07
0,0,0,0,0,2.86571e+07,-877934,877934,1.3899e+07
0,0,0,0,0,2.78414e+07,-349160,349160,1.3899e+07
0,0,0,0,0,2.78464e+07,-347880,347880,1.3899e+07
0,0,0,0,0,2.78513e+07,-346599,346599,1.3899e+07
0,0,0,0,0,2.41761e+07,-345319,345319,1.3899e+07
0,0,0,0,0,2.51171e+07,-946255,946255,1.3899e+07
0,0,0,0,0,2.51232e+07,-946255,946255,1.3899e+07
0,0,0,0,0,2.51292e+07,-946255,946255,1.3899e+07
0,0,0,0,0,2.51352e+07,-946255,946255,1.3899e+07
0,0,0,0,0,2.60537e+07,-946255,946255,1.3899e+07
0,0,0,0,0,2.59472e+07,-873718,873718,1.3899e+07
0,0,0,0,0,2.59517e+07,-872572,872572,1.3899e+07
0,0,0,0,0,2.59562e+07,-871425,871425,1.3899e+07
0,0,0,0,0,2.56049e+07,-870279,870279,1.3899e+07
0,0,0,0,0,2.57143e+07,-936634,936634,1.3899e+07
0,0,0,0,0,2.57187e+07,-935504,935504,1.3899e+07
0,0,0,0,0,2.57232e+07,-934373,934373,1.3899e+07
0,0,0,0,0,2.69673e+07,-933242,933242,1.3899e+07
0,0,0,0,0,2.65992e+07,-692487,692487,1.3899e+07
0,0,0,0,0,2.66039e+07,-691295,691295,1.3899e+07
0,0,0,0,0,2.66085e+07,-690102,690102,1.3899e+07
0,0,0,0,0,2.66132e+07,-688909,688909,1.3899e+07
0,0,0,0,0,2.69101e+07,-687716,687716,1.3899e+07
0,0,0,0,0,2.67097e+07,-554653,554653,1.3899e+07
0,0,0,0,0,2.67144e+07,-553425,553425,1.3899e+07
0,0,0,0,0,2.67191e+07,-552197,552197,1.3899e+07
0,0,0,0,0,2.73433e+07,-550969,550969,1.3899e+07
0,0,0,0,0,2.71651e+07,-432096,432096,1.3899e+07
0,0,0,0,0,2.71699e+07,-430837,430837,1.3899e+07
0,0,0,0,0,2.71747e+07,-429578,429578,1.3899e+07
0,0,0,0,0,2.92361e+07,-428318,428318,1.3899e+07
0,0,0,0,0,2.85801e+07,-1987.82,1987.82,1.3899e+07
0,0,0,0,0,2.85852e+07,-619.191,619.191,1.3899e+07
0,0,0,0,0,2.85916e+07,0,0,1.3899e+07
0,0,0,0,0,2.85989e+07,0,0,1.3899e+07
0,0,0,0,0,2.74499e+07,0,0,1.3899e+07
0,0,0,0,0,2.78513e+07,-253472,253472,1.3899e+07
0,0,0,0,0,2.78563e+07,-252168,252168,1.3899e+07
0,0,0,0,0,2.78613e+07,-250863,250863,1.3899e+07
0,0,0,0,0,2.68469e+07,-249558,249558,1.3899e+07
0,0,0,0,0,2.72178e+07,-483639,483639,1.3899e+07
0,0,0,0,0,2.72226e+07,-482393,482393,1.3899e+07
0,0,0,0,0,2.72274e+07,-481148,481148,1.3899e+07
0,0,0,0,0,2.48693e+07,-479901,479901,1.3899e+07
0,0,0,0,0,2.56011e+07,-946255,946255,1.3899e+07
0,0,0,0,0,2.56072e+07,-946255,946255,1.3899e+07
0,0,0,0,0,2.56134e+07,-946255,946255,1.3899e+07
0,0,0,0,0,2.56195e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0.000499492,2.63956e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.62076e+07,-821517,821517,1.3899e+07
0,0,0,4.19983e+08,0,2.62121e+07,-820393,820393,1.3899e+07
0,0,0,4.19983e+08,0,2.62165e+07,-819269,819269,1.3899e+07
0,0,0,4.19983e+08,0,2.89276e+07,-818146,818146,1.3899e+07
0,0,0,4.19983e+08,0,2.81008e+07,-282365,282365,1.3899e+07
0,0,0,4.19983e+08,0,2.81057e+07,-281107,281107,1.3899e+07
0,0,0,4.19983e+08,0,2.81106e+07,-279850,279850,1.3899e+07
0,0,0,4.19983e+08,0,2.43864e+07,-278593,278593,1.3899e+07
0,0,0,4.19983e+08,0,2.54311e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.5437e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.5443e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.54489e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.63794e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.61801e+07,-814233,814233,1.3899e+07
0,0,0,4.19983e+08,0,2.61845e+07,-813107,813107,1.3899e+07
0,0,0,4.19983e+08,0,2.6189e+07,-811982,811982,1.3899e+07
0,0,0,4.19983e+08,0,2.58329e+07,-810856,810856,1.3899e+07
0,0,0,4.19983e+08,0,2.59436e+07,-878124,878124,1.3899e+07
0,0,0,4.19983e+08,0,2.5948e+07,-877014,877014,1.3899e+07
0,0,0,4.19983e+08,0,2.59523e+07,-875904,875904,1.3899e+07
0,0,0,4.19983e+08,0,2.72127e+07,-874794,874794,1.3899e+07
0,0,0,4.19983e+08,0,2.68396e+07,-630900,630900,1.3899e+07
0,0,0,4.19983e+08,0,2.68442e+07,-629730,629730,1.3899e+07
0,0,0,4.19983e+08,0,2.68488e+07,-628559,628559,1.3899e+07
0,0,0,4.19983e+08,0,2.68534e+07,-627387,627387,1.3899e+07
0,0,0,4.19983e+08,0,2.7154e+07,-626216,626216,1.3899e+07
0,0,0,4.19983e+08,0,2.69508e+07,-491441,491441,1.3899e+07
0,0,0,4.19983e+08,0,2.69554e+07,-490236,490236,1.3899e+07
0,0,0,4.19983e+08,0,2.696e+07,-489031,489031,1.3899e+07
0,0,0,4.19983e+08,0,2.75923e+07,-487825,487825,1.3899e+07
0,0,0,4.19983e+08,0,2.74116e+07,-367432,367432,1.3899e+07
0,0,0,4.19983e+08,0,2.74163e+07,-366196,366196,1.3899e+07
0,0,0,4.19983e+08,0,2.7421e+07,-364960,364960,1.3899e+07
0,0,0,4.19983e+08,0,2.95092e+07,-363723,363723,1.3899e+07
0,0,0,4.19983e+08,0,2.89505e+07,0,0,1.3899e+07
0,0,0,4.19983e+08,0,2.89577e+07,0,0,1.3899e+07
0,0,0,4.19983e+08,0,2.89648e+07,0,0,1.3899e+07
0,0,0,4.19983e+08,0,2.8972e+07,0,0,1.3899e+07
0,0,0,4.19983e+08,0,2.78079e+07,0,0,1.3899e+07
0,0,0,4.19983e+08,0,2.81054e+07,-186834,186834,1.3899e+07
0,0,0,4.19983e+08,0,2.81103e+07,-185554,185554,1.3899e+07
0,0,0,4.19983e+08,0,2.81152e+07,-184273,184273,1.3899e+07
0,0,0,4.19983e+08,0,2.70874e+07,-182992,182992,1.3899e+07
0,0,0,4.19983e+08,0,2.74631e+07,-420158,420158,1.3899e+07
0,0,0,4.19983e+08,0,2.74678e+07,-418935,418935,1.3899e+07
0,0,0,4.19983e+08,0,2.74725e+07,-417712,417712,1.3899e+07
0,0,0,4.19983e+08,0,2.50837e+07,-416489,416489,1.3899e+07
0,0,0,4.19983e+08,0,2.58612e+07,-912373,912373,1.3899e+07
0,0,0,4.19983e+08,0,2.58655e+07,-911272,911272,1.3899e+07
0,0,0,4.19983e+08,0,2.58699e+07,-910171,910171,1.3899e+07
0,0,0,4.19983e+08,0,2.58742e+07,-909069,909069,1.3899e+07
0,0,0,4.19983e+08,4.18207e+07,2.67179e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.6724e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.673e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.6736e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.94837e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.94904e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.94971e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.95038e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.57334e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.57392e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.5745e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.57508e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.57566e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.66989e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.67049e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.67109e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.6717e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.63579e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.63639e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.63698e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.63758e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.76538e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.766e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.76663e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.76725e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.76788e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.7985e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.79913e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.79976e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.8004e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.86459e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.86524e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.86589e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,2.86654e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,3.07818e+07,-946255,946255,1.3899e+07
0,0,0,4.19983e+08,0,3.07888e+07,-946255,946255,1.3899e+07
