Realization	utility	WSS	week	infra.
0	0	0	417	7
0	0	0	1200	8
1	0	0	365	7
1	0	0	939	8
1	0	0	1774	9
2	0	0	365	7
2	0	0	991	8
3	0	0	417	7
3	0	0	1148	8
4	0	0	417	7
4	0	0	1095	8
5	0	0	417	7
5	0	0	1043	8
6	0	0	469	7
6	0	0	1565	8
7	0	0	365	7
7	0	0	887	8
7	0	0	1513	9
8	0	0	469	7
8	0	0	1617	8
9	0	0	365	7
9	0	0	991	8
10	0	0	313	7
10	0	0	730	8
10	0	0	1148	9
11	0	0	469	7
11	0	0	1565	8
12	0	0	365	7
12	0	0	834	8
12	0	0	1461	9
13	0	0	365	7
13	0	0	887	8
13	0	0	1513	9
14	0	0	365	7
14	0	0	834	8
14	0	0	1304	9
15	0	0	469	7
15	0	0	1565	8
16	0	0	417	7
16	0	0	1356	8
17	0	0	417	7
17	0	0	1148	8
18	0	0	313	7
18	0	0	730	8
18	0	0	1148	9
19	0	0	417	7
19	0	0	1252	8
20	0	0	469	7
20	0	0	1513	8
21	0	0	417	7
21	0	0	1095	8
22	0	0	365	7
22	0	0	834	8
22	0	0	1356	9
23	0	0	417	7
23	0	0	1408	8
24	0	0	417	7
24	0	0	1408	8
25	0	0	365	7
25	0	0	991	8
26	0	0	417	7
26	0	0	1148	8
27	0	0	365	7
27	0	0	834	8
27	0	0	1461	9
28	0	0	469	7
28	0	0	1565	8
29	0	0	417	7
29	0	0	1356	8
30	0	0	365	7
30	0	0	834	8
30	0	0	1356	9
31	0	0	365	7
31	0	0	887	8
31	0	0	1513	9
32	0	0	313	7
32	0	0	730	8
32	0	0	1148	9
33	0	0	365	7
33	0	0	939	8
33	0	0	1826	9
34	0	0	313	7
34	0	0	730	8
34	0	0	1095	9
35	0	0	417	7
35	0	0	1095	8
36	0	0	417	7
36	0	0	1200	8
37	0	0	313	7
37	0	0	730	8
37	0	0	1095	9
38	0	0	365	7
38	0	0	991	8
39	0	0	365	7
39	0	0	991	8
40	0	0	365	7
40	0	0	782	8
40	0	0	1200	9
41	0	0	469	7
41	0	0	1565	8
42	0	0	365	7
42	0	0	1043	8
43	0	0	313	7
43	0	0	730	8
43	0	0	1148	9
44	0	0	365	7
44	0	0	939	8
44	0	0	1930	9
45	0	0	417	7
45	0	0	1356	8
46	0	0	365	7
46	0	0	782	8
46	0	0	1252	9
47	0	0	365	7
47	0	0	834	8
47	0	0	1356	9
48	0	0	365	7
48	0	0	939	8
48	0	0	1617	9
49	0	0	365	7
49	0	0	939	8
49	0	0	1826	9
50	0	0	313	7
50	0	0	730	8
50	0	0	1095	9
51	0	0	365	7
51	0	0	834	8
51	0	0	1461	9
52	0	0	417	7
52	0	0	1408	8
53	0	0	469	7
53	0	0	1513	8
54	0	0	365	7
54	0	0	834	8
54	0	0	1356	9
55	0	0	365	7
55	0	0	939	8
55	0	0	1878	9
56	0	0	313	7
56	0	0	730	8
56	0	0	1095	9
57	0	0	417	7
57	0	0	1200	8
58	0	0	365	7
58	0	0	939	8
58	0	0	1878	9
59	0	0	313	7
59	0	0	730	8
59	0	0	1095	9
60	0	0	417	7
60	0	0	1304	8
61	0	0	365	7
61	0	0	834	8
61	0	0	1408	9
62	0	0	365	7
62	0	0	834	8
62	0	0	1356	9
63	0	0	417	7
63	0	0	1408	8
64	0	0	417	7
64	0	0	1200	8
65	0	0	417	7
65	0	0	1095	8
66	0	0	417	7
66	0	0	1408	8
67	0	0	365	7
67	0	0	834	8
67	0	0	1408	9
68	0	0	365	7
68	0	0	834	8
68	0	0	1356	9
69	0	0	417	7
69	0	0	1252	8
70	0	0	365	7
70	0	0	834	8
70	0	0	1356	9
71	0	0	365	7
71	0	0	834	8
71	0	0	1461	9
72	0	0	417	7
72	0	0	1200	8
73	0	0	365	7
73	0	0	887	8
73	0	0	1513	9
74	0	0	365	7
74	0	0	887	8
74	0	0	1565	9
75	0	0	365	7
75	0	0	782	8
75	0	0	1200	9
76	0	0	365	7
76	0	0	939	8
76	0	0	1774	9
77	0	0	417	7
77	0	0	1095	8
78	0	0	417	7
78	0	0	1252	8
79	0	0	469	7
79	0	0	1565	8
80	0	0	365	7
80	0	0	939	8
80	0	0	1774	9
81	0	0	365	7
81	0	0	991	8
82	0	0	469	7
82	0	0	1565	8
83	0	0	365	7
83	0	0	887	8
83	0	0	1617	9
84	0	0	365	7
84	0	0	991	8
85	0	0	417	7
85	0	0	1304	8
86	0	0	417	7
86	0	0	1252	8
87	0	0	417	7
87	0	0	1148	8
88	0	0	417	7
88	0	0	1095	8
89	0	0	365	7
89	0	0	991	8
90	0	0	417	7
90	0	0	1304	8
91	0	0	313	7
91	0	0	730	8
91	0	0	1095	9
92	0	0	417	7
92	0	0	1095	8
93	0	0	365	7
93	0	0	834	8
93	0	0	1461	9
94	0	0	417	7
94	0	0	1200	8
95	0	0	365	7
95	0	0	991	8
96	0	0	417	7
96	0	0	1356	8
97	0	0	365	7
97	0	0	991	8
98	0	0	417	7
98	0	0	1200	8
99	0	0	365	7
99	0	0	991	8
100	0	0	313	7
100	0	0	730	8
100	0	0	1148	9
101	0	0	365	7
101	0	0	834	8
101	0	0	1408	9
102	0	0	365	7
102	0	0	782	8
102	0	0	1200	9
103	0	0	365	7
103	0	0	834	8
103	0	0	1356	9
104	0	0	417	7
104	0	0	1252	8
105	0	0	417	7
105	0	0	1513	8
106	0	0	417	7
106	0	0	1252	8
107	0	0	417	7
107	0	0	1461	8
108	0	0	313	7
108	0	0	730	8
108	0	0	1095	9
109	0	0	365	7
109	0	0	782	8
109	0	0	1304	9
110	0	0	365	7
110	0	0	834	8
110	0	0	1356	9
111	0	0	417	7
111	0	0	1304	8
112	0	0	469	7
112	0	0	1513	8
113	0	0	365	7
113	0	0	782	8
113	0	0	1200	9
114	0	0	417	7
114	0	0	1356	8
115	0	0	365	7
115	0	0	1043	8
116	0	0	313	7
116	0	0	730	8
116	0	0	1095	9
117	0	0	417	7
117	0	0	1095	8
118	0	0	417	7
118	0	0	1200	8
119	0	0	417	7
119	0	0	1148	8
120	0	0	417	7
120	0	0	1095	8
121	0	0	365	7
121	0	0	939	8
121	0	0	1669	9
122	0	0	417	7
122	0	0	1408	8
123	0	0	417	7
123	0	0	1513	8
124	0	0	417	7
124	0	0	1304	8
125	0	0	365	7
125	0	0	782	8
125	0	0	1200	9
126	0	0	417	7
126	0	0	1461	8
127	0	0	417	7
127	0	0	1148	8
128	0	0	469	7
128	0	0	1565	8
129	0	0	313	7
129	0	0	730	8
129	0	0	1148	9
130	0	0	417	7
130	0	0	1252	8
131	0	0	365	7
131	0	0	887	8
131	0	0	1565	9
132	0	0	365	7
132	0	0	834	8
132	0	0	1356	9
133	0	0	417	7
133	0	0	1095	8
134	0	0	365	7
134	0	0	834	8
134	0	0	1356	9
135	0	0	365	7
135	0	0	834	8
135	0	0	1408	9
136	0	0	469	7
136	0	0	1617	8
137	0	0	313	7
137	0	0	730	8
137	0	0	1095	9
138	0	0	365	7
138	0	0	939	8
138	0	0	1617	9
139	0	0	417	7
139	0	0	1252	8
140	0	0	365	7
140	0	0	834	8
140	0	0	1356	9
141	0	0	365	7
141	0	0	782	8
141	0	0	1304	9
142	0	0	365	7
142	0	0	730	8
142	0	0	1200	9
143	0	0	365	7
143	0	0	834	8
143	0	0	1356	9
144	0	0	365	7
144	0	0	887	8
144	0	0	1565	9
145	0	0	417	7
145	0	0	1252	8
146	0	0	417	7
146	0	0	1304	8
147	0	0	365	7
147	0	0	834	8
147	0	0	1461	9
148	0	0	365	7
148	0	0	782	8
148	0	0	1252	9
149	0	0	365	7
149	0	0	939	8
149	0	0	1930	9
150	0	0	313	7
150	0	0	730	8
150	0	0	1095	9
151	0	0	365	7
151	0	0	887	8
151	0	0	1617	9
152	0	0	417	7
152	0	0	1148	8
153	0	0	313	7
153	0	0	730	8
153	0	0	1095	9
154	0	0	469	7
154	0	0	1565	8
155	0	0	417	7
155	0	0	1304	8
156	0	0	417	7
156	0	0	1408	8
157	0	0	365	7
157	0	0	782	8
157	0	0	1200	9
158	0	0	365	7
158	0	0	887	8
158	0	0	1513	9
159	0	0	313	7
159	0	0	730	8
159	0	0	1095	9
160	0	0	365	7
160	0	0	834	8
160	0	0	1461	9
161	0	0	365	7
161	0	0	939	8
161	0	0	1617	9
162	0	0	313	7
162	0	0	730	8
162	0	0	1148	9
163	0	0	469	7
163	0	0	1565	8
164	0	0	365	7
164	0	0	939	8
164	0	0	1669	9
165	0	0	365	7
165	0	0	834	8
165	0	0	1356	9
166	0	0	469	7
166	0	0	1617	8
167	0	0	417	7
167	0	0	1148	8
168	0	0	365	7
168	0	0	834	8
168	0	0	1408	9
169	0	0	365	7
169	0	0	730	8
169	0	0	1200	9
170	0	0	365	7
170	0	0	782	8
170	0	0	1252	9
171	0	0	365	7
171	0	0	782	8
171	0	0	1304	9
172	0	0	417	7
172	0	0	1304	8
173	0	0	417	7
173	0	0	1252	8
174	0	0	417	7
174	0	0	1095	8
175	0	0	417	7
175	0	0	1461	8
176	0	0	365	7
176	0	0	887	8
176	0	0	1513	9
177	0	0	313	7
177	0	0	730	8
177	0	0	1043	9
178	0	0	365	7
178	0	0	887	8
178	0	0	1617	9
179	0	0	469	7
179	0	0	1513	8
180	0	0	365	7
180	0	0	939	8
180	0	0	1878	9
181	0	0	365	7
181	0	0	939	8
181	0	0	1774	9
182	0	0	365	7
182	0	0	991	8
183	0	0	417	7
183	0	0	1148	8
184	0	0	365	7
184	0	0	887	8
184	0	0	1565	9
185	0	0	417	7
185	0	0	1148	8
186	0	0	365	7
186	0	0	991	8
187	0	0	313	7
187	0	0	730	8
187	0	0	1095	9
188	0	0	365	7
188	0	0	887	8
188	0	0	1513	9
189	0	0	365	7
189	0	0	939	8
189	0	0	1617	9
190	0	0	365	7
190	0	0	782	8
190	0	0	1252	9
191	0	0	365	7
191	0	0	782	8
191	0	0	1252	9
192	0	0	365	7
192	0	0	782	8
192	0	0	1252	9
193	0	0	365	7
193	0	0	1043	8
194	0	0	365	7
194	0	0	939	8
194	0	0	1669	9
195	0	0	365	7
195	0	0	782	8
195	0	0	1200	9
196	0	0	365	7
196	0	0	991	8
197	0	0	365	7
197	0	0	939	8
197	0	0	1617	9
198	0	0	313	7
198	0	0	730	8
198	0	0	1148	9
199	0	0	417	7
199	0	0	1200	8
200	0	0	365	7
200	0	0	834	8
200	0	0	1304	9
201	0	0	365	7
201	0	0	887	8
201	0	0	1513	9
202	0	0	365	7
202	0	0	887	8
202	0	0	1565	9
203	0	0	365	7
203	0	0	782	8
203	0	0	1304	9
204	0	0	417	7
204	0	0	1252	8
205	0	0	313	7
205	0	0	730	8
205	0	0	1148	9
206	0	0	365	7
206	0	0	887	8
206	0	0	1513	9
207	0	0	417	7
207	0	0	1408	8
208	0	0	365	7
208	0	0	834	8
208	0	0	1356	9
209	0	0	365	7
209	0	0	991	8
210	0	0	365	7
210	0	0	834	8
210	0	0	1408	9
211	0	0	365	7
211	0	0	782	8
211	0	0	1200	9
212	0	0	365	7
212	0	0	834	8
212	0	0	1461	9
213	0	0	365	7
213	0	0	834	8
213	0	0	1356	9
214	0	0	417	7
214	0	0	1461	8
215	0	0	365	7
215	0	0	834	8
215	0	0	1408	9
216	0	0	469	7
216	0	0	1617	8
217	0	0	313	7
217	0	0	730	8
217	0	0	1148	9
218	0	0	417	7
218	0	0	1095	8
219	0	0	365	7
219	0	0	939	8
219	0	0	1930	9
220	0	0	417	7
220	0	0	1095	8
221	0	0	417	7
221	0	0	1304	8
222	0	0	417	7
222	0	0	1461	8
223	0	0	469	7
223	0	0	1565	8
224	0	0	313	7
224	0	0	730	8
224	0	0	1095	9
225	0	0	365	7
225	0	0	991	8
226	0	0	417	7
226	0	0	1252	8
227	0	0	365	7
227	0	0	939	8
227	0	0	1774	9
228	0	0	313	7
228	0	0	730	8
228	0	0	1148	9
229	0	0	313	7
229	0	0	730	8
229	0	0	1095	9
230	0	0	417	7
230	0	0	1252	8
231	0	0	313	7
231	0	0	730	8
231	0	0	1148	9
232	0	0	365	7
232	0	0	939	8
232	0	0	1930	9
233	0	0	417	7
233	0	0	1095	8
234	0	0	365	7
234	0	0	782	8
234	0	0	1200	9
235	0	0	313	7
235	0	0	730	8
235	0	0	1095	9
236	0	0	417	7
236	0	0	1408	8
237	0	0	365	7
237	0	0	782	8
237	0	0	1252	9
238	0	0	365	7
238	0	0	1043	8
239	0	0	313	7
239	0	0	730	8
239	0	0	1043	9
240	0	0	365	7
240	0	0	887	8
240	0	0	1617	9
241	0	0	365	7
241	0	0	834	8
241	0	0	1408	9
242	0	0	365	7
242	0	0	939	8
242	0	0	1826	9
243	0	0	365	7
243	0	0	991	8
244	0	0	365	7
244	0	0	939	8
244	0	0	1774	9
245	0	0	365	7
245	0	0	887	8
245	0	0	1565	9
246	0	0	365	7
246	0	0	834	8
246	0	0	1461	9
247	0	0	417	7
247	0	0	1095	8
248	0	0	365	7
248	0	0	939	8
248	0	0	1826	9
249	0	0	313	7
249	0	0	730	8
249	0	0	1043	9
250	0	0	365	7
250	0	0	1043	8
251	0	0	365	7
251	0	0	782	8
251	0	0	1252	9
252	0	0	313	7
252	0	0	730	8
252	0	0	1095	9
253	0	0	365	7
253	0	0	834	8
253	0	0	1461	9
254	0	0	469	7
254	0	0	1565	8
255	0	0	469	7
255	0	0	1565	8
256	0	0	365	7
256	0	0	782	8
256	0	0	1304	9
257	0	0	365	7
257	0	0	834	8
257	0	0	1356	9
258	0	0	365	7
258	0	0	782	8
258	0	0	1200	9
259	0	0	365	7
259	0	0	939	8
259	0	0	1878	9
260	0	0	313	7
260	0	0	730	8
260	0	0	1148	9
261	0	0	365	7
261	0	0	834	8
261	0	0	1408	9
262	0	0	417	7
262	0	0	1095	8
263	0	0	417	7
263	0	0	1252	8
264	0	0	365	7
264	0	0	1043	8
265	0	0	313	7
265	0	0	730	8
265	0	0	1095	9
266	0	0	417	7
266	0	0	1095	8
267	0	0	365	7
267	0	0	782	8
267	0	0	1304	9
268	0	0	417	7
268	0	0	1148	8
269	0	0	365	7
269	0	0	1043	8
270	0	0	469	7
270	0	0	1617	8
271	0	0	365	7
271	0	0	782	8
271	0	0	1304	9
272	0	0	365	7
272	0	0	1043	8
273	0	0	365	7
273	0	0	782	8
273	0	0	1252	9
274	0	0	417	7
274	0	0	1095	8
275	0	0	365	7
275	0	0	939	8
275	0	0	1617	9
276	0	0	417	7
276	0	0	1356	8
277	0	0	417	7
277	0	0	1408	8
278	0	0	365	7
278	0	0	1043	8
279	0	0	365	7
279	0	0	887	8
279	0	0	1617	9
280	0	0	365	7
280	0	0	782	8
280	0	0	1252	9
281	0	0	365	7
281	0	0	834	8
281	0	0	1356	9
282	0	0	365	7
282	0	0	991	8
283	0	0	469	7
283	0	0	1565	8
284	0	0	365	7
284	0	0	782	8
284	0	0	1200	9
285	0	0	365	7
285	0	0	782	8
285	0	0	1252	9
286	0	0	365	7
286	0	0	782	8
286	0	0	1304	9
287	0	0	365	7
287	0	0	730	8
287	0	0	1200	9
288	0	0	365	7
288	0	0	834	8
288	0	0	1408	9
289	0	0	417	7
