0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
94.3805,94.3805,13.0527,0,0,2.46977,2.46977,0,0,4.6872,4.14361e+06,2.83561e+06,1.02338e+07,0,0,0,0,71.5777,70.5495,16.254,0,0,1.12031,1.12031,0,0,1.90512,8.61127e+06,3.79018e+06,9.64726e+06,0,0,0,0
94.3805,94.3805,8.8352,0,0,2.47073,2.47073,0,0.462835,4.6872,4.14361e+06,2.83561e+06,1.02377e+07,0,0,0,0,71.5777,70.5495,10.5031,0,0,1.12074,1.12074,0,0.865549,1.90512,8.61127e+06,3.79018e+06,9.651e+06,0,0,0,0
94.3805,94.3805,7.77857,0,0,2.47169,2.47169,0,0.463015,4.6872,4.14361e+06,2.83561e+06,1.02417e+07,0,0,0,0,71.5777,70.5495,7.08384,0,0,1.12117,1.12117,0,0.865884,1.90512,8.61127e+06,3.79018e+06,9.65474e+06,0,0,0,0
94.3805,94.3805,6.90691,0,0,2.47264,2.47264,0,0.463194,4.6872,4.14361e+06,2.83561e+06,1.02457e+07,0,0,0,0,71.5777,70.5495,6.11232,0,0,1.12161,1.12161,0,0.866219,1.90512,8.61127e+06,3.79018e+06,9.65848e+06,0,0,0,0
94.3805,94.3805,5.18709,0,0,2.71487,2.71487,0,0.463373,4.6872,4.14361e+06,2.83561e+06,1.12494e+07,0,0,0,0,71.5777,70.5495,5.45444,0,0,1.25397,1.25397,0,0.866555,1.90512,8.61127e+06,3.79018e+06,1.07983e+07,0,0,0,0
94.3805,94.3805,4.25312,0,0,2.71592,2.71592,0,0.508767,4.6872,4.14361e+06,2.83561e+06,1.12537e+07,0,0,0,0,71.5777,70.5495,5.31549,0,0,1.25446,1.25446,0,0.968818,1.90512,8.61127e+06,3.79018e+06,1.08025e+07,0,0,0,0
94.3805,94.3805,4.27222,0,0,2.71697,2.71697,0,0.508964,4.6872,4.14361e+06,2.83561e+06,1.12581e+07,0,0,0,0,71.5777,70.5495,5.72572,0,0,1.25494,1.25494,0,0.969193,1.90512,8.61127e+06,3.79018e+06,1.08066e+07,0,0,0,0
94.3805,94.3805,4.60776,0,0,2.71802,2.71802,0,0.509161,4.6872,4.14361e+06,2.83561e+06,1.12624e+07,0,0,0,0,71.5777,70.5495,6.09732,0,0,1.25543,1.25543,0,0.969569,1.90512,8.61127e+06,3.79018e+06,1.08108e+07,0,0,0,0
94.3805,94.3805,5.30833,0,0,2.37442,2.37442,0,0.509358,4.6872,4.14361e+06,2.83561e+06,9.83866e+06,0,0,0,0,71.5777,70.5495,7.12863,0,0,1.07859,1.07859,0,0.969944,1.90512,8.61127e+06,3.79018e+06,9.28803e+06,0,0,0,0
94.3805,94.3805,8.66551,0,0,2.37534,2.37534,0,0.444966,4.6872,4.14361e+06,2.83561e+06,9.84247e+06,0,0,0,0,71.5777,70.5495,8.26791,0,0,1.07901,1.07901,0,0.833319,1.90512,8.61127e+06,3.79018e+06,9.29163e+06,0,0,0,0
94.3805,94.3805,7.04988,0,0,2.37625,2.37625,0,0.445138,4.6872,4.14361e+06,2.83561e+06,9.84628e+06,0,0,0,0,71.5777,70.5495,5.34876,0,0,1.07943,1.07943,0,0.833641,1.90512,8.61127e+06,3.79018e+06,9.29522e+06,0,0,0,0
94.3805,94.3805,5.06183,0,0,2.37717,2.37717,0,0.44531,4.6872,4.14361e+06,2.83561e+06,9.85009e+06,0,0,0,0,71.5777,70.5495,4.48456,0,0,1.07984,1.07984,0,0.833964,1.90512,8.61127e+06,3.79018e+06,9.29882e+06,0,0,0,0
94.3805,94.3805,5.16352,0,0,2.37809,2.37809,0,0.445482,4.6872,4.14361e+06,2.83561e+06,9.8539e+06,0,0,0,0,71.5777,70.5495,3.68354,0,0,1.08026,1.08026,0,0.834287,1.90512,8.61127e+06,3.79018e+06,9.30242e+06,0,0,0,0
94.3805,94.3805,6.3142,0,0,2.46594,2.46594,0,0.445655,4.6872,4.14361e+06,2.83561e+06,1.02179e+07,0,0,0,0,71.5777,70.5495,6.6037,0,0,1.12414,1.12414,0,0.834609,1.90512,8.61127e+06,3.79018e+06,9.6803e+06,0,0,0,0
94.3805,94.3805,4.59731,0,0,2.46689,2.46689,0,0.462117,4.6872,4.14361e+06,2.83561e+06,1.02218e+07,0,0,0,0,71.5777,70.5495,4.61899,0,0,1.12458,1.12458,0,0.868513,1.90512,8.61127e+06,3.79018e+06,9.68404e+06,0,0,0,0
94.3805,94.3805,3.88636,0,0,2.46784,2.46784,0,0.462295,4.6872,4.14361e+06,2.83561e+06,1.02258e+07,0,0,0,0,71.5777,70.5495,3.88626,0,0,1.12501,1.12501,0,0.868848,1.90512,8.61127e+06,3.79018e+06,9.68778e+06,0,0,0,0
94.3805,94.3805,3.5288,0,0,2.4688,2.4688,0,0.462474,4.6872,4.14361e+06,2.83561e+06,1.02297e+07,0,0,0,0,71.5777,70.5495,3.5406,0,0,1.12545,1.12545,0,0.869184,1.90512,8.61127e+06,3.79018e+06,9.69153e+06,0,0,0,0
94.3805,94.3805,4.24141,0,0,2.43571,2.43571,0,0.462653,4.6872,4.14361e+06,2.83561e+06,1.00927e+07,0,0,0,0,71.5777,70.5495,4.90459,0,0,1.10898,1.10898,0,0.86952,1.90512,8.61127e+06,3.79018e+06,9.54969e+06,0,0,0,0
94.3805,94.3805,3.49128,0,0,2.43666,2.43666,0,0.456453,4.6872,4.14361e+06,2.83561e+06,1.00966e+07,0,0,0,0,71.5777,70.5495,4.10399,0,0,1.1094,1.1094,0,0.856794,1.90512,8.61127e+06,3.79018e+06,9.55338e+06,0,0,0,0
94.3805,94.3805,3.02211,0,0,2.4376,2.4376,0,0.456629,4.6872,4.14361e+06,2.83561e+06,1.01005e+07,0,0,0,0,71.5777,70.5495,3.70076,0,0,1.10983,1.10983,0,0.857125,1.90512,8.61127e+06,3.79018e+06,9.55707e+06,0,0,0,0
94.3805,94.3805,3.08976,0,0,2.43854,2.43854,0,0.456806,4.6872,4.14361e+06,2.83561e+06,1.01044e+07,0,0,0,0,71.5777,70.5495,3.08062,0,0,1.11026,1.11026,0,0.857457,1.90512,8.61127e+06,3.79018e+06,9.56076e+06,0,0,0,0
94.3805,94.3805,3.22551,0,0,2.5552,2.5552,0,0.456982,4.6872,4.14361e+06,2.83561e+06,1.05878e+07,0,0,0,0,71.5777,70.5495,3.31139,0,0,1.17074,1.17074,0,0.857788,1.90512,8.61127e+06,3.79018e+06,1.00816e+07,0,0,0,0
94.3805,94.3805,2.79662,0,0,2.55619,2.55619,0,0.478845,4.6872,4.14361e+06,2.83561e+06,1.05919e+07,0,0,0,0,71.5777,70.5495,3.32791,0,0,1.17119,1.17119,0,0.904514,1.90512,8.61127e+06,3.79018e+06,1.00855e+07,0,0,0,0
94.3191,94.3805,2.68075,0,0,2.55718,2.55718,0,0.47903,4.6872,4.14361e+06,2.83561e+06,1.0596e+07,0,0,0,0,71.5777,70.5495,3.32178,0,0,1.17164,1.17164,0,0.904863,1.90512,8.61127e+06,3.79018e+06,1.00894e+07,0,0,0,0
94.1271,94.3805,2.54428,0,0,2.55817,2.55817,0,0.479215,4.6872,4.14361e+06,2.83561e+06,1.06e+07,0,0,0,0,71.5777,70.5495,3.48452,0,0,1.1721,1.1721,0,0.905213,1.90512,8.61127e+06,3.79018e+06,1.00932e+07,0,0,0,0
93.806,94.3805,2.42303,0,0,2.55915,2.55915,0,0.4794,4.6872,4.14361e+06,2.83561e+06,1.06041e+07,0,0,0,0,71.5777,70.5495,3.37398,0,0,1.17255,1.17255,0,0.905562,1.90512,8.61127e+06,3.79018e+06,1.00971e+07,0,0,0,0
93.8211,94.3805,2.70248,0,0,2.53721,2.53721,0,0.479585,4.6872,4.14361e+06,2.83561e+06,1.05132e+07,0,0,0,0,71.5777,70.5495,3.45296,0,0,1.20607,1.20607,0,0.905912,1.90512,8.61127e+06,3.79018e+06,1.03858e+07,0,0,0,0
93.6107,94.3805,2.4716,0,0,2.53819,2.53819,0,0.475473,4.6872,4.14361e+06,2.83561e+06,1.05173e+07,0,0,0,0,71.5777,70.5495,3.39403,0,0,1.20654,1.20654,0,0.93181,1.90512,8.61127e+06,3.79018e+06,1.03898e+07,0,0,0,0
93.1925,94.3805,2.24648,0,0,2.53917,2.53917,0,0.475657,4.6872,4.14361e+06,2.83561e+06,1.05213e+07,0,0,0,0,71.5777,70.5495,3.06643,0,0,1.207,1.207,0,0.93217,1.90512,8.61127e+06,3.79018e+06,1.03938e+07,0,0,0,0
92.7037,94.3805,2.12554,0,0,2.54015,2.54015,0,0.475841,4.6872,4.14361e+06,2.83561e+06,1.05254e+07,0,0,0,0,71.5777,70.5495,3.01529,0,0,1.20747,1.20747,0,0.93253,1.90512,8.61127e+06,3.79018e+06,1.03978e+07,0,0,0,0
92.3186,94.3805,2.29098,0,0,2.60044,2.60044,0,0.476024,4.6872,4.14361e+06,2.83561e+06,1.07752e+07,0,0,0,0,71.5777,70.5495,3.19738,0,0,1.23745,1.23745,0,0.93289,1.90512,8.61127e+06,3.79018e+06,1.0656e+07,0,0,0,0
