0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,0.000745969,2.32746e+07,-844881,844881,1.241e+07
0,0,0,0,0,2.31949e+07,-786945,786945,1.241e+07
0,0,0,0,0,2.32024e+07,-785039,785039,1.241e+07
0,0,0,0,0,2.32099e+07,-783134,783134,1.241e+07
0,0,0,0,0,2.56044e+07,-781227,781227,1.241e+07
0,0,0,0,0,2.48794e+07,-307802,307802,1.241e+07
0,0,0,0,0,2.48877e+07,-305671,305671,1.241e+07
0,0,0,0,0,2.4896e+07,-303539,303539,1.241e+07
0,0,0,0,0,2.16126e+07,-301406,301406,1.241e+07
0,0,0,0,0,2.24682e+07,-844881,844881,1.241e+07
0,0,0,0,0,2.24782e+07,-844881,844881,1.241e+07
0,0,0,0,0,2.24883e+07,-844881,844881,1.241e+07
0,0,0,0,0,2.24983e+07,-844881,844881,1.241e+07
0,0,0,0,0,2.33254e+07,-844881,844881,1.241e+07
0,0,0,0,0,2.32172e+07,-768629,768629,1.241e+07
0,0,0,0,0,2.32247e+07,-766720,766720,1.241e+07
0,0,0,0,0,2.32322e+07,-764812,764812,1.241e+07
0,0,0,0,0,2.29208e+07,-762902,762902,1.241e+07
0,0,0,0,0,2.30223e+07,-821488,821488,1.241e+07
0,0,0,0,0,2.30297e+07,-819607,819607,1.241e+07
0,0,0,0,0,2.30371e+07,-817724,817724,1.241e+07
0,0,0,0,0,2.41564e+07,-815842,815842,1.241e+07
0,0,0,0,0,2.38299e+07,-599017,599017,1.241e+07
0,0,0,0,0,2.38377e+07,-597031,597031,1.241e+07
0,0,0,0,0,2.38454e+07,-595045,595045,1.241e+07
0,0,0,0,0,2.38532e+07,-593059,593059,1.241e+07
0,0,0,0,0,2.41234e+07,-591072,591072,1.241e+07
0,0,0,0,0,2.39471e+07,-470669,470669,1.241e+07
0,0,0,0,0,2.39549e+07,-468625,468625,1.241e+07
0,0,0,0,0,2.39627e+07,-466580,466580,1.241e+07
0,0,0,0,0,2.45273e+07,-464535,464535,1.241e+07
0,0,0,0,0,2.43708e+07,-356756,356756,1.241e+07
0,0,0,0,0,2.43788e+07,-354659,354659,1.241e+07
0,0,0,0,0,2.43868e+07,-352563,352563,1.241e+07
0,0,0,0,0,2.62448e+07,-350466,350466,1.241e+07
