0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2),1_Lago Paranoa(id3)
1,1,1,1
0.994995,1,1,1
0.990991,1,0.998999,1
0.982983,1,1,1
0.976977,1,1,1
0.96997,1,1,1
0.962963,1,1,1
0.964965,1,1,1
0.957958,1,0.998999,1
0.941942,1,0.998999,1
0.923924,1,1,1
0.907908,1,1,1
0.904905,1,1,1
0.890891,1,1,1
0.875876,1,1,1
0.845846,1,1,1
0.831832,1,1,1
0.817818,1,1,1
0.801802,1,1,1
0.787788,1,1,1
0.763764,1,1,1
0.754755,1,1,1
0.72973,1,1,1
0.734735,1,1,1
0.724725,1,1,1
0.735736,1,0.998999,1
0.71972,1,1,1
0.715716,1,1,1
0.720721,1,1,1
0.73974,1,1,1
0.714715,1,1,1
0.697698,1,1,1
0.715716,1,1,1
0.717718,1,0.998999,1
0.718719,1,0.997998,1
0.704705,1,0.997998,1
0.730731,1,1,1
0.742743,1,0.998999,1
0.741742,1,1,1
0.734735,1,1,1
