0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.0370183,0.0244104,0,0
0.994995,1,0.0376686,0.0248392,0,0
0.990991,1,0.0383867,0.0253127,0,0
0.982983,1,0.0391097,0.0257895,9,0
0.976977,1,0.0397864,0.0262357,10,0
0.96997,1,0.0405024,0.0267079,11,0
0.962963,1,0.0412262,0.0271852,11,0
0.964965,1,0.0419117,0.0276372,13,0
0.957958,1,0.0425773,0.0280761,12,0
0.941942,1,0.0431984,0.0284856,18,0
0.923924,1,0.0438072,0.0288871,16,0
0.907908,1,0.0444313,0.0292986,16,0
0.904905,1,0.0450171,0.0296849,20,0
0.890891,1,0.0456136,0.0300783,22,0
0.875876,1,0.0461618,0.0304398,29,0
0.845846,1,0.0467133,0.0308035,26,0
0.831832,1,0.047214,0.0311336,31,0
0.817818,1,0.0476927,0.0314493,31,0
0.801802,1,0.048168,0.0317627,34,0
0.787788,1,0.0486251,0.0320641,41,0
0.763764,1,0.0490668,0.0323554,35,0
0.754755,1,0.0494824,0.0326294,48,0
0.72973,1,0.049836,0.0328626,52,0
0.734735,1,0.0501592,0.0330757,44,0
0.724725,1,0.0504931,0.0332959,44,0
0.735736,1,0.0508065,0.0335025,43,0
0.71972,1,0.0510944,0.0336924,40,0
0.715716,1,0.0513448,0.0338575,39,0
0.720721,1,0.0515574,0.0339977,52,0
0.73974,1,0.0517474,0.034123,46,0
0.714715,1,0.0519147,0.0342333,39,0
0.697698,1,0.0520747,0.0343388,36,0
0.715716,1,0.0521995,0.0344211,41,0
0.717718,1,0.0523011,0.0344881,32,0
0.718719,1,0.0523794,0.0345397,40,0
0.704705,1,0.0524344,0.034576,33,0
0.730731,1,0.0524664,0.0345971,29,0
0.742743,1,0.0524757,0.0346032,40,0
0.741742,1,0.0524636,0.0345953,30,0
0.734735,1,0.0524292,0.0345726,34,0
