Realization	utility	WSS	week	infra.
10	0	0	1513	6
18	0	0	1565	6
32	0	0	1565	6
34	0	0	1461	6
37	0	0	1461	6
40	0	0	1669	6
43	0	0	1565	6
46	0	0	1774	6
50	0	0	1513	6
56	0	0	1461	6
59	0	0	1513	6
75	0	0	1669	6
91	0	0	1513	6
100	0	0	1565	6
102	0	0	1617	6
108	0	0	1461	6
109	0	0	1982	6
113	0	0	1617	6
116	0	0	1408	6
125	0	0	1669	6
129	0	0	1513	6
137	0	0	1461	6
141	0	0	1930	6
142	0	0	1617	6
148	0	0	1826	6
150	0	0	1408	6
153	0	0	1461	6
157	0	0	1617	6
159	0	0	1408	6
162	0	0	1513	6
169	0	0	1565	6
170	0	0	1878	6
171	0	0	2035	6
177	0	0	1408	6
187	0	0	1461	6
190	0	0	1826	6
191	0	0	1774	6
192	0	0	1774	6
195	0	0	1617	6
198	0	0	1565	6
203	0	0	1930	6
205	0	0	1513	6
211	0	0	1617	6
217	0	0	1565	6
224	0	0	1408	6
228	0	0	1513	6
229	0	0	1408	6
231	0	0	1513	6
234	0	0	1669	6
235	0	0	1461	6
237	0	0	1878	6
239	0	0	1408	6
249	0	0	1408	6
251	0	0	1826	6
252	0	0	1461	6
258	0	0	1617	6
260	0	0	1513	6
265	0	0	1461	6
267	0	0	1878	6
271	0	0	2035	6
273	0	0	1774	6
280	0	0	1826	6
284	0	0	1722	6
285	0	0	1826	6
287	0	0	1617	6
291	0	0	1722	6
295	0	0	1408	6
297	0	0	1774	6
298	0	0	1461	6
300	0	0	1878	6
302	0	0	1930	6
303	0	0	1617	6
305	0	0	1565	6
307	0	0	1408	6
314	0	0	1461	6
317	0	0	1722	6
318	0	0	1565	6
319	0	0	1774	6
321	0	0	1669	6
324	0	0	1878	6
327	0	0	1461	6
328	0	0	1774	6
330	0	0	1461	6
331	0	0	1722	6
333	0	0	1513	6
334	0	0	1774	6
340	0	0	1461	6
341	0	0	1461	6
342	0	0	1565	6
343	0	0	1826	6
344	0	0	1513	6
345	0	0	1513	6
346	0	0	1565	6
347	0	0	1930	6
355	0	0	1617	6
356	0	0	1930	6
358	0	0	1826	6
361	0	0	1461	6
366	0	0	1669	6
368	0	0	1617	6
370	0	0	1774	6
371	0	0	1461	6
375	0	0	1722	6
385	0	0	1774	6
388	0	0	1826	6
396	0	0	1722	6
401	0	0	1774	6
402	0	0	1565	6
405	0	0	1461	6
406	0	0	1930	6
415	0	0	1982	6
426	0	0	1878	6
431	0	0	1826	6
435	0	0	1669	6
436	0	0	1513	6
441	0	0	1513	6
442	0	0	1408	6
449	0	0	1669	6
453	0	0	1669	6
459	0	0	1408	6
462	0	0	1669	6
467	0	0	1826	6
469	0	0	1408	6
470	0	0	1930	6
476	0	0	1617	6
477	0	0	1930	6
