0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,0.000745969,2.37898e+07,0,0,1.3444e+07
0,0,0,0,0,2.37976e+07,0,0,1.3444e+07
0,0,0,0,0,2.38053e+07,0,0,1.3444e+07
0,0,0,0,0,2.38131e+07,0,0,1.3444e+07
0,0,0,0,0,2.58814e+07,-523895,523895,1.3444e+07
0,0,0,0,0,2.58898e+07,-524066,524066,1.3444e+07
0,0,0,0,0,2.58983e+07,-524237,524237,1.3444e+07
0,0,0,0,0,2.59068e+07,-524409,524409,1.3444e+07
0,0,0,0,0,2.28781e+07,0,0,1.3444e+07
0,0,0,0,0,2.28856e+07,0,0,1.3444e+07
0,0,0,0,0,2.28931e+07,0,0,1.3444e+07
0,0,0,0,0,2.29005e+07,0,0,1.3444e+07
0,0,0,0,0,2.2908e+07,0,0,1.3444e+07
0,0,0,0,0,2.37989e+07,0,0,1.3444e+07
0,0,0,0,0,2.38067e+07,0,0,1.3444e+07
0,0,0,0,0,2.38145e+07,0,0,1.3444e+07
0,0,0,0,0,2.38223e+07,0,0,1.3444e+07
0,0,0,0,0,2.34855e+07,0,0,1.3444e+07
0,0,0,0,0,2.34932e+07,0,0,1.3444e+07
0,0,0,0,0,2.35008e+07,0,0,1.3444e+07
0,0,0,0,0,2.35085e+07,0,0,1.3444e+07
0,0,0,0,0,2.47171e+07,0,0,1.3444e+07
0,0,0,0,0,2.47251e+07,0,0,1.3444e+07
0,0,0,0,0,2.47332e+07,0,0,1.3444e+07
0,0,0,0,0,2.47413e+07,0,0,1.3444e+07
0,0,0,0,0,2.47494e+07,0,0,1.3444e+07
0,0,0,0,0,2.45439e+07,-496820,496820,1.3444e+07
0,0,0,0,0,2.45519e+07,-496982,496982,1.3444e+07
0,0,0,0,0,2.45599e+07,-497144,497144,1.3444e+07
0,0,0,0,0,2.45679e+07,-497307,497307,1.3444e+07
0,0,0,0,0,2.51645e+07,-509384,509384,1.3444e+07
0,0,0,0,0,2.51727e+07,-509550,509550,1.3444e+07
0,0,0,0,0,2.51809e+07,-509716,509716,1.3444e+07
0,0,0,0,0,2.51892e+07,-509882,509882,1.3444e+07
0,0,0,0,0,2.71519e+07,-549613,549613,1.3444e+07
0,0,0,0,0,2.71608e+07,-549792,549792,1.3444e+07
0,0,0,0,0,2.71696e+07,-549971,549971,1.3444e+07
0,0,0,0,0,2.71785e+07,-550151,550151,1.3444e+07
0,0,0,0,0,2.71874e+07,-550330,550330,1.3444e+07
0,0,0,0,0,2.6097e+07,-528259,528259,1.3444e+07
0,0,0,0,0,2.61055e+07,-528431,528431,1.3444e+07
0,0,0,0,0,2.6114e+07,-528603,528603,1.3444e+07
0,0,0,0,0,2.61225e+07,-528776,528776,1.3444e+07
0,0,0,0,0,2.51616e+07,-509325,509325,1.3444e+07
0,0,0,0,0,2.51698e+07,-509491,509491,1.3444e+07
0,0,0,0,0,2.5178e+07,-509657,509657,1.3444e+07
0,0,0,0,0,2.51862e+07,-509823,509823,1.3444e+07
0,0,0,0,0,2.34112e+07,0,0,1.3444e+07
0,0,0,0,0,2.34188e+07,0,0,1.3444e+07
0,0,0,0,0,2.34265e+07,0,0,1.3444e+07
0,0,0,0,0,2.34341e+07,0,0,1.3444e+07
0,0,0,0,0,2.34417e+07,0,0,1.3444e+07
0,0,0,0,0.000745969,2.41967e+07,0,0,1.3444e+07
0,0,0,0,0,2.42044e+07,0,0,1.3444e+07
0,0,0,0,0,2.4212e+07,0,0,1.3444e+07
0,0,0,0,0,2.42197e+07,0,0,1.3444e+07
0,0,0,0,0,2.63229e+07,-532833,532833,1.3444e+07
0,0,0,0,0,2.63312e+07,-533001,533001,1.3444e+07
0,0,0,0,0,2.63396e+07,-533169,533169,1.3444e+07
0,0,0,0,0,2.63479e+07,-533337,533337,1.3444e+07
0,0,0,0,0,2.32674e+07,0,0,1.3444e+07
0,0,0,0,0,2.32747e+07,0,0,1.3444e+07
0,0,0,0,0,2.3282e+07,0,0,1.3444e+07
0,0,0,0,0,2.32894e+07,0,0,1.3444e+07
0,0,0,0,0,2.32967e+07,0,0,1.3444e+07
0,0,0,0,0,2.42025e+07,0,0,1.3444e+07
0,0,0,0,0,2.42101e+07,0,0,1.3444e+07
0,0,0,0,0,2.42178e+07,0,0,1.3444e+07
0,0,0,0,0,2.42254e+07,0,0,1.3444e+07
0,0,0,0,0,2.38827e+07,0,0,1.3444e+07
0,0,0,0,0,2.38902e+07,0,0,1.3444e+07
0,0,0,0,0,2.38977e+07,0,0,1.3444e+07
0,0,0,0,0,2.39053e+07,0,0,1.3444e+07
0,0,0,0,0,2.51339e+07,0,0,1.3444e+07
0,0,0,0,0,2.51419e+07,0,0,1.3444e+07
0,0,0,0,0,2.51498e+07,0,0,1.3444e+07
0,0,0,0,0,2.51577e+07,0,0,1.3444e+07
0,0,0,0,0,2.51656e+07,0,0,1.3444e+07
