0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
122.105,122.105,6.68958,0.05,0,2.46977,2.46977,0,0,4.89888,4.19476e+06,2.70226e+06,1.03601e+07,0,0,0,0,62.3362,61.308,3.42665,0,1,1.43262,1.43262,0,0,1.69344,8.71756e+06,3.61194e+06,1.24889e+07,0,0,0,0
122.105,122.105,4.95393,0.05,0,2.47083,2.47083,0,0.462835,4.89888,4.19476e+06,2.70226e+06,1.03645e+07,0,0,0,0,62.3362,61.308,3.97169,0,1,1.43323,1.43323,0,1.10684,1.69344,8.71756e+06,3.61194e+06,1.24943e+07,0,0,0,0
122.105,122.105,3.63094,0.05,0,2.47189,2.47189,0,0.463034,4.89888,4.19476e+06,2.70226e+06,1.0369e+07,0,0,0,0,62.3362,61.308,2.95002,0,1,1.43384,1.43384,0,1.10731,1.69344,8.71756e+06,3.61194e+06,1.24996e+07,0,0,0,0
122.105,122.105,4.03924,0.05,0,2.47295,2.47295,0,0.463232,4.89888,4.19476e+06,2.70226e+06,1.03734e+07,0,0,0,0,62.3362,61.308,2.44209,0,1,1.43446,1.43446,0,1.10779,1.69344,8.71756e+06,3.61194e+06,1.2505e+07,0,0,0,0
122.105,122.105,5.0787,0.05,0,2.67142,2.71532,0,0.463431,4.89888,4.19476e+06,2.87061e+06,1.12059e+07,0,0,0,0,62.3362,61.308,3.96123,1,1,1.57788,1.60381,0,1.10826,1.69344,8.71756e+06,3.83696e+06,1.37552e+07,0,0,0,0
122.105,122.105,6.12599,0.05,0,2.67256,2.71648,0,0.500624,4.89888,4.19476e+06,2.87061e+06,1.12107e+07,0,0,0,0,62.3362,61.308,4.41467,1,1,1.57855,1.6045,0,1.21907,1.69344,8.71756e+06,3.83696e+06,1.37611e+07,0,0,0,0
122.105,122.105,6.71082,0.05,0,2.67371,2.71764,0,0.500838,4.89888,4.19476e+06,2.87061e+06,1.12155e+07,0,0,0,0,62.3362,61.308,4.42555,1,1,1.57923,1.60518,0,1.21959,1.69344,8.71756e+06,3.83696e+06,1.3767e+07,0,0,0,0
122.105,122.105,6.47502,0.05,0,2.67485,2.71881,0,0.501052,4.89888,4.19476e+06,2.87061e+06,1.12204e+07,0,0,0,0,62.3362,61.308,3.57652,1,1,1.57991,1.60587,0,1.22011,1.69344,8.71756e+06,3.83696e+06,1.37729e+07,0,0,0,0
122.105,122.105,5.00667,0.05,0,2.3752,2.3752,0,0.501267,4.89888,4.19476e+06,2.70226e+06,9.96338e+06,0,0,0,0,62.3362,61.308,3.4022,0,1,1.37973,1.37973,0,1.22064,1.69344,8.71756e+06,3.61194e+06,1.20278e+07,0,0,0,0
122.105,122.105,5.10909,0.05,0,2.37621,2.37621,0,0.445112,4.89888,4.19476e+06,2.70226e+06,9.96765e+06,0,0,0,0,62.3362,61.308,4.10664,0,1,1.38032,1.38032,0,1.06598,1.69344,8.71756e+06,3.61194e+06,1.2033e+07,0,0,0,0
122.105,122.105,5.84399,0.05,0,2.37723,2.37723,0,0.445303,4.89888,4.19476e+06,2.70226e+06,9.97191e+06,0,0,0,0,62.3362,61.308,3.60261,0,1,1.38091,1.38091,0,1.06643,1.69344,8.71756e+06,3.61194e+06,1.20381e+07,0,0,0,0
122.105,122.105,4.81887,0.05,0,2.37825,2.37825,0,0.445493,4.89888,4.19476e+06,2.70226e+06,9.97618e+06,0,0,0,0,62.3362,61.308,3.1643,0,1,1.3815,1.3815,0,1.06689,1.69344,8.71756e+06,3.61194e+06,1.20433e+07,0,0,0,0
122.105,122.105,5.29441,0.05,0,2.37927,2.37927,0,0.445684,4.89888,4.19476e+06,2.70226e+06,9.98045e+06,0,0,0,0,62.3362,61.308,3.93844,0,1,1.38209,1.38209,0,1.06735,1.69344,8.71756e+06,3.61194e+06,1.20484e+07,0,0,0,0
122.105,122.105,6.8227,0.05,0,2.46725,2.46725,0,0.445875,4.89888,4.19476e+06,2.70226e+06,1.03495e+07,0,0,0,0,62.3362,61.308,5.78146,0,1,1.43829,1.43829,0,1.0678,1.69344,8.71756e+06,3.61194e+06,1.25384e+07,0,0,0,0
122.105,122.105,6.33598,0.05,0,2.46831,2.46831,0,0.462364,4.89888,4.19476e+06,2.70226e+06,1.0354e+07,0,0,0,0,62.3362,61.308,6.15876,0,1,1.43891,1.43891,0,1.11122,1.69344,8.71756e+06,3.61194e+06,1.25437e+07,0,0,0,0
122.105,122.105,4.60211,0.05,0,2.46937,2.46937,0,0.462561,4.89888,4.19476e+06,2.70226e+06,1.03584e+07,0,0,0,0,62.3362,61.308,6.23628,0,1,1.43952,1.43952,0,1.1117,1.69344,8.71756e+06,3.61194e+06,1.25491e+07,0,0,0,0
122.105,122.105,4.37196,0.05,0,2.47042,2.47042,0,0.462759,4.89888,4.19476e+06,2.70226e+06,1.03628e+07,0,0,0,0,62.3362,61.308,6.37082,0,1,1.44014,1.44014,0,1.11217,1.69344,8.71756e+06,3.61194e+06,1.25545e+07,0,0,0,0
122.105,122.105,3.44342,0.05,0,2.43741,2.43741,0,0.462957,4.89888,4.19476e+06,2.70226e+06,1.02244e+07,0,0,0,0,62.3362,61.308,3.7327,0,1,1.41912,1.41912,0,1.11265,1.69344,8.71756e+06,3.61194e+06,1.23712e+07,0,0,0,0
122.105,122.105,2.92439,0.05,0,2.43846,2.43846,0,0.456771,4.89888,4.19476e+06,2.70226e+06,1.02287e+07,0,0,0,0,62.3362,61.308,2.90733,0,1,1.41972,1.41972,0,1.09641,1.69344,8.71756e+06,3.61194e+06,1.23765e+07,0,0,0,0
122.056,122.105,2.66826,0.05,0,2.4395,2.4395,0,0.456967,4.89888,4.19476e+06,2.70226e+06,1.02331e+07,0,0,0,0,62.3362,61.308,2.65537,0,1,1.42033,1.42033,0,1.09688,1.69344,8.71756e+06,3.61194e+06,1.23818e+07,0,0,0,0
121.871,122.105,2.48152,0.07,0,2.44054,2.44054,0,0.457162,4.89888,4.19476e+06,2.70226e+06,1.02375e+07,0,0,0,0,62.3362,61.308,2.59982,0,1,1.42094,1.42094,0,1.09735,1.69344,8.71756e+06,3.61194e+06,1.23871e+07,0,0,0,0
121.713,122.105,2.62904,0.06,0,2.5574,2.5574,0,0.457357,4.89888,4.19476e+06,2.70226e+06,1.07277e+07,0,0,0,0,62.3362,61.308,2.96732,0,1,1.4984,1.4984,0,1.09782,1.69344,8.71756e+06,3.61194e+06,1.30624e+07,0,0,0,0
121.432,122.105,2.42272,0.06,0,2.5585,2.5585,0,0.479257,4.89888,4.19476e+06,2.70226e+06,1.07323e+07,0,0,0,0,62.3362,61.308,2.32637,0,1,1.49904,1.49904,0,1.15766,1.69344,8.71756e+06,3.61194e+06,1.3068e+07,0,0,0,0
121.007,122.105,2.22248,0.05,0,2.55959,2.55959,0,0.479462,4.89888,4.19476e+06,2.70226e+06,1.07369e+07,0,0,0,0,62.3362,61.308,2.3193,0,1,1.49968,1.49968,0,1.15816,1.69344,8.71756e+06,3.61194e+06,1.30735e+07,0,0,0,0
