Realization	utility	WSS	week	infra.
10	0	0	1565	8
18	0	0	1617	8
32	0	0	1617	8
34	0	0	1513	8
37	0	0	1513	8
40	0	0	1722	8
43	0	0	1617	8
46	0	0	1826	8
50	0	0	1565	8
56	0	0	1513	8
59	0	0	1565	8
75	0	0	1722	8
91	0	0	1565	8
100	0	0	1617	8
102	0	0	1669	8
108	0	0	1513	8
109	0	0	2035	8
113	0	0	1669	8
116	0	0	1461	8
125	0	0	1722	8
129	0	0	1565	8
137	0	0	1513	8
141	0	0	1982	8
142	0	0	1669	8
148	0	0	1878	8
150	0	0	1461	8
153	0	0	1513	8
157	0	0	1669	8
159	0	0	1461	8
162	0	0	1565	8
169	0	0	1617	8
170	0	0	1930	8
177	0	0	1461	8
187	0	0	1513	8
190	0	0	1878	8
191	0	0	1826	8
192	0	0	1826	8
195	0	0	1669	8
198	0	0	1617	8
203	0	0	1982	8
205	0	0	1565	8
211	0	0	1669	8
217	0	0	1617	8
224	0	0	1461	8
228	0	0	1565	8
229	0	0	1461	8
231	0	0	1565	8
234	0	0	1722	8
235	0	0	1513	8
237	0	0	1930	8
239	0	0	1461	8
249	0	0	1461	8
251	0	0	1878	8
252	0	0	1513	8
258	0	0	1669	8
260	0	0	1565	8
265	0	0	1513	8
267	0	0	1930	8
273	0	0	1826	8
280	0	0	1878	8
284	0	0	1774	8
285	0	0	1878	8
287	0	0	1669	8
291	0	0	1774	8
295	0	0	1461	8
297	0	0	1826	8
298	0	0	1513	8
300	0	0	1930	8
302	0	0	1982	8
303	0	0	1669	8
305	0	0	1617	8
307	0	0	1461	8
314	0	0	1513	8
317	0	0	1774	8
318	0	0	1617	8
319	0	0	1826	8
321	0	0	1722	8
324	0	0	1930	8
327	0	0	1513	8
328	0	0	1826	8
330	0	0	1513	8
331	0	0	1774	8
333	0	0	1565	8
334	0	0	1826	8
340	0	0	1513	8
341	0	0	1513	8
342	0	0	1617	8
343	0	0	1878	8
344	0	0	1565	8
345	0	0	1565	8
346	0	0	1617	8
347	0	0	1982	8
355	0	0	1669	8
356	0	0	1982	8
358	0	0	1878	8
361	0	0	1513	8
366	0	0	1722	8
368	0	0	1669	8
370	0	0	1826	8
371	0	0	1513	8
375	0	0	1774	8
385	0	0	1826	8
388	0	0	1878	8
396	0	0	1774	8
401	0	0	1826	8
402	0	0	1617	8
405	0	0	1513	8
406	0	0	1982	8
415	0	0	2035	8
426	0	0	1930	8
431	0	0	1878	8
435	0	0	1722	8
436	0	0	1565	8
441	0	0	1565	8
442	0	0	1461	8
449	0	0	1722	8
453	0	0	1722	8
459	0	0	1461	8
462	0	0	1722	8
467	0	0	1878	8
469	0	0	1461	8
470	0	0	1982	8
476	0	0	1669	8
477	0	0	1982	8
488	0	0	1461	8
492	0	0	1461	8
493	0	0	1722	8
496	0	0	1461	8
499	0	0	1878	8
504	0	0	1982	8
506	0	0	1617	8
510	0	0	1565	8
513	0	0	1565	8
515	0	0	1513	8
519	0	0	1826	8
523	0	0	1669	8
525	0	0	1461	8
527	0	0	1826	8
528	0	0	1565	8
536	0	0	1669	8
542	0	0	1878	8
547	0	0	1617	8
549	0	0	1669	8
555	0	0	1826	8
557	0	0	1461	8
558	0	0	1461	8
560	0	0	1617	8
562	0	0	1669	8
563	0	0	1826	8
568	0	0	1513	8
572	0	0	1461	8
574	0	0	1513	8
576	0	0	1461	8
577	0	0	1669	8
579	0	0	1617	8
581	0	0	1617	8
584	0	0	1774	8
586	0	0	1617	8
592	0	0	1461	8
595	0	0	1722	8
604	0	0	1565	8
611	0	0	1461	8
613	0	0	1565	8
616	0	0	1513	8
617	0	0	1982	8
634	0	0	1461	8
637	0	0	1461	8
638	0	0	1669	8
640	0	0	1722	8
641	0	0	1774	8
647	0	0	1565	8
648	0	0	1513	8
649	0	0	1565	8
654	0	0	1513	8
655	0	0	1513	8
659	0	0	1461	8
660	0	0	1565	8
662	0	0	1565	8
663	0	0	1565	8
665	0	0	1982	8
668	0	0	1878	8
673	0	0	1461	8
674	0	0	1722	8
675	0	0	1669	8
679	0	0	1930	8
681	0	0	1461	8
682	0	0	1617	8
684	0	0	1617	8
687	0	0	1722	8
689	0	0	1669	8
694	0	0	1513	8
698	0	0	1565	8
699	0	0	1826	8
700	0	0	1513	8
706	0	0	1878	8
707	0	0	1513	8
715	0	0	1513	8
725	0	0	1513	8
727	0	0	1669	8
733	0	0	1565	8
740	0	0	1565	8
742	0	0	1930	8
743	0	0	1617	8
748	0	0	1513	8
758	0	0	1878	8
759	0	0	1826	8
760	0	0	1565	8
762	0	0	1878	8
765	0	0	1669	8
766	0	0	1513	8
771	0	0	1930	8
775	0	0	1513	8
781	0	0	1617	8
782	0	0	1461	8
787	0	0	1878	8
792	0	0	1826	8
793	0	0	1878	8
796	0	0	1669	8
797	0	0	1617	8
800	0	0	1878	8
803	0	0	1565	8
804	0	0	1617	8
813	0	0	1774	8
817	0	0	1669	8
823	0	0	1930	8
824	0	0	1930	8
826	0	0	1513	8
828	0	0	1774	8
831	0	0	1878	8
838	0	0	1565	8
841	0	0	1565	8
842	0	0	1617	8
846	0	0	1722	8
847	0	0	1878	8
848	0	0	1565	8
849	0	0	1722	8
850	0	0	1722	8
855	0	0	1669	8
859	0	0	1617	8
866	0	0	1565	8
872	0	0	1513	8
875	0	0	1565	8
881	0	0	1565	8
882	0	0	1513	8
885	0	0	1617	8
887	0	0	1461	8
890	0	0	1669	8
893	0	0	1461	8
895	0	0	1461	8
897	0	0	1722	8
902	0	0	1722	8
904	0	0	1774	8
908	0	0	1722	8
910	0	0	1878	8
912	0	0	2035	8
914	0	0	1565	8
916	0	0	1617	8
918	0	0	1722	8
919	0	0	1930	8
920	0	0	1774	8
924	0	0	1722	8
928	0	0	1774	8
933	0	0	1617	8
936	0	0	1513	8
937	0	0	1565	8
938	0	0	1565	8
948	0	0	1669	8
952	0	0	1774	8
954	0	0	1669	8
960	0	0	1513	8
965	0	0	1982	8
966	0	0	1930	8
967	0	0	1461	8
968	0	0	1878	8
971	0	0	1722	8
978	0	0	1513	8
979	0	0	1617	8
986	0	0	1565	8
988	0	0	1722	8
992	0	0	1565	8
996	0	0	1565	8
998	0	0	1722	8
