0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
122.105,122.105,5.79126,0,0,2.46977,2.46977,0,0,4.89888,4.10052e+06,2.70226e+06,1.01273e+07,0,0,0,0,62.3362,61.308,5.02547,0,1,1.43262,1.43262,0,0,1.69344,8.52171e+06,3.61194e+06,1.22083e+07,0,0,0,0
122.105,122.105,4.9658,0,0,2.47051,2.47051,0,0.462835,4.89888,4.10052e+06,2.70226e+06,1.01304e+07,0,0,0,0,62.3362,61.308,3.63777,0,1,1.43305,1.43305,0,1.10684,1.69344,8.52171e+06,3.61194e+06,1.2212e+07,0,0,0,0
122.105,122.105,4.46754,0,0,2.47125,2.47125,0,0.462974,4.89888,4.10052e+06,2.70226e+06,1.01334e+07,0,0,0,0,62.3362,61.308,3.75925,0,1,1.43347,1.43347,0,1.10717,1.69344,8.52171e+06,3.61194e+06,1.22156e+07,0,0,0,0
122.105,122.105,4.06358,0,0,2.47199,2.47199,0,0.463112,4.89888,4.10052e+06,2.70226e+06,1.01364e+07,0,0,0,0,62.3362,61.308,3.35813,0,1,1.4339,1.4339,0,1.1075,1.69344,8.52171e+06,3.61194e+06,1.22193e+07,0,0,0,0
122.105,122.105,3.93576,0,0,3.0889,2.71391,0,0.463251,4.89888,4.10052e+06,2.80612e+06,1.26661e+07,0,0,0,0,62.3362,61.308,3.45705,1,1,1.15105,1.60298,0,1.10783,1.69344,8.52171e+06,3.75076e+06,9.80888e+06,0,0,0,0
122.105,122.105,4.14202,0,0,3.0897,2.71472,0,0.57886,4.89888,4.10052e+06,2.80612e+06,1.26693e+07,0,0,0,0,62.3362,61.308,3.51448,1,1,1.15152,1.60346,0,0.889298,1.69344,8.52171e+06,3.75076e+06,9.81289e+06,0,0,0,0
122.105,122.105,5.33612,0,0,3.09049,2.71553,0,0.579009,4.89888,4.10052e+06,2.80612e+06,1.26726e+07,0,0,0,0,62.3362,61.308,3.81121,1,1,1.15199,1.60394,0,0.889662,1.69344,8.52171e+06,3.75076e+06,9.8169e+06,0,0,0,0
122.062,122.105,3.66486,0,0,3.09129,2.71635,0,0.579158,4.89888,4.10052e+06,2.80612e+06,1.26759e+07,0,0,0,0,62.3362,61.308,3.23268,1,1,1.15246,1.60442,0,0.890026,1.69344,8.52171e+06,3.75076e+06,9.82091e+06,0,0,0,0
122.105,122.105,3.75027,0,0,2.37274,2.37274,0,0.579308,4.89888,4.10052e+06,2.70226e+06,9.72946e+06,0,0,0,0,62.1268,61.308,2.73838,0,1,1.3783,1.3783,0,0.89039,1.69344,8.52171e+06,3.61194e+06,1.17455e+07,0,0,0,0
121.862,122.105,2.72735,0,0,2.37345,2.37345,0,0.444652,4.89888,4.10052e+06,2.70226e+06,9.73237e+06,0,0,0,0,62.3246,61.308,2.34798,0,1,1.37871,1.37871,0,1.06487,1.69344,8.52171e+06,3.61194e+06,1.1749e+07,0,0,0,0
122.105,122.105,4.10136,0,0,2.37416,2.37416,0,0.444785,4.89888,4.10052e+06,2.70226e+06,9.73528e+06,0,0,0,0,62.3362,61.308,2.67356,0,1,1.37912,1.37912,0,1.06519,1.69344,8.52171e+06,3.61194e+06,1.17525e+07,0,0,0,0
122.105,122.105,4.82487,0,0,2.37487,2.37487,0,0.444918,4.89888,4.10052e+06,2.70226e+06,9.73819e+06,0,0,0,0,62.3195,61.308,2.64389,0,1,1.37953,1.37953,0,1.06551,1.69344,8.52171e+06,3.61194e+06,1.1756e+07,0,0,0,0
