0reliability,1reliability,0afford,1afford
1,1,0.0424493,0.0237518
1,1,0.043129,0.0238621
1,1,0.0436342,0.0238679
1,0.997998,0.0441801,0.0238797
1,0.996997,0.0448387,0.0238965
1,0.996997,0.0453364,0.0238986
1,0.995996,0.0457625,0.0239089
1,0.996997,0.046254,0.0239157
1,0.997998,0.0466604,0.0239253
1,0.995996,0.0471634,0.0239253
1,0.993994,0.0474964,0.0239253
1,0.995996,0.0479541,0.0239278
1,0.995996,0.048251,0.0239199
1,0.994995,0.0485322,0.0239278
1,0.994995,0.0491088,0.0239253
1,0.994995,0.0497962,0.0239253
1,0.994995,0.0501265,0.0239278
1,0.996997,0.0509477,0.0239278
1,0.993994,0.0518258,0.0239278
1,0.995996,0.0524368,0.0239278
1,0.992993,0.0529884,0.0239278
1,0.98999,0.0535426,0.0239278
1,0.993994,0.0541719,0.0239278
1,0.991992,0.0548792,0.0239278
1,0.987988,0.0553779,0.0239278
1,0.991992,0.0560042,0.0239278
1,0.992993,0.0560942,0.0239278
1,0.997998,0.0563672,0.0239278
1,0.996997,0.0566601,0.0239278
1,0.996997,0.0569929,0.0239278
1,0.997998,0.057594,0.0239278
1,0.995996,0.0578157,0.0239253
1,0.992993,0.0578356,0.0239278
1,0.993994,0.0579511,0.0239278
1,0.997998,0.0581874,0.0239278
1,0.995996,0.0582114,0.0239278
1,0.994995,0.0584747,0.0239278
1,0.993994,0.0583474,0.0239278
1,0.993994,0.058386,0.0239253
1,0.995996,0.058446,0.0239278
