0reliability,1reliability,0afford,1afford
1,1,0.0376003,0.0237998
1,1,0.0382878,0.0239199
0.998999,1,0.0389794,0.0239199
0.996997,0.998999,0.0397057,0.0239199
0.997998,0.997998,0.0404662,0.0239199
0.995996,0.996997,0.0411703,0.0239199
0.994995,0.996997,0.0418588,0.0239199
0.996997,0.997998,0.0425611,0.0239253
0.993994,0.996997,0.0432215,0.0239253
0.984985,0.995996,0.0438348,0.0239278
0.98999,0.993994,0.044422,0.0239278
0.988989,0.993994,0.0450329,0.0239278
0.987988,0.995996,0.045625,0.0239278
0.983984,0.995996,0.0462077,0.0239278
0.977978,0.994995,0.0466672,0.0239278
0.974975,0.996997,0.0472812,0.0239278
0.968969,0.995996,0.0477939,0.0239278
0.958959,0.996997,0.0481187,0.0239278
0.954955,0.992993,0.048773,0.0239278
0.961962,0.993994,0.0491277,0.0239278
0.95996,0.993994,0.0496089,0.0239278
0.953954,0.988989,0.0499908,0.0239278
0.962963,0.990991,0.0501373,0.0239278
0.967968,0.990991,0.0506836,0.0239278
0.968969,0.986987,0.0510412,0.0239278
0.965966,0.988989,0.0513341,0.0239278
0.975976,0.990991,0.0516032,0.0239278
0.972973,0.996997,0.0519045,0.0239278
0.96997,0.992993,0.0521316,0.0239278
0.975976,0.992993,0.0522609,0.0239278
0.977978,0.996997,0.0524444,0.0239278
0.966967,0.994995,0.0526887,0.0239278
0.971972,0.991992,0.052823,0.0239278
0.95996,0.990991,0.0527871,0.0239278
0.966967,0.994995,0.0530165,0.0239278
0.95996,0.993994,0.0529932,0.0239278
0.965966,0.993994,0.0530286,0.0239278
0.972973,0.991992,0.0530312,0.0239278
0.967968,0.98999,0.0530255,0.0239278
0.95996,0.990991,0.0530701,0.0239278
