Realization	utility	WSS	week	infra.
1	0	0	1304	10
1	0	0	1617	6
2	0	0	1461	10
2	0	0	1774	6
4	0	0	1774	10
5	0	0	1669	10
5	0	0	1982	6
7	0	0	1200	10
7	0	0	1513	6
9	0	0	1513	10
9	0	0	1826	6
10	0	0	939	10
10	0	0	1252	6
12	0	0	1200	10
12	0	0	1513	6
13	0	0	1200	10
13	0	0	1513	6
14	0	0	1095	10
14	0	0	1408	6
18	0	0	939	10
18	0	0	1252	6
21	0	0	1878	10
22	0	0	1095	10
22	0	0	1408	6
25	0	0	1461	10
25	0	0	1774	6
27	0	0	1200	10
27	0	0	1513	6
0	1	1	261	8
0	1	1	1669	9
1	1	1	261	8
1	1	1	1148	9
2	1	1	261	8
2	1	1	1200	9
3	1	1	261	8
3	1	1	1565	9
4	1	1	261	8
4	1	1	1461	9
5	1	1	261	8
5	1	1	1408	9
6	1	1	261	8
7	1	1	261	8
7	1	1	1043	9
8	1	1	261	8
9	1	1	261	8
9	1	1	1304	9
10	1	1	261	8
10	1	1	887	9
11	1	1	261	8
12	1	1	261	8
12	1	1	1043	9
13	1	1	261	8
13	1	1	1043	9
14	1	1	261	8
14	1	1	939	9
15	1	1	261	8
16	1	1	261	8
17	1	1	261	8
17	1	1	1513	9
18	1	1	261	8
18	1	1	887	9
19	1	1	261	8
19	1	1	1878	9
20	1	1	261	8
21	1	1	261	8
21	1	1	1513	9
22	1	1	261	8
22	1	1	991	9
23	1	1	261	8
24	1	1	261	8
25	1	1	261	8
25	1	1	1252	9
26	1	1	261	8
26	1	1	1617	9
27	1	1	261	8
27	1	1	1043	9
28	1	1	261	8
29	1	1	261	8
