Realization	utility	WSS	week	infra.
0	0	0	313	7
0	0	0	574	8
0	0	0	834	9
1	0	0	313	7
1	0	0	574	8
1	0	0	834	9
2	0	0	313	7
2	0	0	574	8
2	0	0	834	9
3	0	0	313	7
3	0	0	574	8
3	0	0	834	9
4	0	0	313	7
4	0	0	574	8
4	0	0	834	9
5	0	0	313	7
5	0	0	574	8
5	0	0	834	9
6	0	0	313	7
6	0	0	574	8
6	0	0	834	9
7	0	0	313	7
7	0	0	574	8
7	0	0	834	9
8	0	0	313	7
8	0	0	574	8
8	0	0	834	9
9	0	0	313	7
9	0	0	574	8
9	0	0	834	9
10	0	0	313	7
10	0	0	574	8
10	0	0	834	9
11	0	0	313	7
11	0	0	574	8
11	0	0	834	9
12	0	0	313	7
12	0	0	574	8
12	0	0	834	9
13	0	0	313	7
13	0	0	574	8
13	0	0	834	9
14	0	0	313	7
14	0	0	574	8
14	0	0	834	9
15	0	0	313	7
15	0	0	574	8
15	0	0	834	9
16	0	0	313	7
16	0	0	574	8
16	0	0	834	9
17	0	0	313	7
17	0	0	574	8
17	0	0	834	9
18	0	0	313	7
18	0	0	574	8
18	0	0	834	9
19	0	0	313	7
19	0	0	574	8
19	0	0	834	9
20	0	0	313	7
20	0	0	574	8
20	0	0	834	9
21	0	0	313	7
21	0	0	574	8
21	0	0	834	9
22	0	0	313	7
22	0	0	574	8
22	0	0	834	9
23	0	0	313	7
23	0	0	574	8
23	0	0	834	9
24	0	0	313	7
24	0	0	574	8
24	0	0	834	9
25	0	0	313	7
25	0	0	574	8
25	0	0	834	9
26	0	0	313	7
26	0	0	574	8
26	0	0	834	9
27	0	0	313	7
27	0	0	574	8
27	0	0	834	9
28	0	0	313	7
28	0	0	574	8
28	0	0	834	9
29	0	0	313	7
29	0	0	574	8
29	0	0	834	9
30	0	0	313	7
30	0	0	574	8
30	0	0	834	9
31	0	0	313	7
31	0	0	574	8
31	0	0	834	9
32	0	0	313	7
32	0	0	574	8
32	0	0	834	9
33	0	0	313	7
33	0	0	574	8
33	0	0	834	9
34	0	0	313	7
34	0	0	574	8
34	0	0	834	9
35	0	0	313	7
35	0	0	574	8
35	0	0	834	9
36	0	0	313	7
36	0	0	574	8
36	0	0	834	9
37	0	0	313	7
37	0	0	574	8
37	0	0	834	9
38	0	0	313	7
38	0	0	574	8
38	0	0	834	9
39	0	0	313	7
39	0	0	574	8
39	0	0	834	9
40	0	0	313	7
40	0	0	574	8
40	0	0	834	9
41	0	0	313	7
41	0	0	574	8
41	0	0	834	9
42	0	0	313	7
42	0	0	574	8
42	0	0	834	9
43	0	0	313	7
43	0	0	574	8
43	0	0	834	9
44	0	0	313	7
44	0	0	574	8
44	0	0	834	9
45	0	0	313	7
45	0	0	574	8
45	0	0	834	9
46	0	0	313	7
46	0	0	574	8
46	0	0	834	9
47	0	0	313	7
47	0	0	574	8
47	0	0	834	9
48	0	0	313	7
48	0	0	574	8
48	0	0	834	9
49	0	0	313	7
49	0	0	574	8
49	0	0	834	9
50	0	0	313	7
50	0	0	574	8
50	0	0	834	9
51	0	0	313	7
51	0	0	574	8
51	0	0	834	9
52	0	0	313	7
52	0	0	574	8
52	0	0	834	9
53	0	0	313	7
53	0	0	574	8
53	0	0	834	9
54	0	0	313	7
54	0	0	574	8
54	0	0	834	9
55	0	0	313	7
55	0	0	574	8
55	0	0	834	9
56	0	0	313	7
56	0	0	574	8
56	0	0	834	9
57	0	0	313	7
57	0	0	574	8
57	0	0	834	9
58	0	0	313	7
58	0	0	574	8
58	0	0	834	9
59	0	0	313	7
59	0	0	574	8
59	0	0	834	9
60	0	0	313	7
60	0	0	574	8
60	0	0	834	9
61	0	0	313	7
61	0	0	574	8
61	0	0	834	9
62	0	0	313	7
62	0	0	574	8
62	0	0	834	9
63	0	0	313	7
63	0	0	574	8
63	0	0	834	9
64	0	0	313	7
64	0	0	574	8
64	0	0	834	9
65	0	0	313	7
65	0	0	574	8
65	0	0	834	9
66	0	0	313	7
66	0	0	574	8
66	0	0	834	9
67	0	0	313	7
67	0	0	574	8
67	0	0	834	9
68	0	0	313	7
68	0	0	574	8
68	0	0	834	9
69	0	0	313	7
69	0	0	574	8
69	0	0	834	9
70	0	0	313	7
70	0	0	574	8
70	0	0	834	9
71	0	0	313	7
71	0	0	574	8
71	0	0	834	9
72	0	0	313	7
72	0	0	574	8
72	0	0	834	9
73	0	0	313	7
73	0	0	574	8
73	0	0	834	9
74	0	0	313	7
74	0	0	574	8
74	0	0	834	9
75	0	0	313	7
75	0	0	574	8
75	0	0	834	9
76	0	0	313	7
76	0	0	574	8
76	0	0	834	9
77	0	0	313	7
77	0	0	574	8
77	0	0	834	9
78	0	0	313	7
78	0	0	574	8
78	0	0	834	9
79	0	0	313	7
79	0	0	574	8
79	0	0	834	9
80	0	0	313	7
80	0	0	574	8
80	0	0	834	9
81	0	0	313	7
81	0	0	574	8
81	0	0	834	9
82	0	0	313	7
82	0	0	574	8
82	0	0	834	9
83	0	0	313	7
83	0	0	574	8
83	0	0	834	9
84	0	0	313	7
84	0	0	574	8
84	0	0	834	9
85	0	0	313	7
85	0	0	574	8
85	0	0	834	9
86	0	0	313	7
86	0	0	574	8
86	0	0	834	9
87	0	0	313	7
87	0	0	574	8
87	0	0	834	9
88	0	0	313	7
88	0	0	574	8
88	0	0	834	9
89	0	0	313	7
89	0	0	574	8
89	0	0	834	9
90	0	0	313	7
90	0	0	574	8
90	0	0	834	9
91	0	0	313	7
91	0	0	574	8
91	0	0	834	9
92	0	0	313	7
92	0	0	574	8
92	0	0	834	9
93	0	0	313	7
93	0	0	574	8
93	0	0	834	9
94	0	0	313	7
94	0	0	574	8
94	0	0	834	9
95	0	0	313	7
95	0	0	574	8
95	0	0	834	9
96	0	0	313	7
96	0	0	574	8
96	0	0	834	9
97	0	0	313	7
97	0	0	574	8
97	0	0	834	9
98	0	0	313	7
98	0	0	574	8
98	0	0	834	9
99	0	0	313	7
99	0	0	574	8
99	0	0	834	9
100	0	0	313	7
100	0	0	574	8
100	0	0	834	9
101	0	0	313	7
101	0	0	574	8
101	0	0	834	9
102	0	0	313	7
102	0	0	574	8
102	0	0	834	9
103	0	0	313	7
103	0	0	574	8
103	0	0	834	9
104	0	0	313	7
104	0	0	574	8
104	0	0	834	9
105	0	0	313	7
105	0	0	574	8
105	0	0	834	9
106	0	0	313	7
106	0	0	574	8
106	0	0	834	9
107	0	0	313	7
107	0	0	574	8
107	0	0	834	9
108	0	0	313	7
108	0	0	574	8
108	0	0	834	9
109	0	0	313	7
109	0	0	574	8
109	0	0	834	9
110	0	0	313	7
110	0	0	574	8
110	0	0	834	9
111	0	0	313	7
111	0	0	574	8
111	0	0	834	9
112	0	0	313	7
112	0	0	574	8
112	0	0	834	9
113	0	0	313	7
113	0	0	574	8
113	0	0	834	9
114	0	0	313	7
114	0	0	574	8
114	0	0	834	9
115	0	0	313	7
115	0	0	574	8
115	0	0	834	9
116	0	0	313	7
116	0	0	574	8
116	0	0	834	9
117	0	0	313	7
117	0	0	574	8
117	0	0	834	9
118	0	0	313	7
118	0	0	574	8
118	0	0	834	9
119	0	0	313	7
119	0	0	574	8
119	0	0	834	9
120	0	0	313	7
120	0	0	574	8
120	0	0	834	9
121	0	0	313	7
121	0	0	574	8
121	0	0	834	9
122	0	0	313	7
122	0	0	574	8
122	0	0	834	9
123	0	0	313	7
123	0	0	574	8
123	0	0	834	9
124	0	0	313	7
124	0	0	574	8
124	0	0	834	9
125	0	0	313	7
125	0	0	574	8
125	0	0	834	9
126	0	0	313	7
126	0	0	574	8
126	0	0	834	9
127	0	0	313	7
127	0	0	574	8
127	0	0	834	9
128	0	0	313	7
128	0	0	574	8
128	0	0	834	9
129	0	0	313	7
129	0	0	574	8
129	0	0	834	9
130	0	0	313	7
130	0	0	574	8
130	0	0	834	9
131	0	0	313	7
131	0	0	574	8
131	0	0	834	9
132	0	0	313	7
132	0	0	574	8
132	0	0	834	9
133	0	0	313	7
133	0	0	574	8
133	0	0	834	9
134	0	0	313	7
134	0	0	574	8
134	0	0	834	9
135	0	0	313	7
135	0	0	574	8
135	0	0	834	9
136	0	0	313	7
136	0	0	574	8
136	0	0	834	9
137	0	0	313	7
137	0	0	574	8
137	0	0	834	9
138	0	0	313	7
138	0	0	574	8
138	0	0	834	9
139	0	0	313	7
139	0	0	574	8
139	0	0	834	9
140	0	0	313	7
140	0	0	574	8
140	0	0	834	9
141	0	0	313	7
141	0	0	574	8
141	0	0	834	9
142	0	0	313	7
142	0	0	574	8
142	0	0	834	9
143	0	0	313	7
143	0	0	574	8
143	0	0	834	9
144	0	0	313	7
144	0	0	574	8
144	0	0	834	9
145	0	0	313	7
145	0	0	574	8
145	0	0	834	9
146	0	0	313	7
146	0	0	574	8
146	0	0	834	9
147	0	0	313	7
147	0	0	574	8
147	0	0	834	9
148	0	0	313	7
148	0	0	574	8
148	0	0	834	9
149	0	0	313	7
149	0	0	574	8
149	0	0	834	9
150	0	0	313	7
150	0	0	574	8
150	0	0	834	9
151	0	0	313	7
151	0	0	574	8
151	0	0	834	9
152	0	0	313	7
152	0	0	574	8
152	0	0	834	9
153	0	0	313	7
153	0	0	574	8
153	0	0	834	9
154	0	0	313	7
154	0	0	574	8
154	0	0	834	9
155	0	0	313	7
155	0	0	574	8
155	0	0	834	9
156	0	0	313	7
156	0	0	574	8
156	0	0	834	9
157	0	0	313	7
157	0	0	574	8
157	0	0	834	9
158	0	0	313	7
158	0	0	574	8
158	0	0	834	9
159	0	0	313	7
159	0	0	574	8
159	0	0	834	9
160	0	0	313	7
160	0	0	574	8
160	0	0	834	9
161	0	0	313	7
161	0	0	574	8
161	0	0	834	9
162	0	0	313	7
162	0	0	574	8
162	0	0	834	9
163	0	0	313	7
163	0	0	574	8
163	0	0	834	9
164	0	0	313	7
164	0	0	574	8
164	0	0	834	9
165	0	0	313	7
165	0	0	574	8
165	0	0	834	9
166	0	0	313	7
166	0	0	574	8
166	0	0	834	9
167	0	0	313	7
167	0	0	574	8
167	0	0	834	9
168	0	0	313	7
168	0	0	574	8
168	0	0	834	9
169	0	0	313	7
169	0	0	574	8
169	0	0	834	9
170	0	0	313	7
170	0	0	574	8
170	0	0	834	9
171	0	0	313	7
171	0	0	574	8
171	0	0	834	9
172	0	0	313	7
172	0	0	574	8
172	0	0	834	9
173	0	0	313	7
173	0	0	574	8
173	0	0	834	9
174	0	0	313	7
174	0	0	574	8
174	0	0	834	9
175	0	0	313	7
175	0	0	574	8
175	0	0	834	9
176	0	0	313	7
176	0	0	574	8
176	0	0	834	9
177	0	0	313	7
177	0	0	574	8
177	0	0	834	9
178	0	0	313	7
178	0	0	574	8
