0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.0370183,0.0244104,0,0
1,1,0.0376686,0.0248392,0,0
1,1,0.0383867,0.0253127,0,0
0.997998,1,0.0391097,0.0257895,0,0
0.998999,1,0.0397864,0.0262357,0,0
0.997998,1,0.0405024,0.0267079,0,0
0.998999,1,0.0412262,0.0271852,0,0
1,1,0.0419117,0.0276372,0,0
0.998999,1,0.0425773,0.0280761,0,0
1,1,0.0431984,0.0284856,0,0
1,1,0.0438072,0.0288871,0,0
0.998999,1,0.0444313,0.0292986,0,0
0.997998,0.976977,0.0450171,0.0296796,0,5
1,0.87988,0.0456136,0.0299897,0,5
1,0.793794,0.0461618,0.0301764,0,5
1,0.721722,0.0467133,0.0303047,0,5
0.997998,0.657658,0.047214,0.0303913,0,9
0.997998,0.602603,0.0476927,0.0304342,0,9
0.997998,0.553554,0.048168,0.0304761,0,13
0.995996,0.510511,0.0486251,0.030545,0,13
0.994995,0.472472,0.0490668,0.0305723,0,17
0.995996,0.439439,0.0494824,0.0305803,0,21
0.994995,0.409409,0.049836,0.0305895,0,25
0.994995,0.384384,0.0501592,0.0305955,0,25
0.997998,0.36036,0.0504931,0.0306147,0,25
0.994995,0.339339,0.0508065,0.0306326,0,25
0.996997,0.321321,0.0510944,0.0306436,0,25
0.993994,0.305305,0.0513448,0.0306495,0,30
0.991992,0.291291,0.0515574,0.0306495,0,30
0.995996,0.279279,0.0517474,0.0306556,0,30
0.996997,0.269269,0.0519147,0.0306664,0,30
0.993994,0.259259,0.0520747,0.0306664,0,30
0.990991,0.252252,0.0521995,0.0306664,0,30
0.991992,0.246246,0.0523011,0.0306664,0,30
0.990991,0.241241,0.0523794,0.0306664,0,30
0.98999,0.238238,0.0524344,0.0306706,1,30
0.986987,0.236236,0.0524664,0.0306706,2,29
0.994995,0.235235,0.0524757,0.0306706,0,30
0.990991,0.237237,0.0524636,0.0306706,0,30
0.988989,0.239239,0.0524292,0.0306706,2,30
