0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity
85.139,85.139,5.27291,0.05,0,2.16737,2.46977,0,0,4.47552,99.3022,98.274,6.66595,0,1,1.73502,1.43262,0,0,2.1168
85.139,85.139,5.42784,0.05,0,2.18905,2.47072,0,0.406166,4.47552,99.3022,98.274,8.88069,0,1,1.71483,1.43316,0,1.34047,2.1168
85.139,85.139,7.72603,0.05,0,2.19055,2.47166,0,0.410229,4.47552,99.3022,98.274,7.98724,0,1,1.71483,1.43371,0,1.32488,2.1168
85.139,85.139,9.9437,0.05,0,2.19204,2.47261,0,0.410509,4.47552,99.3022,98.274,9.85532,0,1,1.71483,1.43426,0,1.32488,2.1168
85.139,85.139,12.1986,0.05,0,2.4348,2.71482,0,0.410789,4.47552,99.3022,98.274,18.8119,0,1,1.88353,1.60351,0,1.32488,2.1168
85.139,85.139,12.2281,0.05,0,2.60509,2.71586,0,0.456282,4.47552,99.3022,98.274,18.3325,0,1,1.71489,1.60413,0,1.45522,2.1168
85.139,85.139,7.8513,0.05,0,2.60674,2.7169,0,0.488194,4.47552,99.3022,98.274,12.0512,0,1,1.71489,1.60474,0,1.32493,2.1168
85.139,85.139,5.34281,0.05,0,2.6084,2.71794,0,0.488504,4.47552,99.3022,98.274,8.29823,0,1,1.71489,1.60535,0,1.32493,2.1168
85.139,85.139,3.942,0.05,0,2.2654,2.37433,0,0.488814,4.47552,99.3022,98.274,7.42576,0,1,1.48815,1.37922,0,1.32493,2.1168
85.139,85.139,4.71839,0.05,0,2.07284,2.37524,0,0.424536,4.47552,99.3022,98.274,8.15761,0,1,1.68215,1.37975,0,1.14974,2.1168
85.139,85.139,4.45083,0.05,0,2.07374,2.37614,0,0.388449,4.47552,99.3022,98.274,7.02964,0,1,1.68267,1.38027,0,1.29963,2.1168
85.139,85.139,3.82443,0.05,0,2.07465,2.37705,0,0.38862,4.47552,99.3022,98.274,7.58812,0,1,1.6832,1.3808,0,1.30003,2.1168
85.139,85.139,3.46615,0.05,0,2.07556,2.37796,0,0.38879,4.47552,99.3022,98.274,8.6639,0,1,1.68373,1.38133,0,1.30044,2.1168
85.139,85.139,7.34055,0.05,0,2.16339,2.46579,0,0.38896,4.47552,99.3022,98.274,10.8538,0,1,1.73984,1.43744,0,1.30085,2.1168
85.139,85.139,5.76686,0.05,0,2.18989,2.46673,0,0.405419,4.47552,99.3022,98.274,8.95499,0,1,1.71483,1.43798,0,1.3442,2.1168
85.139,85.139,4.57131,0.05,0,2.19138,2.46767,0,0.410385,4.47552,99.3022,98.274,6.9699,0,1,1.71483,1.43853,0,1.32488,2.1168
85.139,85.139,4.12301,0.05,0,2.19287,2.46862,0,0.410664,4.47552,99.3022,98.274,6.23742,0,1,1.71483,1.43908,0,1.32488,2.1168
85.139,85.139,3.67048,0.05,0,2.16032,2.43552,0,0.410944,4.47552,99.3022,98.274,5.47364,0,1,1.69321,1.41801,0,1.32488,2.1168
85.139,85.139,3.26206,0.05,0,2.14019,2.43645,0,0.404845,4.47552,99.3022,98.274,5.90513,0,1,1.71482,1.41856,0,1.30817,2.1168
85.139,85.139,2.9521,0.05,0,2.14166,2.43738,0,0.401071,4.47552,99.3022,98.274,4.98269,0,1,1.71482,1.4191,0,1.32487,2.1168
85.139,85.139,3.52452,0.04,0,2.14313,2.43831,0,0.401347,4.47552,99.3022,98.274,5.24389,0,1,1.71482,1.41964,0,1.32487,2.1168
85.139,85.139,2.88046,0.04,0,2.26031,2.55495,0,0.401623,4.47552,99.3022,98.274,4.97953,0,1,1.7916,1.49696,0,1.32487,2.1168
85.139,85.139,2.97819,0.03,0,2.33861,2.55593,0,0.423583,4.47552,99.3022,98.274,4.56292,0,1,1.71485,1.49754,0,1.38419,2.1168
85.139,85.139,2.65233,0.02,0,2.34016,2.5569,0,0.438256,4.47552,99.3022,98.274,4.19344,0,1,1.71485,1.49811,0,1.32489,2.1168
85.0788,85.139,2.49738,0.01,0,2.34171,2.55788,0,0.438546,4.47552,99.3022,98.274,4.02827,0,1,1.71485,1.49868,0,1.32489,2.1168
84.924,85.139,2.40366,0.04,0,2.34325,2.55886,0,0.438836,4.47552,99.3022,98.274,3.80199,0,1,1.71485,1.49925,0,1.32489,2.1168
84.9955,85.139,2.62195,0.03,0,2.32188,2.53691,0,0.439126,4.47552,99.3022,98.274,3.65047,0,1,1.75713,1.5421,0,1.32489,2.1168
84.9524,85.139,2.53686,0.02,0,2.3657,2.53787,0,0.435119,4.47552,99.3022,98.274,3.8388,0,1,1.71487,1.54269,0,1.35756,2.1168
84.8516,85.139,2.47233,0.03,0,2.36725,2.53884,0,0.443332,4.47552,99.3022,98.274,3.78502,0,1,1.71487,1.54328,0,1.32491,2.1168
84.6122,85.139,2.30458,0.03,0,2.36881,2.53981,0,0.443623,4.47552,99.3022,98.274,3.61448,0,1,1.71487,1.54387,0,1.32491,2.1168
84.2971,85.139,2.2734,0.03,0,2.42966,2.60007,0,0.443915,4.47552,99.3022,98.274,3.38026,0,1,1.75261,1.5822,0,1.32491,2.1168
83.866,85.139,2.18903,0.03,0,2.46898,2.60107,0,0.455319,4.47552,99.3022,98.274,3.22096,0,1,1.71488,1.5828,0,1.35407,2.1168
83.2384,85.139,1.98579,0.03,0,2.47058,2.60206,0,0.462687,4.47552,99.2884,98.274,2.9493,0,1,1.71488,1.5834,0,1.32492,2.1168
82.3902,85.139,1.74419,0.03,0,2.47217,2.60305,0,0.462986,4.47552,99.2616,98.274,2.91788,0,1,1.71488,1.58401,0,1.32492,2.1168
81.2082,85.139,1.56327,0.03,0,2.64768,2.77795,0,0.463285,4.47552,99.1673,98.274,2.95624,0,1,1.85131,1.72104,0,1.32492,2.1168
79.9033,85.139,1.55722,0.03,0,2.77901,2.77901,0,0.496175,4.47552,99.1437,98.274,3.05878,0,1,1.7217,1.7217,0,1.43032,2.1168
78.6361,85.139,1.58098,0.03,0,2.78007,2.78007,0,0.520787,4.47552,99.09,98.274,2.95491,0,1,1.72235,1.72235,0,1.33018,2.1168
78.1059,85.139,2.33935,0.04,0,2.78113,2.78113,0,0.520985,4.47552,99.161,98.274,3.509,0,1,1.72301,1.72301,0,1.33069,2.1168
78.5083,85.139,3.34091,0.04,0,2.78219,2.78219,0,0.521184,4.47552,99.3022,98.274,3.88861,0,1,1.72366,1.72366,0,1.3312,2.1168
78.4594,85.139,2.81254,0.04,0,2.69833,2.69833,0,0.521382,4.47552,99.3022,98.274,3.94937,0,1,1.64136,1.64136,0,1.3317,2.1168
79.2937,85.139,3.78632,0.04,0,2.62643,2.69936,0,0.505667,4.47552,99.3022,98.274,4.64489,0,1,1.71491,1.64198,0,1.26811,2.1168
79.2982,85.139,2.85036,0.04,0,2.62809,2.70038,0,0.492193,4.47552,99.3022,98.274,4.26802,0,1,1.71491,1.64261,0,1.32494,2.1168
