Realization	utility	WSS	week	infra.
1	0	0	1565	6
2	0	0	1722	6
7	0	0	1408	6
9	0	0	1878	6
10	0	0	1095	6
12	0	0	1356	6
13	0	0	1408	6
14	0	0	1252	6
18	0	0	1095	6
22	0	0	1304	6
25	0	0	1774	6
27	0	0	1356	6
30	0	0	1252	6
31	0	0	1356	6
32	0	0	1095	6
33	0	0	1617	6
34	0	0	1043	6
37	0	0	1043	6
38	0	0	1774	6
39	0	0	1878	6
40	0	0	1148	6
43	0	0	1095	6
44	0	0	1669	6
46	0	0	1200	6
47	0	0	1304	6
48	0	0	1513	6
49	0	0	1617	6
50	0	0	1095	6
51	0	0	1356	6
54	0	0	1304	6
55	0	0	1617	6
56	0	0	1043	6
58	0	0	1669	6
59	0	0	1095	6
61	0	0	1304	6
62	0	0	1304	6
67	0	0	1304	6
68	0	0	1252	6
70	0	0	1252	6
71	0	0	1356	6
73	0	0	1408	6
74	0	0	1461	6
75	0	0	1148	6
76	0	0	1565	6
80	0	0	1565	6
81	0	0	1722	6
83	0	0	1461	6
84	0	0	1774	6
89	0	0	1878	6
91	0	0	1095	6
93	0	0	1356	6
95	0	0	1722	6
97	0	0	1774	6
99	0	0	1722	6
100	0	0	1095	6
101	0	0	1304	6
102	0	0	1148	6
103	0	0	1304	6
108	0	0	1043	6
109	0	0	1252	6
110	0	0	1304	6
113	0	0	1148	6
116	0	0	1043	6
121	0	0	1513	6
125	0	0	1148	6
129	0	0	1095	6
131	0	0	1408	6
132	0	0	1304	6
134	0	0	1304	6
135	0	0	1304	6
137	0	0	1043	6
138	0	0	1513	6
140	0	0	1252	6
141	0	0	1252	6
142	0	0	1148	6
143	0	0	1252	6
144	0	0	1461	6
147	0	0	1356	6
148	0	0	1200	6
149	0	0	1669	6
150	0	0	1043	6
151	0	0	1461	6
153	0	0	1043	6
157	0	0	1148	6
158	0	0	1356	6
159	0	0	1043	6
160	0	0	1356	6
161	0	0	1513	6
162	0	0	1095	6
164	0	0	1513	6
165	0	0	1252	6
168	0	0	1304	6
169	0	0	1148	6
170	0	0	1200	6
171	0	0	1252	6
176	0	0	1408	6
177	0	0	1043	6
178	0	0	1461	6
180	0	0	1617	6
181	0	0	1565	6
182	0	0	1722	6
184	0	0	1461	6
186	0	0	1826	6
187	0	0	1043	6
188	0	0	1408	6
189	0	0	1513	6
190	0	0	1200	6
191	0	0	1200	6
192	0	0	1200	6
194	0	0	1513	6
195	0	0	1148	6
196	0	0	1826	6
197	0	0	1513	6
198	0	0	1095	6
200	0	0	1252	6
201	0	0	1408	6
202	0	0	1461	6
203	0	0	1252	6
205	0	0	1095	6
206	0	0	1408	6
208	0	0	1304	6
209	0	0	1826	6
210	0	0	1304	6
211	0	0	1148	6
212	0	0	1356	6
213	0	0	1252	6
215	0	0	1304	6
217	0	0	1095	6
219	0	0	1669	6
224	0	0	1043	6
225	0	0	1878	6
227	0	0	1565	6
228	0	0	1095	6
229	0	0	1043	6
231	0	0	1095	6
232	0	0	1669	6
234	0	0	1148	6
235	0	0	1095	6
237	0	0	1200	6
238	0	0	1930	6
239	0	0	1043	6
240	0	0	1461	6
241	0	0	1304	6
242	0	0	1565	6
243	0	0	1826	6
244	0	0	1565	6
245	0	0	1461	6
246	0	0	1356	6
248	0	0	1617	6
249	0	0	1043	6
250	0	0	1930	6
251	0	0	1200	6
252	0	0	1043	6
253	0	0	1356	6
256	0	0	1252	6
257	0	0	1304	6
258	0	0	1148	6
259	0	0	1669	6
260	0	0	1095	6
261	0	0	1304	6
265	0	0	1043	6
267	0	0	1252	6
271	0	0	1252	6
273	0	0	1200	6
275	0	0	1461	6
279	0	0	1461	6
280	0	0	1200	6
281	0	0	1252	6
282	0	0	1669	6
284	0	0	1148	6
285	0	0	1200	6
286	0	0	1252	6
287	0	0	1148	6
288	0	0	1304	6
290	0	0	1878	6
291	0	0	1148	6
293	0	0	1565	6
294	0	0	1930	6
295	0	0	1043	6
297	0	0	1200	6
298	0	0	1043	6
299	0	0	1669	6
300	0	0	1200	6
301	0	0	1252	6
302	0	0	1252	6
303	0	0	1148	6
305	0	0	1095	6
306	0	0	1669	6
307	0	0	1043	6
308	0	0	1513	6
309	0	0	1304	6
313	0	0	1356	6
314	0	0	1043	6
315	0	0	1722	6
317	0	0	1148	6
318	0	0	1095	6
319	0	0	1200	6
320	0	0	1356	6
321	0	0	1148	6
322	0	0	1826	6
323	0	0	1565	6
324	0	0	1200	6
325	0	0	1774	6
327	0	0	1043	6
328	0	0	1200	6
330	0	0	1043	6
331	0	0	1148	6
332	0	0	1252	6
333	0	0	1095	6
334	0	0	1200	6
337	0	0	1252	6
340	0	0	1043	6
341	0	0	1095	6
342	0	0	1095	6
343	0	0	1200	6
344	0	0	1095	6
345	0	0	1095	6
346	0	0	1148	6
347	0	0	1252	6
348	0	0	1304	6
349	0	0	1408	6
351	0	0	1878	6
352	0	0	1982	6
