0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost
0,0,0,0,0.000745969,2.27965e+07,-868549,868549
0,0,0,0,0,2.27177e+07,-767393,767393
0,0,0,0,0,2.27245e+07,-764045,764045
0,0,0,0,0,2.27313e+07,-760697,760697
0,0,0,0,0,2.50758e+07,-691378,691378
132989,0,0,0,0,2.43653e+07,132989,0
269721,0,0,0,0,2.43728e+07,136731,0
410195,0,0,0,0,2.43803e+07,140474,0
463659,0,0,0,0,2.11646e+07,53463.9,0
0,0,0,0,0,2.20003e+07,-890827,0
0,0,0,0,0,2.20095e+07,-890570,890570
0,0,0,0,0,2.20186e+07,-890314,890314
0,0,0,0,0,2.20278e+07,-890058,890058
0,0,0,0,0,2.28368e+07,-867303,867303
0,0,0,0,0,2.27328e+07,-737334,737334
0,0,0,0,0,2.27396e+07,-733982,733982
0,0,0,0,0,2.27464e+07,-730629,730629
0,0,0,0,0,2.24411e+07,-736052,736052
0,0,0,0,0,2.25399e+07,-837988,837988
0,0,0,0,0,2.25466e+07,-834682,834682
0,0,0,0,0,2.25534e+07,-831376,831376
0,0,0,0,0,2.36484e+07,-797415,797415
0,0,0,0,0,2.33283e+07,-420061,420061
0,0,0,0,0,2.33354e+07,-416574,416574
0,0,0,0,0,2.33424e+07,-413086,413086
0,0,0,0,0,2.33495e+07,-409598,409598
0,0,0,0,0,2.36134e+07,-398011,398011
0,0,0,0,0,2.34403e+07,-188490,188490
0,0,0,0,0,2.34474e+07,-184905,184905
0,0,0,0,0,2.34545e+07,-181318,181318
0,0,0,0,0,2.40064e+07,-162410,162410
25124,0,0,0,0,2.38528e+07,25124,0
53924.4,0,0,0,0,2.386e+07,28800.4,0
86402.3,0,0,0,0,2.38673e+07,32477.9,0
173852,0,0,0,0,2.56845e+07,87449.7,0
880489,0,0,0,0,2.5154e+07,706637,0
1.58744e+06,0,0,0,0,2.5165e+07,706947,0
2.29469e+06,0,0,0,0,2.51761e+07,707257,0
3.00226e+06,0,0,0,0,2.51871e+07,707568,0
3.68105e+06,0,0,0,0,2.41797e+07,678792,0
4.02361e+06,0,0,0,0,2.44848e+07,342557,0
4.36998e+06,0,0,0,0,2.44923e+07,346368,0
4.72016e+06,0,0,0,0,2.44999e+07,350178,0
5.0484e+06,0,0,0,0,2.36088e+07,328240,0
5.01153e+06,0,0,0,0,2.39388e+07,-36867.2,0
4.9783e+06,0,0,0,0,2.39461e+07,-33226.2,0
4.94872e+06,0,0,0,0,2.39534e+07,-29584.5,0
4.86367e+06,0,0,0,0,2.18762e+07,-85043.1,0
4.01257e+06,0,0,0,0,2.25561e+07,-851102,0
3.16475e+06,0,0,0,0,2.25628e+07,-847821,0
2.32021e+06,0,0,0,0,2.25695e+07,-844538,0
1.47896e+06,0,0,0,0,2.25762e+07,-841256,0
660054,0,0,8.09485e+07,0.000745969,2.32625e+07,-818905,0
67728.3,0,0,8.09485e+07,0,2.30738e+07,-592325,0
0,0,0,8.09485e+07,0,2.30805e+07,-589038,453582
617440,0,0,8.09485e+07,0,2.20343e+07,617440,0
102468,0,0,8.09485e+07,0,2.54854e+07,-514971,0
430723,0,0,8.09485e+07,0,2.47581e+07,328255,0
762653,0,0,8.09485e+07,0,2.47655e+07,331930,0
1.09826e+06,0,0,8.09485e+07,0,2.47729e+07,335605,0
1.3447e+06,0,0,8.09485e+07,0,2.14831e+07,246442,0
467198,0,0,8.09485e+07,0,2.24758e+07,-877502,0
0,0,0,8.09485e+07,0,2.24835e+07,-875837,0
0,0,0,8.09485e+07,0,2.249e+07,-872676,872676
0,0,0,8.09485e+07,0,2.24964e+07,-869514,869514
0,0,0,8.09485e+07,0,2.33211e+07,-843337,843337
0,0,0,8.09485e+07,0,2.30856e+07,-563364,563364
0,0,0,8.09485e+07,0,2.30923e+07,-560073,560073
0,0,0,8.09485e+07,0,2.3099e+07,-556780,556780
0,0,0,8.09485e+07,0,2.27864e+07,-562464,562464
0,0,0,8.09485e+07,0,2.28872e+07,-666862,666862
0,0,0,8.09485e+07,0,2.28938e+07,-663617,663617
0,0,0,8.09485e+07,0,2.29004e+07,-660371,660371
0,0,0,8.09485e+07,0,2.40201e+07,-625773,625773
0,0,0,8.09485e+07,0,2.36924e+07,-239974,239974
0,0,0,8.09485e+07,0,2.36993e+07,-236550,236550
0,0,0,8.09485e+07,0,2.37063e+07,-233126,233126
0,0,0,8.09485e+07,0,2.37132e+07,-229701,229701
0,0,0,8.09485e+07,0,2.39828e+07,-217995,217995
0,0,0,8.09485e+07,0,2.38054e+07,-3870.77,3870.77
0,0,0,8.09485e+07,0,2.38124e+07,-350.981,350.981
3170.06,0,0,8.09485e+07,0,2.38194e+07,3170.06,0
25529,0,0,8.09485e+07,0,2.43835e+07,22358.9,0
239509,0,0,8.09485e+07,0,2.42261e+07,213980,0
457098,0,0,8.09485e+07,0,2.42332e+07,217589,0
678298,0,0,8.09485e+07,0,2.42404e+07,221200,0
955556,0,0,8.09485e+07,0,2.60982e+07,277259,0
1.67808e+06,0,0,8.09485e+07,0,2.57196e+07,722527,0
2.40091e+06,0,0,8.09485e+07,0,2.57305e+07,722831,0
3.12405e+06,0,0,8.09485e+07,0,2.57413e+07,723136,0
3.84749e+06,0,0,8.09485e+07,0,2.57521e+07,723441,0
4.5415e+06,0,0,8.09485e+07,0,2.47217e+07,694008,0
5.07868e+06,0,0,8.09485e+07,0,2.48696e+07,537180,0
5.6196e+06,0,0,8.09485e+07,0,2.4877e+07,540920,0
6.16426e+06,0,0,8.09485e+07,0,2.48844e+07,544661,0
6.68634e+06,0,0,8.09485e+07,0,2.39731e+07,522078,0
6.835e+06,0,0,8.09485e+07,0,2.43102e+07,148658,0
6.98723e+06,0,0,8.09485e+07,0,2.43173e+07,152232,0
7.14304e+06,0,0,8.09485e+07,0,2.43245e+07,155807,0
7.242e+06,0,0,8.09485e+07,0,2.22008e+07,98965.4,0
6.5577e+06,0,0,8.09485e+07,0,2.28956e+07,-684303,0
5.87662e+06,0,0,8.09485e+07,0,2.29021e+07,-681082,0
5.19876e+06,0,0,8.09485e+07,0,2.29087e+07,-677860,0
4.52412e+06,0,0,8.09485e+07,0,2.29153e+07,-674638,0
3.8722e+06,0,0,8.09485e+07,0.000745969,2.36165e+07,-651925,0
3.45174e+06,0,0,8.09485e+07,0,2.34233e+07,-420455,0
3.03451e+06,0,0,8.09485e+07,0,2.34299e+07,-417235,0
2.62049e+06,0,0,8.09485e+07,0,2.34364e+07,-414015,0
2.27868e+06,0,0,8.09485e+07,0,2.58874e+07,-341811,0
2.7986e+06,0,0,8.09485e+07,0,2.51437e+07,519918,0
3.32212e+06,0,0,8.09485e+07,0,2.5151e+07,523517,0
3.84923e+06,0,0,8.09485e+07,0,2.51582e+07,527117,0
4.28507e+06,0,0,8.09485e+07,0,2.17956e+07,435833,0
3.5705e+06,0,0,8.09485e+07,0,2.28113e+07,-714566,0
2.85903e+06,0,0,8.09485e+07,0,2.28175e+07,-711471,0
2.15065e+06,0,0,8.09485e+07,0,2.28238e+07,-708374,0
1.44538e+06,0,0,8.09485e+07,0,2.28301e+07,-705277,0
766717,0,0,8.09485e+07,0,2.36726e+07,-678660,0
374040,0,0,8.09485e+07,0,2.34317e+07,-392677,0
0,0,0,8.09485e+07,0,2.34383e+07,-389453,0
0,0,0,8.09485e+07,0,2.34448e+07,-386229,386229
0,0,0,8.09485e+07,0,2.31251e+07,-392177,392177
0,0,0,8.09485e+07,0,2.32278e+07,-498999,498999
0,0,0,8.09485e+07,0,2.32343e+07,-495821,495821
0,0,0,8.09485e+07,0,2.32408e+07,-492642,492642
0,0,0,8.09485e+07,0,2.43846e+07,-457427,457427
0,0,0,8.09485e+07,0,2.40495e+07,-63354.6,63354.6
0,0,0,8.09485e+07,0,2.40562e+07,-60002,60002
0,0,0,8.09485e+07,0,2.4063e+07,-56648.7,56648.7
0,0,0,8.09485e+07,0,2.40698e+07,-53294.3,53294.3
0,0,0,8.09485e+07,0,2.4345e+07,-41479,41479
177149,0,0,8.09485e+07,0,2.41635e+07,177149,0
357745,0,0,8.09485e+07,0,2.41703e+07,180596,0
541789,0,0,8.09485e+07,0,2.41771e+07,184044,0
745287,0,0,8.09485e+07,0,2.47531e+07,203499,0
1.1444e+06,0,0,8.09485e+07,0,2.4592e+07,399117,0
1.54706e+06,0,0,8.09485e+07,0,2.4599e+07,402652,0
1.95324e+06,0,0,8.09485e+07,0,2.4606e+07,406187,0
2.41655e+06,0,0,8.09485e+07,0,2.65036e+07,463303,0
3.15465e+06,0,0,8.09485e+07,0,2.6274e+07,738100,0
3.89305e+06,0,0,8.09485e+07,0,2.62846e+07,738399,0
4.63174e+06,0,0,8.09485e+07,0,2.62952e+07,738697,0
5.37074e+06,0,0,8.09485e+07,0,2.63058e+07,738995,0
6.07966e+06,0,0,8.09485e+07,0,2.52528e+07,708917,0
6.78886e+06,0,0,8.09485e+07,0,2.5263e+07,709203,0
7.49835e+06,0,0,8.09485e+07,0,2.52732e+07,709490,0
8.20812e+06,0,0,8.09485e+07,0,2.52834e+07,709776,0
8.8913e+06,0,0,8.09485e+07,0,2.43552e+07,683174,0
9.22171e+06,0,0,8.09485e+07,0,2.4674e+07,330414,0
9.55562e+06,0,0,8.09485e+07,0,2.4681e+07,333913,0
9.89304e+06,0,0,8.09485e+07,0,2.4688e+07,337413,0
1.01722e+07,0,0,8.09485e+07,0,2.25187e+07,279208,0
9.65132e+06,0,0,8.09485e+07,0,2.3228e+07,-520926,0
9.13355e+06,0,0,8.09485e+07,0,2.32345e+07,-517772,0
8.61893e+06,0,0,8.09485e+07,0,2.32409e+07,-514618,0
8.10747e+06,0,0,8.09485e+07,0,2.32473e+07,-511463,0
7.61906e+06,0,0,8.09485e+07,0.000745969,2.39632e+07,-488403,0
7.36691e+06,0,0,8.09485e+07,0,2.37656e+07,-252151,0
7.11791e+06,0,0,8.09485e+07,0,2.3772e+07,-249004,0
6.87205e+06,0,0,8.09485e+07,0,2.37784e+07,-245857,0
6.69979e+06,0,0,8.09485e+07,0,2.6281e+07,-172264,0
7.40736e+06,0,0,8.09485e+07,0,2.55213e+07,707575,0
8.11845e+06,0,0,8.09485e+07,0,2.55283e+07,711093,0
8.83307e+06,0,0,8.09485e+07,0,2.55354e+07,714611,0
9.45247e+06,0,0,8.09485e+07,0,2.21031e+07,619401,0
8.89887e+06,0,0,8.09485e+07,0,2.31383e+07,-553596,0
8.3483e+06,0,0,8.09485e+07,0,2.31445e+07,-550571,0
7.80076e+06,0,0,8.09485e+07,0,2.31506e+07,-547545,0
7.25624e+06,0,0,8.09485e+07,0,2.31568e+07,-544517,0
6.73876e+06,0,0,8.09485e+07,0,2.40167e+07,-517477,0
6.51314e+06,0,0,8.09485e+07,0,2.37705e+07,-225617,0
6.29068e+06,0,0,8.09485e+07,0,2.37769e+07,-222467,0
6.07136e+06,0,0,8.09485e+07,0,2.37832e+07,-219315,0
5.84583e+06,0,0,8.09485e+07,0,2.34566e+07,-225529,0
5.5111e+06,0,0,8.09485e+07,0,2.35612e+07,-334730,0
5.17948e+06,0,0,8.09485e+07,0,2.35675e+07,-331623,0
4.85096e+06,0,0,8.09485e+07,0,2.35738e+07,-328516,0
4.55826e+06,0,0,8.09485e+07,0,2.47412e+07,-292705,0
4.66771e+06,0,0,8.09485e+07,0,2.43988e+07,109457,0
4.78045e+06,0,0,8.09485e+07,0,2.44054e+07,112733,0
4.89646e+06,0,0,8.09485e+07,0,2.4412e+07,116010,0
5.01575e+06,0,0,8.09485e+07,0,2.44187e+07,119288,0
5.14695e+06,0,0,8.09485e+07,0,2.46992e+07,131203,0
5.50118e+06,0,0,8.09485e+07,0,2.45137e+07,354230,0
5.85878e+06,0,0,8.09485e+07,0,2.45204e+07,357599,0
6.21975e+06,0,0,8.09485e+07,0,2.4527e+07,360968,0
6.60042e+06,0,0,8.09485e+07,0,2.51147e+07,380676,0
7.18062e+06,0,0,8.09485e+07,0,2.49499e+07,580197,0
7.76427e+06,0,0,8.09485e+07,0,2.49568e+07,583652,0
8.35138e+06,0,0,8.09485e+07,0,2.49636e+07,587106,0
8.99662e+06,0,0,8.09485e+07,0,2.69e+07,645248,0
9.74995e+06,0,0,8.09485e+07,0,2.68161e+07,753330,0
1.05036e+07,0,0,8.09485e+07,0,2.68265e+07,753621,0
1.12575e+07,0,0,8.09485e+07,0,2.68368e+07,753913,0
1.20117e+07,0,0,8.09485e+07,0,2.68472e+07,754204,0
1.27352e+07,0,0,8.09485e+07,0,2.5772e+07,723494,0
1.3459e+07,0,0,8.09485e+07,0,2.5782e+07,723774,0
1.4183e+07,0,0,8.09485e+07,0,2.5792e+07,724054,0
1.49073e+07,0,0,8.09485e+07,0,2.58019e+07,724334,0
1.56045e+07,0,0,8.09485e+07,0,2.48543e+07,697174,0
1.61126e+07,0,0,8.09485e+07,0,2.50296e+07,508092,0
1.66241e+07,0,0,8.09485e+07,0,2.50365e+07,511512,0
1.71391e+07,0,0,8.09485e+07,0,2.50433e+07,514932,0
1.75944e+07,0,0,8.09485e+07,0,2.28294e+07,455385,0
1.72332e+07,0,0,8.09485e+07,0,2.3553e+07,-361240,0
1.6875e+07,0,0,8.09485e+07,0,2.35592e+07,-358158,0
1.652e+07,0,0,8.09485e+07,0,2.35655e+07,-355076,0
1.6168e+07,0,0,8.09485e+07,0,2.35718e+07,-351994,0
1.58394e+07,0,0,8.09485e+07,0.000745969,2.4302e+07,-328602,0
1.57517e+07,0,0,8.09485e+07,0,2.41001e+07,-87681.7,0
1.56671e+07,0,0,8.09485e+07,0,2.41063e+07,-84610.9,0
1.55855e+07,0,0,8.09485e+07,0,2.41126e+07,-81539.6,0
1.55789e+07,0,0,8.09485e+07,0,2.66656e+07,-6595.8,0
1.63089e+07,0,0,8.09485e+07,0,2.6031e+07,729942,0
1.70391e+07,0,0,8.09485e+07,0,2.60407e+07,730214,0
1.77696e+07,0,0,8.09485e+07,0,2.60504e+07,730485,0
1.84015e+07,0,0,8.09485e+07,0,2.25495e+07,631911,0
1.80052e+07,0,0,8.09485e+07,0,2.34579e+07,-396335,0
1.76118e+07,0,0,8.09485e+07,0,2.34639e+07,-393383,0
1.72213e+07,0,0,8.09485e+07,0,2.34699e+07,-390430,0
1.68339e+07,0,0,8.09485e+07,0,2.34759e+07,-387477,0
1.64738e+07,0,0,8.09485e+07,0,2.43528e+07,-360027,0
1.64114e+07,0,0,8.09485e+07,0,2.41013e+07,-62433,0
1.63521e+07,0,0,8.09485e+07,0,2.41076e+07,-59359,0
1.62958e+07,0,0,8.09485e+07,0,2.41138e+07,-56284.9,0
1.6233e+07,0,0,8.09485e+07,0,2.37803e+07,-62762.7,0
1.60587e+07,0,0,8.09485e+07,0,2.38867e+07,-174292,0
1.58875e+07,0,0,8.09485e+07,0,2.38929e+07,-171261,0
1.57192e+07,0,0,8.09485e+07,0,2.3899e+07,-168230,0
1.55874e+07,0,0,8.09485e+07,0,2.50895e+07,-131841,0
1.58656e+07,0,0,8.09485e+07,0,2.47399e+07,278214,0
1.6147e+07,0,0,8.09485e+07,0,2.47464e+07,281410,0
1.64316e+07,0,0,8.09485e+07,0,2.47528e+07,284608,0
1.67194e+07,0,0,8.09485e+07,0,2.47593e+07,287805,0
1.70192e+07,0,0,8.09485e+07,0,2.50452e+07,299812,0
1.75464e+07,0,0,8.09485e+07,0,2.48556e+07,527129,0
1.80768e+07,0,0,8.09485e+07,0,2.48621e+07,530415,0
1.86105e+07,0,0,8.09485e+07,0,2.48686e+07,533703,0
