0reliability,1reliability,0afford,1afford
1,1,0.0334819,0.0230849
1,1,0.0342783,0.0231347
0.998999,1,0.0350593,0.0231839
0.998999,1,0.035823,0.0232326
0.997998,1,0.0365896,0.0232811
1,1,0.0411415,0.0270306
1,1,0.037049,0.0277624
1,1,0.0376412,0.0282017
0.997998,1,0.0382584,0.0286398
0.998999,1,0.0389903,0.029349
0.996997,1,0.0396805,0.0308947
0.996997,1,0.0409581,0.0323942
0.994995,1,0.0414611,0.0326231
0.996997,1,0.0433618,0.034254
0.996997,1,0.0443872,0.0348947
0.993994,1,0.0446701,0.0350753
0.98999,1,0.0459264,0.0357489
0.988989,1,0.0468255,0.0363987
0.984985,1,0.0473131,0.0368674
0.97998,1,0.0478667,0.0372219
0.981982,1,0.0482339,0.0374812
0.982983,1,0.0487782,0.0378566
0.981982,1,0.049246,0.0380351
0.982983,1,0.0493461,0.0382305
0.988989,1,0.0494521,0.0386045
0.981982,1,0.0499917,0.0386139
0.983984,1,0.0500603,0.0388275
0.987988,1,0.0498701,0.0386679
0.982983,1,0.0501155,0.0385764
0.987988,1,0.0502405,0.0388381
0.982983,1,0.0504448,0.039353
0.977978,1,0.0507413,0.0390451
0.977978,1,0.0509532,0.039436
0.971972,1,0.0513097,0.0393534
0.967968,1,0.0511992,0.0391105
0.964965,1,0.0510208,0.0392906
0.968969,1,0.0505061,0.0389962
0.976977,1,0.0513985,0.0395945
0.975976,1,0.0513446,0.0396257
0.965966,1,0.0513529,0.0397279
