Realization	utility	WSS	week	infra.
1	0	0	1356	6
2	0	0	1408	6
4	0	0	1356	6
5	0	0	1513	6
7	0	0	1252	6
9	0	0	1356	6
10	0	0	887	6
12	0	0	1148	6
13	0	0	1095	6
14	0	0	1148	6
15	0	0	1878	6
17	0	0	1356	6
18	0	0	939	6
19	0	0	2035	6
21	0	0	1722	6
22	0	0	1095	6
25	0	0	1461	6
26	0	0	1774	6
27	0	0	1252	6
30	0	0	1148	6
31	0	0	1043	6
32	0	0	1043	6
33	0	0	1304	6
34	0	0	991	6
35	0	0	1878	6
36	0	0	1669	6
37	0	0	991	6
38	0	0	1513	6
39	0	0	1356	6
40	0	0	1043	6
42	0	0	1565	6
43	0	0	1043	6
44	0	0	1304	6
45	0	0	1722	6
46	0	0	1095	6
47	0	0	1095	6
48	0	0	1148	6
49	0	0	1200	6
50	0	0	991	6
51	0	0	1200	6
54	0	0	1148	6
55	0	0	1408	6
56	0	0	887	6
57	0	0	1617	6
58	0	0	1408	6
59	0	0	939	6
59	0	0	1878	10
60	0	0	1878	6
61	0	0	1200	6
62	0	0	1148	6
63	0	0	1982	6
64	0	0	1304	6
65	0	0	1408	6
66	0	0	1408	6
67	0	0	1043	6
68	0	0	991	6
69	0	0	1722	6
70	0	0	1148	6
71	0	0	1252	6
73	0	0	1148	6
74	0	0	1043	6
75	0	0	1043	6
76	0	0	1356	6
77	0	0	1722	6
79	0	0	1774	6
80	0	0	1304	6
81	0	0	1252	6
82	0	0	1774	6
83	0	0	1252	6
84	0	0	1513	6
85	0	0	1461	6
88	0	0	1513	6
89	0	0	1408	6
90	0	0	1930	6
91	0	0	887	6
92	0	0	1878	6
93	0	0	1200	6
94	0	0	1408	6
95	0	0	1304	6
97	0	0	1408	6
98	0	0	1304	6
99	0	0	1408	6
100	0	0	1043	6
101	0	0	1200	6
102	0	0	939	6
103	0	0	1043	6
104	0	0	1878	6
108	0	0	991	6
108	0	0	1513	10
109	0	0	991	6
109	0	0	1722	10
110	0	0	1148	6
111	0	0	1878	6
113	0	0	1043	6
115	0	0	1252	6
116	0	0	991	6
117	0	0	1513	6
118	0	0	1982	6
119	0	0	1617	6
120	0	0	1722	6
121	0	0	1148	6
125	0	0	1043	6
126	0	0	1617	6
129	0	0	991	6
129	0	0	1774	10
130	0	0	1722	6
131	0	0	1252	6
132	0	0	1148	6
133	0	0	1408	6
134	0	0	1148	6
135	0	0	1043	6
137	0	0	991	6
138	0	0	1304	6
140	0	0	887	6
141	0	0	991	6
142	0	0	1043	6
143	0	0	991	6
144	0	0	1304	6
145	0	0	1669	6
147	0	0	1252	6
148	0	0	1095	6
149	0	0	1408	6
150	0	0	939	6
150	0	0	1461	10
151	0	0	1304	6
152	0	0	1826	6
153	0	0	939	6
153	0	0	1826	10
155	0	0	1461	6
157	0	0	1043	6
158	0	0	1252	6
159	0	0	834	6
159	0	0	1617	10
160	0	0	1043	6
161	0	0	1200	6
162	0	0	887	6
162	0	0	1878	10
164	0	0	1356	6
165	0	0	1148	6
167	0	0	1461	6
168	0	0	1200	6
169	0	0	834	6
169	0	0	1774	10
170	0	0	1095	6
171	0	0	1043	6
173	0	0	1148	6
174	0	0	1774	6
176	0	0	1252	6
177	0	0	939	6
177	0	0	1722	10
178	0	0	1148	6
180	0	0	1408	6
181	0	0	1200	6
182	0	0	1408	6
184	0	0	1304	6
186	0	0	1565	6
187	0	0	939	6
188	0	0	1252	6
189	0	0	1304	6
190	0	0	939	6
191	0	0	1095	6
192	0	0	1095	6
193	0	0	1565	6
194	0	0	1356	6
195	0	0	1043	6
196	0	0	1513	6
197	0	0	1304	6
198	0	0	939	6
199	0	0	1513	6
200	0	0	991	6
201	0	0	1095	6
202	0	0	1304	6
203	0	0	1095	6
204	0	0	1878	6
205	0	0	991	6
205	0	0	1774	10
206	0	0	1252	6
207	0	0	1565	6
208	0	0	1148	6
209	0	0	1252	6
210	0	0	1095	6
211	0	0	1043	6
212	0	0	1200	6
213	0	0	991	6
215	0	0	1200	6
217	0	0	1043	6
218	0	0	1722	6
219	0	0	1408	6
220	0	0	1826	6
221	0	0	1878	6
224	0	0	939	6
225	0	0	1513	6
227	0	0	1356	6
228	0	0	991	6
228	0	0	1722	10
229	0	0	991	6
230	0	0	1408	6
231	0	0	991	6
231	0	0	1774	10
232	0	0	1356	6
233	0	0	1930	6
234	0	0	1043	6
235	0	0	991	6
237	0	0	1095	6
238	0	0	1356	6
239	0	0	939	6
239	0	0	1617	10
240	0	0	1200	6
241	0	0	1200	6
242	0	0	1252	6
243	0	0	1461	6
244	0	0	1356	6
245	0	0	1095	6
246	0	0	939	6
247	0	0	1408	6
248	0	0	1200	6
249	0	0	834	6
249	0	0	1617	10
250	0	0	1617	6
251	0	0	991	6
252	0	0	991	6
253	0	0	1200	6
255	0	0	1774	6
256	0	0	1148	6
257	0	0	1148	6
258	0	0	939	6
259	0	0	1408	6
260	0	0	887	6
261	0	0	1095	6
262	0	0	1669	6
263	0	0	1930	6
264	0	0	1722	6
265	0	0	887	6
265	0	0	1617	10
266	0	0	1722	6
267	0	0	1043	6
268	0	0	1774	6
269	0	0	1513	6
271	0	0	1148	6
272	0	0	1513	6
273	0	0	1095	6
274	0	0	1722	6
275	0	0	1304	6
278	0	0	1669	6
279	0	0	1304	6
280	0	0	1095	6
281	0	0	1148	6
282	0	0	1252	6
284	0	0	834	6
285	0	0	991	6
286	0	0	939	6
286	0	0	1930	10
287	0	0	1043	6
288	0	0	1200	6
289	0	0	1826	6
290	0	0	1565	6
291	0	0	1043	6
292	0	0	1304	6
293	0	0	1408	6
294	0	0	1356	6
295	0	0	782	6
295	0	0	1565	10
297	0	0	1043	6
298	0	0	991	6
299	0	0	1043	6
300	0	0	1095	6
301	0	0	1148	6
302	0	0	991	6
303	0	0	1043	6
305	0	0	1043	6
306	0	0	1095	6
307	0	0	887	6
307	0	0	1878	10
308	0	0	1356	6
309	0	0	1148	6
311	0	0	1722	6
313	0	0	1095	6
314	0	0	991	6
315	0	0	1356	6
317	0	0	1095	6
318	0	0	887	6
319	0	0	1095	6
320	0	0	1200	6
321	0	0	1043	6
322	0	0	1565	6
323	0	0	1095	6
324	0	0	1095	6
325	0	0	1304	6
326	0	0	1930	6
327	0	0	991	6
328	0	0	1095	6
328	0	0	1878	10
330	0	0	991	6
330	0	0	1826	10
331	0	0	1043	6
332	0	0	1148	6
333	0	0	991	6
334	0	0	1095	6
335	0	0	1461	6
336	0	0	1669	6
337	0	0	1043	6
340	0	0	991	6
341	0	0	991	6
342	0	0	991	6
343	0	0	939	6
344	0	0	887	6
345	0	0	991	6
346	0	0	887	6
346	0	0	1669	10
347	0	0	1095	6
348	0	0	1043	6
349	0	0	1252	6
350	0	0	1722	6
351	0	0	1513	6
352	0	0	1565	6
353	0	0	1148	6
354	0	0	1826	6
355	0	0	991	6
356	0	0	1095	6
357	0	0	1722	6
358	0	0	1095	6
359	0	0	1095	6
360	0	0	1200	6
361	0	0	939	6
362	0	0	1252	6
363	0	0	1095	6
364	0	0	1200	6
366	0	0	991	6
367	0	0	1722	6
368	0	0	1043	6
369	0	0	1356	6
370	0	0	939	6
371	0	0	991	6
372	0	0	1408	6
373	0	0	1408	6
374	0	0	1304	6
375	0	0	1043	6
376	0	0	1408	6
377	0	0	1513	6
378	0	0	1304	6
380	0	0	1304	6
381	0	0	1617	6
382	0	0	1565	6
383	0	0	1148	6
384	0	0	1408	6
385	0	0	1043	6
386	0	0	939	6
387	0	0	1252	6
388	0	0	1095	6
390	0	0	1304	6
391	0	0	1513	6
392	0	0	1356	6
394	0	0	1252	6
396	0	0	1043	6
398	0	0	1513	6
399	0	0	1356	6
401	0	0	1095	6
402	0	0	1043	6
403	0	0	1408	6
405	0	0	991	6
406	0	0	1095	6
407	0	0	1408	6
