0reliability,1reliability,0afford,1afford
1,1,0.0334817,0.0230849
1,0.966967,0.0342783,0.0231347
0.998999,0.885886,0.0350686,0.0231838
0.998999,0.796797,0.0358689,0.0232337
0.997998,0.733734,0.0366656,0.023283
0.997998,0.680681,0.041744,0.0259406
0.994995,0.647648,0.0431741,0.0265544
0.997998,0.620621,0.0443887,0.0269702
0.992993,0.572573,0.0452446,0.027459
0.986987,0.550551,0.0459816,0.0277951
0.98999,0.551552,0.0469485,0.0282056
0.988989,0.534535,0.0475061,0.0285347
0.987988,0.534535,0.0471096,0.0288354
0.97998,0.533534,0.0478791,0.0291337
0.975976,0.541542,0.0482862,0.029147
0.972973,0.537538,0.0488218,0.0293154
0.964965,0.510511,0.0491211,0.0294212
0.955956,0.518519,0.0496862,0.0295382
0.953954,0.52953,0.0501736,0.0295857
0.958959,0.515516,0.0508506,0.0296254
0.958959,0.508509,0.0523803,0.0296261
0.956957,0.501502,0.0531356,0.0296897
0.956957,0.510511,0.0539861,0.0296667
0.965966,0.511512,0.0546501,0.0296897
0.964965,0.513514,0.0552999,0.0296512
0.960961,0.515516,0.0559022,0.0297045
0.961962,0.521522,0.0560945,0.0297238
0.95996,0.524525,0.0567415,0.0296567
0.956957,0.520521,0.0570434,0.0297037
0.962963,0.511512,0.0570578,0.0297045
0.953954,0.500501,0.0574328,0.0297011
0.94995,0.510511,0.0577077,0.0297091
0.950951,0.506507,0.0576433,0.0297262
0.944945,0.521522,0.0579278,0.0296714
0.937938,0.546547,0.0579014,0.0297262
0.936937,0.528529,0.0581384,0.0297045
0.948949,0.535536,0.0581658,0.0297045
0.947948,0.522523,0.0579994,0.0297262
0.948949,0.525526,0.0582087,0.0297151
0.93994,0.522523,0.05813,0.0297466
