0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.139,85.139,8.4158,0,0,2.46977,2.46977,0,0,4.47552,4.50048e+06,3.07982e+06,1.11152e+07,0,0,0,0,80.8192,79.791,5.36573,0,0,1.12031,1.12031,0,0,2.1168,9.35291e+06,4.1166e+06,1.04781e+07,0,0,0,0
85.139,85.139,4.36899,0,0,2.47094,2.47094,0,0.462835,4.47552,4.50048e+06,3.07982e+06,1.11204e+07,0,0,0,0,80.8192,79.791,3.55467,0,0,1.12084,1.12084,0,0.865549,2.1168,9.35291e+06,4.1166e+06,1.04831e+07,0,0,0,0
85.139,85.139,3.61234,0,0,2.47211,2.47211,0,0.463054,4.47552,4.50048e+06,3.07982e+06,1.11257e+07,0,0,0,0,80.8192,79.791,3.0481,0,0,1.12136,1.12136,0,0.865957,2.1168,9.35291e+06,4.1166e+06,1.0488e+07,0,0,0,0
85.139,85.139,3.85377,0,0,2.47327,2.47327,0,0.463273,4.47552,4.50048e+06,3.07982e+06,1.11309e+07,0,0,0,0,80.8192,79.791,3.39787,0,0,1.12189,1.12189,0,0.866366,2.1168,9.35291e+06,4.1166e+06,1.0493e+07,0,0,0,0
85.139,85.139,6.99098,0,0,2.71579,2.71579,0,0.463491,4.47552,4.50048e+06,3.07982e+06,1.22224e+07,0,0,0,0,80.8192,79.791,4.39908,0,0,1.2544,1.2544,0,0.866775,2.1168,9.35291e+06,4.1166e+06,1.17323e+07,0,0,0,0
85.139,85.139,5.42112,0,0,2.71707,2.71707,0,0.508939,4.47552,4.50048e+06,3.07982e+06,1.22281e+07,0,0,0,0,80.8192,79.791,3.04341,0,0,1.25499,1.25499,0,0.969147,2.1168,9.35291e+06,4.1166e+06,1.17378e+07,0,0,0,0
85.139,85.139,4.9752,0,0,2.71836,2.71836,0,0.50918,4.47552,4.50048e+06,3.07982e+06,1.22339e+07,0,0,0,0,80.8192,79.791,3.37635,0,0,1.25558,1.25558,0,0.969604,2.1168,9.35291e+06,4.1166e+06,1.17433e+07,0,0,0,0
85.139,85.139,4.49458,0,0,2.71964,2.71964,0,0.50942,4.47552,4.50048e+06,3.07982e+06,1.22397e+07,0,0,0,0,80.8192,79.791,2.99841,0,0,1.25617,1.25617,0,0.970062,2.1168,9.35291e+06,4.1166e+06,1.17489e+07,0,0,0,0
85.139,85.139,4.79016,0,0,2.37603,2.37603,0,0.50966,4.47552,4.50048e+06,3.07982e+06,1.06933e+07,0,0,0,0,80.8192,79.791,6.94507,0,0,1.07932,1.07932,0,0.970519,2.1168,9.35291e+06,4.1166e+06,1.00948e+07,0,0,0,0
85.139,85.139,4.11542,0,0,2.37715,2.37715,0,0.445267,4.47552,4.50048e+06,3.07982e+06,1.06983e+07,0,0,0,0,80.8192,79.791,4.168,0,0,1.07983,1.07983,0,0.833884,2.1168,9.35291e+06,4.1166e+06,1.00996e+07,0,0,0,0
85.139,85.139,3.08332,0,0,2.37827,2.37827,0,0.445477,4.47552,4.50048e+06,3.07982e+06,1.07033e+07,0,0,0,0,80.8192,79.791,2.51475,0,0,1.08034,1.08034,0,0.834277,2.1168,9.35291e+06,4.1166e+06,1.01043e+07,0,0,0,0
