0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2),1_Lago Paranoa(id3)
1,1,1,1
0.994995,1,1,1
0.990991,1,0.998999,1
0.982983,1,1,1
0.97998,1,1,1
0.96997,1,1,1
0.963964,1,1,1
0.970971,1,1,1
0.95996,1,0.998999,1
0.945946,1,0.998999,1
0.933934,1,1,1
0.920921,1,1,1
0.91992,1,1,1
0.912913,1,1,1
0.8999,1,1,1
0.882883,1,1,1
0.873874,1,1,1
0.852853,1,1,1
0.848849,1,1,1
0.856857,1,1,1
0.832833,1,1,1
0.828829,1,1,1
0.821822,1,1,1
0.820821,1,1,1
0.80981,1,1,1
0.823824,1,0.998999,1
0.807808,1,1,1
0.818819,1,1,1
0.816817,1,1,1
0.80981,1,1,1
0.796797,1,1,1
0.77978,1,1,1
0.796797,1,1,1
0.801802,1,1,1
0.790791,1,0.998999,1
0.78979,1,0.997998,1
0.814815,1,1,1
0.827828,1,1,1
0.825826,1,1,1
0.815816,1,1,1
