0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.0370183,0.0244104,0,0
0.994995,1,0.0376791,0.0248462,0,0
0.990991,1,0.0383867,0.0253127,0,0
0.982983,1,0.0391467,0.0258064,9,0
0.97998,1,0.0398274,0.026254,8,0
0.96997,1,0.0405685,0.0267479,11,0
0.963964,1,0.041281,0.0272112,10,0
0.970971,1,0.0420459,0.0276951,10,0
0.95996,1,0.0427183,0.0281261,12,0
0.945946,1,0.0434592,0.0285907,16,0
0.933934,1,0.044269,0.0291218,14,0
0.920921,1,0.0451198,0.029555,14,0
0.91992,1,0.04583,0.0300987,15,0
0.912913,1,0.0465792,0.0305919,16,0
0.8999,1,0.0476736,0.0311334,17,0
0.882883,1,0.0482954,0.0314581,18,0
0.873874,1,0.0490874,0.0319955,18,0
0.852853,1,0.0499558,0.0326371,18,0
0.848849,1,0.050584,0.033186,20,0
0.856857,1,0.0513985,0.0337634,19,0
0.832833,1,0.0518867,0.0340234,18,0
0.828829,1,0.052715,0.0346531,18,0
0.821822,1,0.0531268,0.0348833,21,0
0.820821,1,0.0534678,0.0351388,19,0
0.80981,1,0.0537467,0.0352729,19,0
0.823824,1,0.05388,0.035441,22,0
0.807808,1,0.0546289,0.0359094,18,0
0.818819,1,0.0547376,0.0360262,17,0
0.816817,1,0.0545462,0.0357112,22,0
0.80981,1,0.0548472,0.036051,22,0
0.796797,1,0.0550085,0.0360727,20,0
0.77978,1,0.0554486,0.0364763,19,0
0.796797,1,0.0552065,0.0362487,24,0
0.801802,1,0.0555014,0.0365685,17,0
0.790791,1,0.0558447,0.0366813,21,0
0.78979,1,0.0559614,0.0366236,22,0
0.814815,1,0.0559764,0.036646,18,0
0.827828,1,0.0557001,0.0364802,18,0
0.825826,1,0.0558596,0.0365887,17,0
0.815816,1,0.0558285,0.0366403,17,0
