0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,0.000745969,2.27965e+07,-827527,827527,1.21551e+07
0,0,0,0,0,2.27137e+07,-770781,770781,1.21551e+07
0,0,0,0,0,2.27177e+07,-769774,769774,1.21551e+07
0,0,0,0,0,2.27216e+07,-768768,768768,1.21551e+07
0,0,0,0,0,2.50615e+07,-767761,767761,1.21551e+07
0,0,0,0,0,2.43482e+07,-305325,305325,1.21551e+07
0,0,0,0,0,2.43526e+07,-304199,304199,1.21551e+07
0,0,0,0,0,2.4357e+07,-303073,303073,1.21551e+07
0,0,0,0,0,2.11429e+07,-301947,301947,1.21551e+07
0,0,0,0,0,2.19659e+07,-827527,827527,1.21551e+07
0,0,0,0,0,2.19712e+07,-827527,827527,1.21551e+07
0,0,0,0,0,2.19765e+07,-827527,827527,1.21551e+07
0,0,0,0,0,2.19818e+07,-827527,827527,1.21551e+07
0,0,0,0,0,2.27851e+07,-827527,827527,1.21551e+07
0,0,0,0,0,2.26919e+07,-764017,764017,1.21551e+07
0,0,0,0,0,2.26958e+07,-763009,763009,1.21551e+07
0,0,0,0,0,2.26998e+07,-762001,762001,1.21551e+07
0,0,0,0,0,2.23926e+07,-760993,760993,1.21551e+07
0,0,0,0,0,2.24883e+07,-819018,819018,1.21551e+07
0,0,0,0,0,2.24922e+07,-818024,818024,1.21551e+07
0,0,0,0,0,2.24961e+07,-817030,817030,1.21551e+07
0,0,0,0,0,2.35841e+07,-816035,816035,1.21551e+07
0,0,0,0,0,2.32623e+07,-605476,605476,1.21551e+07
0,0,0,0,0,2.2326e+07,0,0,1.21551e+07
0,0,0,0,0,2.23317e+07,0,0,1.21551e+07
0,0,0,0,0,2.23374e+07,0,0,1.21551e+07
0,0,0,0,0,2.35343e+07,-601280,601280,1.21551e+07
0,0,0,0,0,2.3359e+07,-484902,484902,1.21551e+07
0,0,0,0,0,2.33631e+07,-483822,483822,1.21551e+07
0,0,0,0,0,2.33673e+07,-482742,482742,1.21551e+07
0,0,0,0,0,2.39132e+07,-481662,481662,1.21551e+07
0,0,0,0,0,2.37574e+07,-377694,377694,1.21551e+07
0,0,0,0,0,2.37616e+07,-376586,376586,1.21551e+07
0,0,0,0,0,2.37658e+07,-375479,375479,1.21551e+07
0,0,0,0,0,2.55687e+07,-374371,374371,1.21551e+07
0,0,0,0,0,2.4995e+07,-1508.74,1508.74,1.21551e+07
0,0,0,0,0,2.49995e+07,-305.317,305.317,1.21551e+07
