0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost
127340,0,0,0,3.27677e+179,7.21839e+06,127340,0
254728,0,0,0,0,7.2211e+06,127388,0
382163,0,0,0,0,7.22381e+06,127436,0
509647,0,0,0,0,7.22651e+06,127483,0
652027,0,0,0,0,8.00692e+06,142380,0
794460,0,0,0,0,8.00992e+06,142433,0
936947,0,0,0,0,8.01293e+06,142487,0
1.07949e+06,0,0,0,0,8.01593e+06,142540,0
1.20206e+06,0,0,0,0,6.94397e+06,122576,0
1.32468e+06,0,0,0,0,6.94657e+06,122622,0
1.44735e+06,0,0,0,0,6.94917e+06,122668,0
1.57007e+06,0,0,0,0,6.95177e+06,122714,0
1.69283e+06,0,0,0,0,6.95438e+06,122760,0
1.82055e+06,0,0,0,0,7.22401e+06,127719,0
1.94831e+06,0,0,0,0,7.22672e+06,127767,0
2.07613e+06,0,0,0,0,7.22942e+06,127815,0
2.20399e+06,0,0,0,0,7.23213e+06,127863,0
2.32999e+06,0,0,0,0,7.13064e+06,125999,0
2.45604e+06,0,0,0,0,7.1333e+06,126046,0
2.58213e+06,0,0,0,0,7.13597e+06,126093,0
2.70827e+06,0,0,0,0,7.13864e+06,126140,0
2.84123e+06,0,0,0,0,7.50383e+06,132962,0
2.97424e+06,0,0,0,0,7.50664e+06,133012,0
3.1073e+06,0,0,0,0,7.50945e+06,133062,0
3.24042e+06,0,0,0,0,7.51225e+06,133111,0
3.37358e+06,0,0,0,0,7.51506e+06,133161,0
3.51026e+06,0,0,0,0,7.59114e+06,136686,0
3.647e+06,0,0,0,0,7.59398e+06,136737,0
3.78379e+06,0,0,0,0,7.59682e+06,136788,0
3.92063e+06,0,0,0,0,7.59966e+06,136839,0
4.06085e+06,0,0,0,0,7.7842e+06,140227,0
4.20113e+06,0,0,0,0,7.78711e+06,140280,0
4.34147e+06,0,0,0,0,7.79002e+06,140332,0
4.48185e+06,0,0,0,0,7.79293e+06,140384,0
4.63423e+06,0,0,0,0,8.3937e+06,152380,0
4.78667e+06,0,0,0,0,8.39684e+06,152437,0
4.93916e+06,0,0,0,0,8.39997e+06,152494,0
5.09171e+06,0,0,0,0,8.40311e+06,152550,0
5.24432e+06,0,0,0,0,8.40625e+06,152607,0
5.38978e+06,0,0,0,0,8.07621e+06,145463,0
5.5353e+06,0,0,0,0,8.07922e+06,145518,0
5.68087e+06,0,0,0,0,8.08224e+06,145572,0
5.8265e+06,0,0,0,0,8.08525e+06,145626,0
5.96564e+06,0,0,0,0,7.79563e+06,139138,0
6.10483e+06,0,0,0,0,7.79854e+06,139190,0
6.24407e+06,0,0,0,0,7.80145e+06,139242,0
6.38336e+06,0,0,0,0,7.80436e+06,139294,0
6.50891e+06,0,0,0,0,7.11968e+06,125545,0
6.6345e+06,0,0,0,0,7.12233e+06,125591,0
6.76014e+06,0,0,0,0,7.12499e+06,125638,0
6.88582e+06,0,0,0,0,7.12765e+06,125685,0
7.01155e+06,0,0,0,0,7.1303e+06,125732,0
7.14139e+06,0,0,0,3.27677e+179,7.35996e+06,129837,0
7.27127e+06,0,0,0,0,7.36261e+06,129884,0
7.40121e+06,0,0,0,0,7.36527e+06,129931,0
7.53118e+06,0,0,0,0,7.36793e+06,129978,0
7.67635e+06,0,0,0,0,8.1635e+06,145164,0
7.82156e+06,0,0,0,0,8.16645e+06,145217,0
7.96683e+06,0,0,0,0,8.16939e+06,145269,0
8.11215e+06,0,0,0,0,8.17234e+06,145321,0
8.23712e+06,0,0,0,0,7.07937e+06,124966,0
8.36213e+06,0,0,0,0,7.08192e+06,125011,0
8.48719e+06,0,0,0,0,7.08448e+06,125056,0
8.61229e+06,0,0,0,0,7.08703e+06,125102,0
8.73744e+06,0,0,0,0,7.08959e+06,125147,0
8.86764e+06,0,0,0,0,7.36437e+06,130201,0
8.99789e+06,0,0,0,0,7.36702e+06,130248,0
9.12818e+06,0,0,0,0,7.36968e+06,130295,0
9.25852e+06,0,0,0,0,7.37233e+06,130341,0
9.38696e+06,0,0,0,0,7.26877e+06,128440,0
9.51545e+06,0,0,0,0,7.27139e+06,128486,0
9.64398e+06,0,0,0,0,7.27401e+06,128532,0
9.77256e+06,0,0,0,0,7.27664e+06,128579,0
9.90809e+06,0,0,0,0,7.64878e+06,135530,0
1.00437e+07,0,0,0,0,7.65153e+06,135579,0
1.01793e+07,0,0,0,0,7.65429e+06,135628,0
1.0315e+07,0,0,0,0,7.65705e+06,135677,0
1.04507e+07,0,0,0,0,7.6598e+06,135726,0
1.059e+07,0,0,0,0,7.73724e+06,139317,0
1.07294e+07,0,0,0,0,7.74003e+06,139367,0
1.08688e+07,0,0,0,0,7.74282e+06,139417,0
1.10083e+07,0,0,0,0,7.7456e+06,139467,0
1.11512e+07,0,0,0,0,7.93358e+06,142918,0
1.12942e+07,0,0,0,0,7.93644e+06,142970,0
1.14372e+07,0,0,0,0,7.93929e+06,143021,0
1.15802e+07,0,0,0,0,7.94215e+06,143073,0
1.17355e+07,0,0,0,0,8.55431e+06,155295,0
1.18909e+07,0,0,0,0,8.55739e+06,155351,0
1.20463e+07,0,0,0,0,8.56047e+06,155407,0
1.22018e+07,0,0,0,0,8.56355e+06,155463,0
1.23573e+07,0,0,0,0,8.56662e+06,155519,0
1.25055e+07,0,0,0,0,8.23018e+06,148237,0
1.26538e+07,0,0,0,0,8.23314e+06,148290,0
1.28022e+07,0,0,0,0,8.2361e+06,148343,0
1.29505e+07,0,0,0,0,8.23906e+06,148396,0
1.30923e+07,0,0,0,0,7.94382e+06,141783,0
1.32342e+07,0,0,0,0,7.94667e+06,141834,0
1.33761e+07,0,0,0,0,7.94953e+06,141885,0
1.3518e+07,0,0,0,0,7.95239e+06,141936,0
1.36459e+07,0,0,0,0,7.25462e+06,127924,0
1.37739e+07,0,0,0,0,7.25723e+06,127970,0
1.39019e+07,0,0,0,0,7.25983e+06,128016,0
1.403e+07,0,0,0,0,7.26244e+06,128062,0
1.41581e+07,0,0,0,0,7.26505e+06,128108,0
1.42904e+07,0,0,0,3.27677e+179,7.49894e+06,132289,0
1.44227e+07,0,0,0,0,7.50154e+06,132335,0
1.45551e+07,0,0,0,0,7.50414e+06,132381,0
1.46875e+07,0,0,0,0,7.50675e+06,132427,0
1.48354e+07,0,0,0,0,8.31719e+06,147897,0
1.49833e+07,0,0,0,0,8.32008e+06,147948,0
1.51313e+07,0,0,0,0,8.32296e+06,148000,0
1.52794e+07,0,0,0,0,8.32585e+06,148051,0
1.54067e+07,0,0,0,0,7.21225e+06,127312,0
1.55341e+07,0,0,0,0,7.21475e+06,127356,0
1.56615e+07,0,0,0,0,7.21725e+06,127400,0
1.57889e+07,0,0,0,0,7.21975e+06,127444,0
1.59164e+07,0,0,0,0,7.22226e+06,127489,0
1.6049e+07,0,0,0,0,7.50207e+06,132635,0
1.61817e+07,0,0,0,0,7.50467e+06,132681,0
1.63144e+07,0,0,0,0,7.50727e+06,132727,0
1.64472e+07,0,0,0,0,7.50987e+06,132773,0
1.6578e+07,0,0,0,0,7.40428e+06,130834,0
1.67089e+07,0,0,0,0,7.40684e+06,130879,0
1.68399e+07,0,0,0,0,7.40941e+06,130925,0
1.69708e+07,0,0,0,0,7.41198e+06,130970,0
1.71089e+07,0,0,0,0,7.79093e+06,138049,0
1.7247e+07,0,0,0,0,7.79363e+06,138097,0
1.73851e+07,0,0,0,0,7.79633e+06,138145,0
1.75233e+07,0,0,0,0,7.79903e+06,138193,0
1.76615e+07,0,0,0,0,7.80173e+06,138241,0
1.78034e+07,0,0,0,0,7.8805e+06,141896,0
1.79454e+07,0,0,0,0,7.88322e+06,141945,0
1.80874e+07,0,0,0,0,7.88595e+06,141994,0
1.82294e+07,0,0,0,0,7.88868e+06,142044,0
1.8375e+07,0,0,0,0,8.08002e+06,145556,0
1.85206e+07,0,0,0,0,8.08282e+06,145607,0
1.86662e+07,0,0,0,0,8.08561e+06,145657,0
1.8812e+07,0,0,0,0,8.08841e+06,145707,0
1.89701e+07,0,0,0,0,8.71173e+06,158153,0
1.91283e+07,0,0,0,0,8.71474e+06,158208,0
1.92866e+07,0,0,0,0,8.71775e+06,158263,0
1.94449e+07,0,0,0,0,8.72077e+06,158317,0
1.96033e+07,0,0,0,0,8.72378e+06,158372,0
1.97542e+07,0,0,0,0,8.38105e+06,150954,0
1.99052e+07,0,0,0,0,8.38395e+06,151006,0
2.00563e+07,0,0,0,0,8.38684e+06,151058,0
2.02074e+07,0,0,0,0,8.38974e+06,151111,0
2.03518e+07,0,0,0,0,8.08899e+06,144374,0
2.04962e+07,0,0,0,0,8.09179e+06,144424,0
2.06407e+07,0,0,0,0,8.09459e+06,144474,0
2.07852e+07,0,0,0,0,8.09738e+06,144524,0
2.09154e+07,0,0,0,0,7.38679e+06,130255,0
2.10457e+07,0,0,0,0,7.38934e+06,130300,0
2.11761e+07,0,0,0,0,7.3919e+06,130345,0
2.13065e+07,0,0,0,0,7.39445e+06,130390,0
2.14369e+07,0,0,0,0,7.397e+06,130435,0
2.15716e+07,0,0,0,3.27677e+179,7.63503e+06,134690,0
2.17063e+07,0,0,0,0,7.63758e+06,134735,0
2.18411e+07,0,0,0,0,7.64012e+06,134780,0
2.19759e+07,0,0,0,0,7.64267e+06,134825,0
2.21265e+07,0,0,0,0,8.46767e+06,150573,0
2.22771e+07,0,0,0,0,8.47049e+06,150623,0
2.24278e+07,0,0,0,0,8.47331e+06,150673,0
2.25785e+07,0,0,0,0,8.47613e+06,150723,0
2.27081e+07,0,0,0,0,7.34233e+06,129608,0
2.28378e+07,0,0,0,0,7.34477e+06,129651,0
2.29675e+07,0,0,0,0,7.34722e+06,129694,0
2.30972e+07,0,0,0,0,7.34966e+06,129738,0
