0rest_m,1rest_m,0transf,1transf
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.281663,-0.281663
1.000000,1.000000,0.281043,-0.281043
1.000000,1.000000,0.280422,-0.280422
1.000000,1.000000,0.279801,-0.279801
1.000000,1.000000,0.110443,-0.110443
1.000000,1.000000,0.109748,-0.109748
1.000000,1.000000,0.109054,-0.109054
1.000000,1.000000,0.108359,-0.108359
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.275905,-0.275905
1.000000,1.000000,0.275283,-0.275283
1.000000,1.000000,0.274661,-0.274661
1.000000,1.000000,0.274039,-0.274039
1.000000,1.000000,0.295054,-0.295054
1.000000,1.000000,0.294441,-0.294441
1.000000,1.000000,0.293828,-0.293828
1.000000,1.000000,0.293215,-0.293215
1.000000,1.000000,0.215738,-0.215738
1.000000,1.000000,0.215092,-0.215092
1.000000,1.000000,0.214445,-0.214445
1.000000,1.000000,0.213798,-0.213798
1.000000,1.000000,0.21315,-0.21315
1.000000,1.000000,0.170166,-0.170166
1.000000,1.000000,0.169501,-0.169501
1.000000,1.000000,0.168835,-0.168835
1.000000,1.000000,0.168168,-0.168168
1.000000,1.000000,0.129706,-0.129706
1.000000,1.000000,0.129023,-0.129023
1.000000,1.000000,0.12834,-0.12834
1.000000,1.000000,0.127657,-0.127657
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0.0697262,-0.0697262
1.000000,1.000000,0.0690187,-0.0690187
1.000000,1.000000,0.0683111,-0.0683111
1.000000,1.000000,0.0676032,-0.0676032
1.000000,1.000000,0.142691,-0.142691
1.000000,1.000000,0.142016,-0.142016
1.000000,1.000000,0.14134,-0.14134
1.000000,1.000000,0.140664,-0.140664
1.000000,1.000000,0.29812,-0.29812
1.000000,1.000000,0.297512,-0.297512
1.000000,1.000000,0.296903,-0.296903
1.000000,1.000000,0.296294,-0.296294
1.000000,1.000000,0.295686,-0.295686
1.000000,1.000000,0.249202,-0.249202
1.000000,1.000000,0.248592,-0.248592
1.000000,1.000000,0.247982,-0.247982
1.000000,1.000000,0.247373,-0.247373
1.000000,1.000000,0.0742141,-0.0742141
1.000000,1.000000,0.0735323,-0.0735323
1.000000,1.000000,0.0728505,-0.0728505
1.000000,1.000000,0.0721683,-0.0721683
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.302262,-0.302262
1.000000,1.000000,0.301675,-0.301675
1.000000,1.000000,0.301089,-0.301089
1.000000,1.000000,0.243641,-0.243641
1.000000,1.000000,0.243031,-0.243031
1.000000,1.000000,0.24242,-0.24242
1.000000,1.000000,0.241809,-0.241809
1.000000,1.000000,0.263319,-0.263319
1.000000,1.000000,0.262718,-0.262718
1.000000,1.000000,0.262116,-0.262116
1.000000,1.000000,0.261514,-0.261514
1.000000,1.000000,0.182335,-0.182335
1.000000,1.000000,0.1817,-0.1817
1.000000,1.000000,0.181064,-0.181064
1.000000,1.000000,0.180429,-0.180429
1.000000,1.000000,0.179794,-0.179794
1.000000,1.000000,0.135882,-0.135882
1.000000,1.000000,0.135228,-0.135228
1.000000,1.000000,0.134574,-0.134574
1.000000,1.000000,0.13392,-0.13392
1.000000,1.000000,0.094633,-0.094633
1.000000,1.000000,0.0939627,-0.0939627
1.000000,1.000000,0.0932921,-0.0932921
1.000000,1.000000,0.0926216,-0.0926216
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0.0335828,-0.0335828
1.000000,1.000000,0.0328883,-0.0328883
1.000000,1.000000,0.0321935,-0.0321935
1.000000,1.000000,0.0314987,-0.0314987
1.000000,1.000000,0.10826,-0.10826
1.000000,1.000000,0.107597,-0.107597
1.000000,1.000000,0.106934,-0.106934
1.000000,1.000000,0.10627,-0.10627
1.000000,1.000000,0.267192,-0.267192
1.000000,1.000000,0.266595,-0.266595
1.000000,1.000000,0.265998,-0.265998
1.000000,1.000000,0.2654,-0.2654
1.000000,1.000000,0.264803,-0.264803
1.000000,1.000000,0.217332,-0.217332
1.000000,1.000000,0.216735,-0.216735
1.000000,1.000000,0.216138,-0.216138
1.000000,1.000000,0.215541,-0.215541
1.000000,1.000000,0.0386537,-0.0386537
1.000000,1.000000,0.0379859,-0.0379859
1.000000,1.000000,0.037318,-0.037318
1.000000,1.000000,0.0366499,-0.0366499
1.000000,1.000000,0.272942,-0.272942
1.000000,1.000000,0.272368,-0.272368
1.000000,1.000000,0.271794,-0.271794
1.000000,1.000000,0.27122,-0.27122
1.000000,1.000000,0.270645,-0.270645
1.000000,1.000000,0.211986,-0.211986
1.000000,1.000000,0.211388,-0.211388
1.000000,1.000000,0.21079,-0.21079
1.000000,1.000000,0.210192,-0.210192
1.000000,1.000000,0.23219,-0.23219
1.000000,1.000000,0.2316,-0.2316
1.000000,1.000000,0.231011,-0.231011
1.000000,1.000000,0.230421,-0.230421
1.000000,1.000000,0.149574,-0.149574
1.000000,1.000000,0.148952,-0.148952
1.000000,1.000000,0.14833,-0.14833
1.000000,1.000000,0.147708,-0.147708
1.000000,1.000000,0.147086,-0.147086
1.000000,1.000000,0.102265,-0.102265
1.000000,1.000000,0.101625,-0.101625
1.000000,1.000000,0.100985,-0.100985
1.000000,1.000000,0.100344,-0.100344
1.000000,1.000000,0.0602505,-0.0602505
1.000000,1.000000,0.0595941,-0.0595941
1.000000,1.000000,0.0589375,-0.0589375
1.000000,1.000000,0.0582808,-0.0582808
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0.0745288,-0.0745288
1.000000,1.000000,0.0738794,-0.0738794
1.000000,1.000000,0.0732299,-0.0732299
1.000000,1.000000,0.0725802,-0.0725802
1.000000,1.000000,0.236899,-0.236899
1.000000,1.000000,0.236314,-0.236314
1.000000,1.000000,0.235729,-0.235729
1.000000,1.000000,0.235144,-0.235144
1.000000,1.000000,0.234559,-0.234559
1.000000,1.000000,0.186124,-0.186124
1.000000,1.000000,0.185541,-0.185541
1.000000,1.000000,0.184957,-0.184957
1.000000,1.000000,0.184373,-0.184373
1.000000,1.000000,0.0038365,-0.0038365
1.000000,1.000000,0.00318383,-0.00318383
1.000000,1.000000,0.00253104,-0.00253104
1.000000,1.000000,0.00187813,-0.00187813
1.000000,1.000000,0.243093,-0.243093
1.000000,1.000000,0.242532,-0.242532
1.000000,1.000000,0.241971,-0.241971
1.000000,1.000000,0.241409,-0.241409
1.000000,1.000000,0.240848,-0.240848
1.000000,1.000000,0.181004,-0.181004
1.000000,1.000000,0.180419,-0.180419
1.000000,1.000000,0.179835,-0.179835
1.000000,1.000000,0.17925,-0.17925
1.000000,1.000000,0.201726,-0.201726
1.000000,1.000000,0.20115,-0.20115
1.000000,1.000000,0.200574,-0.200574
1.000000,1.000000,0.199997,-0.199997
1.000000,1.000000,0.11752,-0.11752
1.000000,1.000000,0.116912,-0.116912
1.000000,1.000000,0.116304,-0.116304
1.000000,1.000000,0.115696,-0.115696
1.000000,1.000000,0.115088,-0.115088
1.000000,1.000000,0.0693797,-0.0693797
1.000000,1.000000,0.0687542,-0.0687542
1.000000,1.000000,0.0681285,-0.0681285
1.000000,1.000000,0.0675026,-0.0675026
1.000000,1.000000,0.0266215,-0.0266215
1.000000,1.000000,0.02598,-0.02598
1.000000,1.000000,0.0253384,-0.0253384
1.000000,1.000000,0.0246967,-0.0246967
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0.0415538,-0.0415538
1.000000,1.000000,0.0409194,-0.0409194
1.000000,1.000000,0.0402847,-0.0402847
1.000000,1.000000,0.0396498,-0.0396498
1.000000,1.000000,0.20729,-0.20729
1.000000,1.000000,0.206718,-0.206718
1.000000,1.000000,0.206147,-0.206147
1.000000,1.000000,0.205575,-0.205575
1.000000,1.000000,0.205004,-0.205004
1.000000,1.000000,0.155627,-0.155627
1.000000,1.000000,0.155058,-0.155058
1.000000,1.000000,0.154488,-0.154488
1.000000,1.000000,0.153919,-0.153919
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0.213931,-0.213931
1.000000,1.000000,0.213384,-0.213384
1.000000,1.000000,0.212836,-0.212836
1.000000,1.000000,0.212288,-0.212288
1.000000,1.000000,0.211741,-0.211741
1.000000,1.000000,0.15074,-0.15074
1.000000,1.000000,0.15017,-0.15017
1.000000,1.000000,0.1496,-0.1496
1.000000,1.000000,0.149029,-0.149029
1.000000,1.000000,0.171973,-0.171973
1.000000,1.000000,0.171411,-0.171411
1.000000,1.000000,0.170848,-0.170848
1.000000,1.000000,0.170286,-0.170286
1.000000,1.000000,0.086217,-0.086217
1.000000,1.000000,0.0856242,-0.0856242
1.000000,1.000000,0.0850313,-0.0850313
1.000000,1.000000,0.0844381,-0.0844381
1.000000,1.000000,0.0838448,-0.0838448
1.000000,1.000000,0.0372711,-0.0372711
