0reliability,1reliability,0afford,1afford
1,1,0.0334817,0.0230849
1,1,0.0342783,0.0231347
0.998999,1,0.0350593,0.0231839
0.998999,1,0.035823,0.0232326
0.997998,1,0.0365896,0.0232811
0.997998,1,0.0416229,0.02602
0.994995,1,0.0430479,0.0265693
0.997998,1,0.044313,0.0270114
0.992993,1,0.0452501,0.0275419
0.988989,1,0.0460079,0.0279498
0.991992,1,0.0465215,0.0282981
0.988989,1,0.0475356,0.0286339
0.987988,1,0.0471471,0.0289099
0.978979,1,0.047936,0.0291975
0.973974,1,0.0482862,0.0293208
0.973974,1,0.0488218,0.0294039
0.968969,1,0.0491597,0.0295524
0.967968,1,0.0498401,0.0295767
0.970971,1,0.0504525,0.02964
0.967968,1,0.0513159,0.0296714
0.965966,1,0.0525856,0.029697
0.960961,1,0.0532135,0.0297262
0.964965,1,0.0539887,0.0297045
0.971972,1,0.0546501,0.0297341
0.968969,1,0.0552999,0.0297238
0.964965,1,0.0559022,0.0297466
0.966967,1,0.0560945,0.0297581
0.960961,1,0.0567415,0.0297504
0.957958,1,0.0570434,0.0297581
0.964965,1,0.0570578,0.0297504
0.953954,1,0.0574328,0.0297581
0.951952,1,0.0577077,0.0297366
0.950951,1,0.0576433,0.0297729
0.944945,1,0.0578819,0.0297366
0.940941,1,0.0579014,0.0297962
0.93994,1,0.0581384,0.0297561
0.94995,1,0.0581658,0.0297262
0.948949,1,0.0579994,0.0297466
0.948949,1,0.0582087,0.0297366
0.938939,1,0.05813,0.029767
