0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.139,85.139,9.98024,0,0,2.46977,2.46977,0,0,4.47552,3.94875e+06,2.70226e+06,9.75252e+06,0,0,0,0,99.3022,98.274,9.0954,0,1,1.43262,1.43262,0,0,2.1168,8.20631e+06,3.61194e+06,1.17565e+07,0,0,0,0
85.139,85.139,9.75138,0,0,2.47046,2.47046,0,0.462835,4.47552,3.94875e+06,2.70226e+06,9.75522e+06,0,0,0,0,99.3022,98.274,8.97732,0,1,1.43301,1.43301,0,1.10684,2.1168,8.20631e+06,3.61194e+06,1.17598e+07,0,0,0,0
85.139,85.139,6.93804,0,0,2.47114,2.47114,0,0.462964,4.47552,3.94875e+06,2.70226e+06,9.75792e+06,0,0,0,0,99.3022,98.274,5.01618,0,1,1.43341,1.43341,0,1.10715,2.1168,8.20631e+06,3.61194e+06,1.1763e+07,0,0,0,0
85.139,85.139,6.6129,0,0,2.47183,2.47183,0,0.463092,4.47552,3.94875e+06,2.70226e+06,9.76063e+06,0,0,0,0,99.3022,98.274,4.37307,0,1,1.43381,1.43381,0,1.10745,2.1168,8.20631e+06,3.61194e+06,1.17663e+07,0,0,0,0
85.139,85.139,5.88284,0,0,2.71367,2.71367,0,0.46322,4.47552,3.94875e+06,2.70226e+06,1.07156e+07,0,0,0,0,99.3022,98.274,5.79742,0,1,1.60284,1.60284,0,1.10776,2.1168,8.20631e+06,3.61194e+06,1.31534e+07,0,0,0,0
85.139,85.139,6.18299,0,0,2.71443,2.71443,0,0.508543,4.47552,3.94875e+06,2.70226e+06,1.07186e+07,0,0,0,0,99.3022,98.274,6.21903,0,1,1.60328,1.60328,0,1.23835,2.1168,8.20631e+06,3.61194e+06,1.3157e+07,0,0,0,0
85.139,85.139,5.12017,0,0,2.71518,2.71518,0,0.508684,4.47552,3.94875e+06,2.70226e+06,1.07216e+07,0,0,0,0,99.3022,98.274,5.67577,0,1,1.60373,1.60373,0,1.2387,2.1168,8.20631e+06,3.61194e+06,1.31607e+07,0,0,0,0
85.139,85.139,5.94537,0,0,2.71593,2.71593,0,0.508824,4.47552,3.94875e+06,2.70226e+06,1.07245e+07,0,0,0,0,99.3022,98.274,5.84096,0,1,1.60417,1.60417,0,1.23904,2.1168,8.20631e+06,3.61194e+06,1.31643e+07,0,0,0,0
85.139,85.139,7.24842,0,0,2.37233,2.37233,0,0.508965,4.47552,3.94875e+06,2.70226e+06,9.36773e+06,0,0,0,0,99.3022,98.274,10.2198,0,1,1.37806,1.37806,0,1.23938,2.1168,8.20631e+06,3.61194e+06,1.13088e+07,0,0,0,0
85.139,85.139,6.78305,0,0,2.37298,2.37298,0,0.444574,4.47552,3.94875e+06,2.70226e+06,9.37032e+06,0,0,0,0,99.3022,98.274,13.264,0,1,1.37844,1.37844,0,1.06469,2.1168,8.20631e+06,3.61194e+06,1.13119e+07,0,0,0,0
85.139,85.139,9.92618,0,0,2.37364,2.37364,0,0.444697,4.47552,3.94875e+06,2.70226e+06,9.37292e+06,0,0,0,0,99.3022,98.274,15.7679,0,1,1.37882,1.37882,0,1.06498,2.1168,8.20631e+06,3.61194e+06,1.1315e+07,0,0,0,0
