0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity
85.139,85.139,3.25717,0.05,0,2.46977,2.46977,0,0,4.47552,99.3022,98.274,7.06572,0,0,1.43262,1.43262,0,0,2.1168
85.139,85.139,6.4351,0.05,0,2.47047,2.47047,0,0.462835,4.47552,99.3022,98.274,5.7132,0,0,1.43302,1.43302,0,1.10684,2.1168
85.139,85.139,5.70982,0.05,0,2.47117,2.47117,0,0.462966,4.47552,99.3022,98.274,7.23588,0,0,1.43343,1.43343,0,1.10715,2.1168
85.139,85.139,4.26893,0.05,0,2.47187,2.47187,0,0.463097,4.47552,99.3022,98.274,7.62599,0,0,1.43383,1.43383,0,1.10747,2.1168
85.139,85.139,6.56898,0.05,0,2.71374,2.71374,0,0.463229,4.47552,99.3022,98.274,11.8869,0,0,1.60288,1.60288,0,1.10778,2.1168
85.139,85.139,14.5701,0.05,0,2.71451,2.71451,0,0.508555,4.47552,99.3022,98.274,16.9157,0,0,1.60333,1.60333,0,1.23838,2.1168
85.139,85.139,9.31179,0.05,0,2.71528,2.71528,0,0.508699,4.47552,99.3022,98.274,12.0581,0,0,1.60378,1.60378,0,1.23873,2.1168
85.139,85.139,5.64351,0.05,0,2.71604,2.71604,0,0.508843,4.47552,99.3022,98.274,8.27165,0,0,1.60424,1.60424,0,1.23908,2.1168
85.139,85.139,6.75706,0.05,0,2.37244,2.37244,0,0.508987,4.47552,99.3022,98.274,7.75371,0,0,1.37812,1.37812,0,1.23943,2.1168
85.139,85.139,6.65305,0.05,0,2.37311,2.37311,0,0.444595,4.47552,99.3022,98.274,6.49472,0,0,1.37851,1.37851,0,1.06474,2.1168
85.139,85.139,5.6344,0.05,0,2.37378,2.37378,0,0.444721,4.47552,99.3022,98.274,5.86745,0,0,1.3789,1.3789,0,1.06504,2.1168
85.139,85.139,6.08874,0.05,0,2.37445,2.37445,0,0.444847,4.47552,99.3022,98.274,6.43408,0,0,1.37929,1.37929,0,1.06534,2.1168
85.139,85.139,8.19606,0.05,0,2.37513,2.37513,0,0.444973,4.47552,99.3022,98.274,6.71059,0,0,1.37968,1.37968,0,1.06564,2.1168
85.139,85.139,7.98818,0.05,0,2.4626,2.4626,0,0.445099,4.47552,99.3022,98.274,8.67184,0,0,1.43558,1.43558,0,1.06594,2.1168
85.139,85.139,7.5254,0.05,0,2.4633,2.4633,0,0.461492,4.47552,99.3022,98.274,9.69821,0,0,1.43599,1.43599,0,1.10913,2.1168
85.139,85.139,5.59262,0.05,0,2.464,2.464,0,0.461623,4.47552,99.3022,98.274,8.81088,0,0,1.43639,1.43639,0,1.10944,2.1168
85.139,85.139,4.72191,0.05,0,2.4647,2.4647,0,0.461753,4.47552,99.3022,98.274,6.78216,0,0,1.4368,1.4368,0,1.10976,2.1168
85.139,85.139,4.77722,0.05,0,2.43141,2.43141,0,0.461884,4.47552,99.3022,98.274,6.31515,0,0,1.41562,1.41562,0,1.11007,2.1168
85.139,85.139,4.51533,0.05,0,2.4321,2.4321,0,0.455647,4.47552,99.3022,98.274,5.54446,0,0,1.41602,1.41602,0,1.09371,2.1168
85.139,85.139,4.19639,0.05,0,2.43279,2.43279,0,0.455776,4.47552,99.3022,98.274,5.52582,0,0,1.41642,1.41642,0,1.09402,2.1168
85.139,85.139,4.0313,0.04,0,2.43348,2.43348,0,0.455905,4.47552,99.3022,98.274,6.76703,0,0,1.41682,1.41682,0,1.09433,2.1168
85.139,85.139,3.79646,0.04,0,2.54964,2.54964,0,0.456034,4.47552,99.3022,98.274,5.7963,0,0,1.49385,1.49385,0,1.09464,2.1168
85.139,85.139,3.9477,0.02,0,2.55036,2.55036,0,0.477802,4.47552,99.3022,98.274,5.12409,0,0,1.49427,1.49427,0,1.15415,2.1168
85.139,85.139,3.42967,0.02,0,2.55108,2.55108,0,0.477937,4.47552,99.3022,98.274,4.83221,0,0,1.49469,1.49469,0,1.15447,2.1168
85.139,85.139,3.13533,0.01,0,2.5518,2.5518,0,0.478072,4.47552,99.3022,98.274,4.08609,0,0,1.49512,1.49512,0,1.1548,2.1168
85.139,85.139,3.101,0.01,0,2.55252,2.55252,0,0.478207,4.47552,99.3022,98.274,4.42021,0,0,1.49554,1.49554,0,1.15513,2.1168
85.139,85.139,3.61719,0.01,0,2.53038,2.53038,0,0.478343,4.47552,99.3022,98.274,4.65759,0,0,1.53814,1.53814,0,1.15545,2.1168
