0reliability,1reliability,0afford,1afford
1,1,0.0376003,0.0237998
1,1,0.0382878,0.0239199
1,1,0.0389794,0.0239199
1,0.997998,0.0397057,0.0239199
1,0.996997,0.0404662,0.0239199
1,0.996997,0.0411703,0.0239199
1,0.995996,0.0418588,0.0239199
1,0.996997,0.0425611,0.0239253
1,0.996997,0.0432215,0.0239253
1,0.994995,0.0438348,0.0239278
1,0.993994,0.0444488,0.0239278
1,0.993994,0.0450336,0.0239278
1,0.995996,0.0456529,0.0239278
1,0.994995,0.0462458,0.0239278
1,0.993994,0.0468098,0.0239278
1,0.992993,0.0473461,0.0239278
1,0.993994,0.0478404,0.0239278
1,0.995996,0.0483199,0.0239278
1,0.98999,0.0488207,0.0239278
1,0.990991,0.0492787,0.0239278
1,0.991992,0.0497032,0.0239278
1,0.987988,0.0500998,0.0239278
1,0.990991,0.0504412,0.0239278
1,0.990991,0.0508024,0.0239278
1,0.984985,0.0511447,0.0239278
1,0.987988,0.0514512,0.0239278
1,0.990991,0.0517013,0.0239278
1,0.995996,0.0519869,0.0239278
1,0.992993,0.0522181,0.0239278
1,0.992993,0.0524247,0.0239278
1,0.996997,0.0526067,0.0239278
1,0.994995,0.0527642,0.0239278
1,0.991992,0.0528973,0.0239278
1,0.990991,0.0530057,0.0239278
1,0.994995,0.0530495,0.0239278
1,0.993994,0.0531478,0.0239278
1,0.992993,0.0531412,0.0239278
1,0.990991,0.0531515,0.0239278
1,0.98999,0.0531388,0.0239278
1,0.990991,0.0531423,0.0239278
