0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost
0,0,0,0,3.27677e+179,2.27965e+07,-859486,859486
0,0,0,0,0,2.27147e+07,-758411,758411
0,0,0,0,0,2.27194e+07,-756108,756108
0,0,0,0,0,2.27241e+07,-753806,753806
0,0,0,0,0,2.50652e+07,-685167,685167
137691,0,0,0,0,2.43525e+07,137691,0
277956,0,0,0,0,2.43577e+07,140265,0
420795,0,0,0,0,2.43629e+07,142839,0
474740,0,0,0,0,2.11484e+07,53945.7,0
0,0,0,0,0,2.19746e+07,-882871,0
0,0,0,0,0,2.19809e+07,-882692,882692
0,0,0,0,0,2.19872e+07,-882514,882514
0,0,0,0,0,2.19935e+07,-882335,882335
0,0,0,0,0,2.27982e+07,-859466,859466
0,0,0,0,0,2.27022e+07,-742116,742116
0,0,0,0,0,2.27069e+07,-739810,739810
0,0,0,0,0,2.27116e+07,-737505,737505
0,0,0,0,0,2.24049e+07,-744047,744047
0,0,0,0,0,2.25014e+07,-846784,846784
0,0,0,0,0,2.2506e+07,-844511,844511
0,0,0,0,0,2.25106e+07,-842237,842237
0,0,0,0,0,2.36004e+07,-809135,809135
0,0,0,0,0,2.3279e+07,-433897,433897
0,0,0,0,0,2.32838e+07,-431500,431500
0,0,0,0,0,2.32887e+07,-429101,429101
0,0,0,0,0,2.32935e+07,-426702,426702
0,0,0,0,0,2.35543e+07,-417250,417250
0,0,0,0,0,2.33796e+07,-209555,209555
0,0,0,0,0,2.33845e+07,-207090,207090
0,0,0,0,0,2.33893e+07,-204624,204624
0,0,0,0,0,2.39368e+07,-186738,186738
0,0,0,0,0,2.37815e+07,-1084.33,1084.33
1443.72,0,0,0,0,2.37865e+07,1443.72,0
5416.11,0,0,0,0,2.37915e+07,3972.4,0
63013.1,0,0,0,0,2.5598e+07,57597,0
774597,0,0,0,0,2.50335e+07,711584,0
1.4864e+06,0,0,0,0,2.50411e+07,711799,0
2.19841e+06,0,0,0,0,2.50487e+07,712015,0
2.91064e+06,0,0,0,0,2.50563e+07,712231,0
3.59441e+06,0,0,0,0,2.40508e+07,683770,0
3.89919e+06,0,0,0,0,2.43899e+07,304777,0
4.20659e+06,0,0,0,0,2.43951e+07,307397,0
4.5166e+06,0,0,0,0,2.44003e+07,310017,0
4.80398e+06,0,0,0,0,2.35121e+07,287372,0
4.72722e+06,0,0,0,0,2.3838e+07,-76756.8,0
4.65297e+06,0,0,0,0,2.3843e+07,-74253.3,0
4.58122e+06,0,0,0,0,2.3848e+07,-71749.1,0
4.45324e+06,0,0,0,0,2.17819e+07,-127980,0
3.58355e+06,0,0,0,0,2.24375e+07,-869691,0
2.71404e+06,0,0,0,0,2.24439e+07,-869509,0
1.84471e+06,0,0,0,0,2.24503e+07,-869327,0
975565,0,0,0,0,2.24567e+07,-869144,0
125794,0,0,0,3.27677e+179,2.31381e+07,-849771,0
0,0,0,0,0,2.29593e+07,-638013,386425
0,0,0,0,0,2.29639e+07,-635752,635752
0,0,0,0,0,2.29685e+07,-633492,633492
0,0,0,0,0,2.53465e+07,-563843,563843
271970,0,0,0,0,2.46224e+07,271970,0
546466,0,0,0,0,2.46275e+07,274497,0
823490,0,0,0,0,2.46326e+07,277024,0
1.01013e+06,0,0,0,0,2.13671e+07,186639,0
136547,0,0,0,0,2.23012e+07,-873582,0
0,0,0,0,0,2.23074e+07,-873406,600311
0,0,0,0,0,2.23135e+07,-873231,873231
0,0,0,0,0,2.23197e+07,-873055,873055
0,0,0,0,0,2.31369e+07,-849832,849832
0,0,0,0,0,2.29446e+07,-622475,622475
0,0,0,0,0,2.29491e+07,-620212,620212
0,0,0,0,0,2.29537e+07,-617948,617948
0,0,0,0,0,2.2642e+07,-624671,624671
0,0,0,0,0,2.27399e+07,-729099,729099
0,0,0,0,0,2.27444e+07,-726867,726867
0,0,0,0,0,2.2749e+07,-724634,724634
0,0,0,0,0,2.38557e+07,-691091,691091
0,0,0,0,0,2.35291e+07,-310053,310053
0,0,0,0,0,2.35338e+07,-307699,307699
0,0,0,0,0,2.35386e+07,-305344,305344
0,0,0,0,0,2.35434e+07,-302989,302989
0,0,0,0,0,2.3808e+07,-293470,293470
0,0,0,0,0,2.36304e+07,-82614.3,82614.3
0,0,0,0,0,2.36352e+07,-80193.8,80193.8
0,0,0,0,0,2.364e+07,-77772.8,77772.8
0,0,0,0,0,2.41958e+07,-59692.2,59692.2
128769,0,0,0,0,2.4038e+07,128769,0
260021,0,0,0,0,2.40429e+07,131252,0
393755,0,0,0,0,2.40478e+07,133734,0
581861,0,0,0,0,2.58821e+07,188106,0
1.30449e+06,0,0,0,0,2.5422e+07,722628,0
2.02733e+06,0,0,0,0,2.54295e+07,722840,0
2.75038e+06,0,0,0,0,2.54369e+07,723052,0
3.47364e+06,0,0,0,0,2.54444e+07,723263,0
4.168e+06,0,0,0,0,2.44231e+07,694354,0
4.60659e+06,0,0,0,0,2.46542e+07,438597,0
5.04776e+06,0,0,0,0,2.46593e+07,441168,0
5.4915e+06,0,0,0,0,2.46644e+07,443741,0
5.91216e+06,0,0,0,0,2.37624e+07,420658,0
5.96298e+06,0,0,0,0,2.40931e+07,50818.7,0
6.01626e+06,0,0,0,0,2.4098e+07,53276.2,0
6.07199e+06,0,0,0,0,2.41029e+07,55734.4,0
