0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity
84.3152,85.139,2.0419,1,0,2.41414,2.46977,0,0,4.47552,99.3022,98.274,1.97146,1,1,1.40035,1.43262,0,0,2.1168
84.9331,85.139,3.58173,1,0,2.41471,2.47035,0,0.45241,4.47552,99.3022,98.274,2.39034,1,1,1.40068,1.43295,0,1.08191,2.1168
85.139,85.139,4.77391,1,0,2.41527,2.47093,0,0.452516,4.47552,99.3022,98.274,6.31299,1,1,1.401,1.43329,0,1.08216,2.1168
85.139,85.139,4.70731,1,0,2.41583,2.4715,0,0.452622,4.47552,99.3022,98.274,3.90101,1,1,1.40133,1.43362,0,1.08241,2.1168
85.139,85.139,4.62629,1,0,2.65209,2.7132,0,0.452727,4.47552,99.3022,98.274,4.57075,1,1,1.56646,1.60256,0,1.08267,2.1168
85.139,85.139,4.07577,1,0,2.65271,2.71383,0,0.497001,4.47552,99.3022,98.274,4.34257,1,1,1.56683,1.60293,0,1.21025,2.1168
85.139,85.139,4.99378,1,0,2.65333,2.71447,0,0.497117,4.47552,99.3022,98.274,4.81996,1,1,1.56719,1.6033,0,1.21053,2.1168
85.139,85.139,5.65483,1,0,2.65394,2.7151,0,0.497233,4.47552,99.3022,98.274,5.44998,1,1,1.56756,1.60368,0,1.21081,2.1168
85.139,85.139,4.93197,1,0,2.31808,2.3715,0,0.497349,4.47552,99.3022,98.274,5.3249,1,1,1.34655,1.37758,0,1.2111,2.1168
85.139,85.139,5.21554,1,0,2.31862,2.37205,0,0.434408,4.47552,99.3022,98.274,5.60993,1,1,1.34686,1.3779,0,1.04034,2.1168
85.139,85.139,5.08536,1,0,2.31916,2.3726,0,0.43451,4.47552,99.3022,98.274,6.31677,1,1,1.34718,1.37822,0,1.04058,2.1168
85.139,85.139,5.06109,1,0,2.3197,2.37316,0,0.434611,4.47552,99.3022,98.274,6.29483,1,1,1.34749,1.37854,0,1.04083,2.1168
85.139,85.139,6.31315,1,0,2.32025,2.37371,0,0.434713,4.47552,99.3022,98.274,9.85095,1,1,1.3478,1.37886,0,1.04107,2.1168
85.139,85.139,6.60011,1,0,2.40558,2.46102,0,0.434814,4.47552,99.3022,98.274,11.9441,1,1,1.40234,1.43465,0,1.04131,2.1168
85.139,85.139,5.8288,1,0,2.40614,2.46159,0,0.450806,4.47552,99.3022,98.274,15.6729,1,1,1.40267,1.43499,0,1.08345,2.1168
85.139,85.139,4.70788,1,0,2.40671,2.46216,0,0.450912,4.47552,99.3022,98.274,14.227,1,1,1.40299,1.43532,0,1.0837,2.1168
85.139,85.139,3.69229,1,0,2.40727,2.46274,0,0.451017,4.47552,99.3022,98.274,10.5505,1,1,1.40332,1.43566,0,1.08395,2.1168
85.139,85.139,3.83304,1,0,2.37464,2.42936,0,0.451122,4.47552,99.3022,98.274,7.63111,1,1,1.38257,1.41443,0,1.08421,2.1168
85.139,85.139,3.52491,1,0,2.3752,2.42993,0,0.445008,4.47552,99.3022,98.274,6.57449,1,1,1.38289,1.41476,0,1.06817,2.1168
85.139,85.139,3.16847,1,0,2.37575,2.4305,0,0.445112,4.47552,99.3022,98.274,5.91213,1,1,1.38322,1.41509,0,1.06842,2.1168
85.139,85.139,3.03271,1,0,2.37631,2.43106,0,0.445216,4.47552,99.3022,98.274,5.6679,1,1,1.38354,1.41542,0,1.06867,2.1168
85.139,85.139,2.89856,1,0,2.48961,2.54698,0,0.44532,4.47552,99.3022,98.274,4.95803,1,1,1.45868,1.49229,0,1.06892,2.1168
85.0654,85.139,2.79478,1,0,2.49019,2.54758,0,0.466554,4.47552,99.3022,98.274,5.13341,1,1,1.45902,1.49264,0,1.12698,2.1168
84.9776,85.139,2.68678,1,0,2.49078,2.54817,0,0.466662,4.47552,99.3022,98.274,4.93901,1,1,1.45936,1.49299,0,1.12724,2.1168
84.638,85.139,2.41725,1,0,2.49136,2.54877,0,0.466771,4.47552,99.3022,98.274,4.13167,1,1,1.4597,1.49334,0,1.1275,2.1168
84.2203,85.139,2.32827,1,0,2.49194,2.54936,0,0.46688,4.47552,99.3022,98.274,3.75615,1,1,1.46004,1.49369,0,1.12777,2.1168
83.6858,85.139,2.19656,1,0,2.4702,2.52712,0,0.466989,4.47552,99.3022,98.274,3.49678,1,1,1.50155,1.53615,0,1.12803,2.1168
83.0598,85.139,2.07773,1,0,2.47077,2.52771,0,0.462915,4.47552,99.3022,98.274,3.38277,1,1,1.5019,1.53651,0,1.1601,2.1168
82.3297,85.139,1.95837,1,0,2.47135,2.5283,0,0.463023,4.47552,99.3022,98.274,3.18097,1,1,1.50225,1.53687,0,1.16037,2.1168
81.4772,85.139,1.82713,1,0,2.47193,2.52889,0,0.463131,4.47552,99.3022,98.274,2.97987,1,1,1.50261,1.53723,0,1.16064,2.1168
80.3867,85.139,1.60725,1,0,2.53021,2.58851,0,0.463239,4.47552,99.3022,98.274,2.75871,1,1,1.53968,1.57516,0,1.16091,2.1168
79.1501,85.139,1.44404,1,0,2.5308,2.58912,0,0.474161,4.47552,99.3022,98.274,2.43764,1,1,1.54004,1.57553,0,1.18956,2.1168
77.9022,85.139,1.41908,1,0,2.53139,2.58972,0,0.474272,4.47552,99.3022,98.274,2.62407,1,1,1.5404,1.5759,0,1.18984,2.1168
76.7833,85.139,1.52697,1,0,2.53198,2.59032,0,0.474382,4.47552,99.3022,98.274,2.89107,1,1,1.54076,1.57626,0,1.19011,2.1168
75.6435,85.139,1.63879,1,0,2.70171,2.76397,0,0.474493,4.47552,99.3022,98.274,2.97978,1,1,1.6738,1.71237,0,1.19039,2.1168
74.4878,85.139,1.60275,1,0,2.70234,2.76461,0,0.506301,4.47552,99.2689,98.274,2.37664,1,1,1.6742,1.71277,0,1.29318,2.1168
73.1528,85.139,1.43759,1,0,2.70297,2.76526,0,0.506419,4.47552,99.2112,98.274,2.27808,1,1,1.67459,1.71317,0,1.29348,2.1168
71.855,85.139,1.45263,1,0,2.7036,2.7659,0,0.506537,4.47552,99.2518,98.274,2.46448,1,1,1.67498,1.71357,0,1.29379,2.1168
70.5774,85.139,1.46618,1,0,2.70424,2.76655,0,0.506655,4.47552,99.3022,98.274,2.89134,1,1,1.67537,1.71397,0,1.29409,2.1168
70.6503,85.139,2.7305,1,0,2.62234,2.68277,0,0.506774,4.47552,99.3022,98.274,4.24866,1,1,1.59513,1.63189,0,1.29439,2.1168
70.9152,85.139,2.99557,1,0,2.62295,2.68339,0,0.491426,4.47552,99.3022,98.274,5.40786,1,1,1.5955,1.63227,0,1.2324,2.1168
70.9931,85.139,2.83927,1,0,2.62356,2.68402,0,0.491541,4.47552,99.3022,98.274,5.60309,1,1,1.59588,1.63265,0,1.23269,2.1168
71.3737,85.139,3.21545,1,0,2.62418,2.68464,0,0.491656,4.47552,99.3022,98.274,6.34201,1,1,1.59625,1.63303,0,1.23297,2.1168
73.0977,85.139,4.8309,1,0,2.55698,2.6159,0,0.491771,4.47552,99.3022,98.274,7.22704,1,1,1.52316,1.55826,0,1.23326,2.1168
73.8576,85.139,3.72935,1,0,2.55758,2.61652,0,0.479179,4.47552,99.3022,98.274,4.43889,1,1,1.52352,1.55862,0,1.17679,2.1168
74.6534,85.139,3.71547,1,0,2.55818,2.61713,0,0.479291,4.47552,99.3022,98.274,4.78891,1,1,1.52387,1.55899,0,1.17707,2.1168
76.3377,85.139,4.69865,1,0,2.55878,2.61774,0,0.479403,4.47552,99.3022,98.274,5.93318,1,1,1.52423,1.55935,0,1.17734,2.1168
79.8723,85.139,6.43722,1,0,2.36662,2.42116,0,0.479515,4.47552,99.3022,98.274,7.15515,1,1,1.37145,1.40305,0,1.17762,2.1168
82.8561,85.139,5.9012,1,0,2.36718,2.42172,0,0.443505,4.47552,99.3022,98.274,8.0671,1,1,1.37177,1.40338,0,1.05958,2.1168
83.4753,85.139,3.41475,1,0,2.36773,2.42229,0,0.443609,4.47552,99.3022,98.274,5.01813,1,1,1.37209,1.4037,0,1.05983,2.1168
83.8263,85.139,3.12177,1,0,2.36828,2.42285,0,0.443712,4.47552,99.3022,98.274,4.13342,1,1,1.37241,1.40403,0,1.06007,2.1168
85.139,85.139,4.33483,1,0,2.36884,2.42342,0,0.443816,4.47552,99.3022,98.274,6.0809,1,1,1.37273,1.40436,0,1.06032,2.1168
85.139,85.139,5.5177,1,0,2.44361,2.49992,0,0.44392,4.47552,99.3022,98.274,6.36162,1,1,1.41744,1.4501,0,1.06057,2.1168
85.139,85.139,9.42639,1,0,2.44416,2.50048,0,0.457932,4.47552,99.3022,98.274,8.4067,1,1,1.41776,1.45043,0,1.09511,2.1168
85.139,85.139,8.58252,1,0,2.44471,2.50105,0,0.458036,4.47552,99.3022,98.274,9.96938,1,1,1.41808,1.45076,0,1.09536,2.1168
85.139,85.139,7.45092,1,0,2.44527,2.50161,0,0.458139,4.47552,99.3022,98.274,8.34865,1,1,1.4184,1.45109,0,1.09561,2.1168
85.139,85.139,10.7544,1,0,2.68438,2.74624,0,0.458243,4.47552,99.3022,98.274,10.3552,1,1,1.58553,1.62207,0,1.09586,2.1168
85.139,85.139,8.08362,1,0,2.68499,2.74686,0,0.503053,4.47552,99.3022,98.274,9.63711,1,1,1.58589,1.62244,0,1.22498,2.1168
85.139,85.139,9.33385,1,0,2.6856,2.74748,0,0.503167,4.47552,99.3022,98.274,12.7851,1,1,1.58625,1.6228,0,1.22526,2.1168
85.139,85.139,7.71319,1,0,2.6862,2.7481,0,0.503281,4.47552,99.3022,98.274,12.1773,1,1,1.58661,1.62317,0,1.22554,2.1168
85.139,85.139,8.31819,1,0,2.34624,2.40031,0,0.503395,4.47552,99.3022,98.274,10.5502,1,1,1.36291,1.39431,0,1.22582,2.1168
85.139,85.139,8.60172,1,0,2.34677,2.40085,0,0.439686,4.47552,99.3022,98.274,10.3294,1,1,1.36321,1.39463,0,1.05298,2.1168
85.139,85.139,8.49291,1,0,2.3473,2.40139,0,0.439785,4.47552,99.3022,98.274,9.75162,1,1,1.36352,1.39494,0,1.05322,2.1168
85.139,85.139,7.2764,1,0,2.34784,2.40194,0,0.439885,4.47552,99.3022,98.274,7.33641,1,1,1.36383,1.39526,0,1.05346,2.1168
85.139,85.139,6.71912,1,0,2.34837,2.40248,0,0.439984,4.47552,99.3022,98.274,7.02987,1,1,1.36414,1.39557,0,1.0537,2.1168
85.139,85.139,6.94932,1,0,2.43472,2.49083,0,0.440084,4.47552,99.3022,98.274,9.1917,1,1,1.41933,1.45203,0,1.05393,2.1168
85.139,85.139,5.1526,1,0,2.43527,2.49139,0,0.456267,4.47552,99.3022,98.274,6.43168,1,1,1.41965,1.45236,0,1.09657,2.1168
85.139,85.139,4.93408,1,0,2.43583,2.49195,0,0.45637,4.47552,99.3022,98.274,6.61112,1,1,1.41997,1.45269,0,1.09682,2.1168
85.139,85.139,4.4182,1,0,2.43638,2.49252,0,0.456474,4.47552,99.3022,98.274,6.45469,1,1,1.42029,1.45302,0,1.09707,2.1168
85.139,85.139,3.99868,1,0,2.40334,2.45872,0,0.456577,4.47552,99.3022,98.274,5.18172,1,1,1.39928,1.43152,0,1.09732,2.1168
