REL,RF,NPC,PFC,WCC
0.961961962,0.052102102,101438183,0.095416872,0.003623693
0.981481481,0.289514515,285616659.2,0.029830482,0.006605527
0.968468468,0.049324324,246880839.9,0.025665685,0.00461126
0.985485485,0.67047047,291428121.2,0.078199242,0.022516558
0.963463463,0.049574575,229266879.2,#NAME?,0.003473378
0.972472472,0.049249249,266757632.8,0.029834071,0.003870805
0.984484484,0.757107107,289818226.1,0.032667825,0.017866261
0.981981982,0.299399399,286211436.8,0.03450105,0.004640193
0.954454454,0.053128128,0,0.081417275,0.000333094
0.964464464,0.052002002,135482734.1,0.109907607,0
0.949449449,0.049624625,198592342.6,0.037228381,0.00719494
0.946446446,0.0496997,189652226.1,0.033643217,0.008976647
0.975475475,0.083158158,259969808.4,0.029542863,0.003161405
0.972472472,0.049199199,265935611.3,0.008000118,0.021205189
0.945445445,0.049774775,189652226.1,0.027838741,0.004202605
0.872372372,0.068443443,0,0.021800452,0.013861511
0.876876877,0.106606607,0,0.02235709,0.012976327
0.926426426,0.165715716,0,0.07882489,0.001565408
0.897897898,0.066741742,69955970.69,0.024623595,0.012295608
0.960960961,0.04974975,217755275.1,0.018471545,0.01545197
0.964464464,0.04954955,237375752.6,0.028958664,0.004532836
0.912412412,0.245770771,0,0.05652706,0.018422913
0.944444444,0.049974975,176851248.2,0.010107726,0.021205189
0.98048048,0.302577578,277264802.5,0.024929878,0.010747495
0.968468468,0.787987988,72167783.73,0.089087724,0.004280615
0.934434434,0.302727728,0,0.067638862,0.018093762
0.977477477,0.056981982,264356987.8,#NAME?,0
0.983483483,0.598173173,294672558,0.029845912,0.018500782
0.971471471,0.053853854,170140864.9,0.081533432,0.013073436
0.964464464,0.127652653,69955970.69,0.116288241,0
0.969469469,0.766716717,95217615.83,0.095598217,0.000209434
0.910910911,0.212387387,0,0.057028566,0.01805756
0.976976977,0.099724725,185940465.8,0.082894319,0.002634905
0.967967968,0.88028028,69955970.69,0.089953119,0.005543965
0.947447447,0.379429429,0,0.077829422,0.017494745
0.928428428,0.184884885,0,0.067915939,0.017293783
0.983483483,0.626826827,287698783.3,0.009017374,0.030886669
0.935435435,0.354804805,0,0.066671652,0.008400136
0.97047047,0.884459459,95734229.09,0.092606227,0.004109641
0.872372372,0.068443443,0,0.006961845,0.017518829
0.973473473,0.049199199,267633766.3,0.019179975,0.014910035
0.977477477,0.098373373,186194486.5,0.08524496,0.013829072
0.984484484,0.757107107,289818226.1,0.013044004,0.031952725
0.977477477,0.728903904,164697373.6,0.102451414,0
0.984984985,0.278003003,291428121.2,0.095627046,0.003710876
0.963963964,0.110910911,73803823.6,0.081951812,0.003589915
0.970970971,0.209234234,119078489.1,0.080521434,0.014839294
0.974474474,0.078853854,258067909.7,0.024578733,0.007344121
0.946446446,0.049674675,195310234.4,0.024352804,0.008751952
0.949449449,0.0495996,199145401,0.009379722,0.019486678
0.946946947,0.049724725,192280271.6,0.029546897,0.004795271
0.902902903,0.112062062,0,0.058223823,0.014858456
0.957957958,0.739464464,0,0.076417141,0.028297238
0.982482482,0.532407407,238449147.6,0.087908171,0.014024108
0.975975976,0.052627628,209555669.7,0.084887929,0.013927709
0.985485485,0.920545546,309477198.6,0.051117173,0.013642895
0.973473473,0.049249249,266757632.8,0.029085114,0.007429776
0.972972973,0.051351351,175972351.6,0.088504156,0
0.977477477,0.048973974,284571837,0.02868981,0.003090116
0.914414414,0.306256256,0,0.056876106,0.018978331
0.979479479,0.078378378,285293590.9,0.016729187,0.01835896
0.976976977,0.05045045,215644291.3,0.09300359,0.002899195
0.980980981,0.372697698,279936781.6,0.03447327,0.004493184
0.957457457,0.04984985,208132890.5,0.038303759,0.004933863
0.877377377,0.121921922,0,0.014661346,0.016264293
0.873373373,0.091216216,0,0.017721888,0.015990704
0.983483483,0.627577578,284873296.2,0.018781334,0.023490897
0.968468468,0.049324324,246880839.9,0.008060705,0.020908941
0.983483483,0.598473473,294672558,0.022664153,0.02227238
0.966966967,0.099624625,134237668.4,0.09770463,0.004419808
0.975475475,0.049124124,276651646,0.028917208,0.004581369
0.946446446,0.0496997,189652226.1,0.024762059,0.01380615
0.978478478,0.084534535,277628200,0.007714197,0.023157656
0.935435435,0.36961962,0,0.052469212,0.020661222
0.979479479,0.078578579,283765396.3,0.022724941,0.013470239
0.98048048,0.10965966,287136287.2,0.041410179,0.006416621
0.971471471,0.051351351,169815982.4,0.09280933,0.002899195
0.971471471,0.063013013,258067909.7,0.030113755,0.004998612
0.984484484,0.808308308,284984755.4,0.038563242,0.014411004
0.956456456,0.385185185,0,#NAME?,0
0.981981982,0.288813814,285293590.9,0.019973148,0.02409325
0.968468468,0.357132132,99432912.03,0.09159564,0
0.971471471,0.062862863,258354533.9,0.022883748,0.014986842
0.983483483,0.643693694,285293590.9,0.033847192,0.014126628
0.982982983,0.351801802,232438768.8,0.079570285,0.015266101
0.959459459,0.0497998,216219819.3,0.025984798,0.004544776
0.983983984,0.6748999,228300985.1,0.081999525,0.024632023
0.983483483,0.626826827,287975539.7,0.014772322,0.029789119
0.977977978,0.048873874,289167918.9,0.009780858,0.019947111
0.913413413,0.063988989,69955970.69,0.073265006,0.004939273
0.963463463,0.09974975,106522052,0.078296597,0.014487381
0.98048048,0.601751752,258980608.8,0.044416967,0.012940459
0.976476476,0.054654655,279657684.6,0.015163944,0.019999588
0.960960961,0.04974975,219540834.4,0.00984822,0.021205189
0.966466466,0.051876877,145926236.8,0.082450386,0.014825688
0.975475475,0.068918919,190934507.9,0.104556403,0
0.98048048,0.121396396,215644291.3,0.082678854,0.003843952
0.957457457,0.04984985,208132890.5,0.021366497,0.014020199
0.968468468,0.051476476,149493880.8,0.098468352,0
0.97047047,0.066741742,249991307.6,0.023531149,0.014645631
0.946946947,0.054504505,188123505.9,0.019978021,0.01461515
0.981481481,0.65970971,268302522.8,0.036884283,0.014745628
0.98048048,0.382932933,203923378,0.102638045,0
0.965465465,0.049474474,237679222.8,0.01963958,0.014829469
0.985485485,0.473973974,292047565.3,0.111915745,0
0.985485485,0.894544545,314596296.3,0.016591527,0.033806165
0.908908909,0.177177177,0,0.055450857,0.01779514
0.985485485,0.923023023,289882406.9,0.047062372,0.017010671
0.984484484,0.903728729,279657684.6,0.027193523,0.023349329
0.967467467,0.086786787,131556696.6,0.100379953,0
0.955455455,0.226876877,0,0.090914026,0
0.982482482,0.660035035,278192945.8,0.035556038,0.01377458
0.963963964,0.052327327,136406834.7,0.095855272,0
0.983483483,0.626776777,288841330.9,0.029915021,0.018703767
0.961461461,0.04974975,219540834.4,0.013141477,0.020615217
0.976476476,0.633883884,164366223.8,0.086242231,0.00535738
0.946446446,0.0496997,189652226.1,0.041445533,0.00488548
0.978478478,0.08480981,276651646,0.032942543,0.008537212
0.948948949,0.049624625,198348148.2,0.041742024,0.00352891
0.977477477,0.781056056,164697373.6,0.092699249,0.00584119
0.928428428,0.117867868,76231745.31,0.021198329,0.014852478
0.945445445,0.067867868,162595388,0.024771983,0.004430669
0.983983984,0.681856857,226992625.9,0.099863084,0
0.978478478,0.05005005,284778002.8,0.094449971,0.004335656
0.96046046,0.051651652,217201712.5,0.024510294,0.008055538
0.946446446,0.053303303,169307096.6,0.020546337,0.018936593
0.982482482,0.524024024,238449147.6,0.094071706,0
0.978478478,0.071696697,287975539.7,0.008134266,0.022093073
0.976476476,0.23003003,162995428.5,0.092029543,0.009277354
0.944444444,0.064564565,159682869.2,0.03224073,0.008020698
0.978478478,0.072122122,285293590.9,0.022418019,0.009666515
0.973973974,0.049124124,272947293,0.024217517,0.00882299
0.902902903,0.060335335,0,0.076530022,0.003401759
0.968968969,0.049274274,248708500.9,0.019332867,0.014680684
0.975475475,0.270895896,159421726.1,0.091913569,0.009487736
0.981981982,0.299149149,283765396.3,0.018395478,0.01973792
0.927927928,0.124349349,76231745.31,0.028186197,0.004947928
0.973473473,0.073573574,259969808.4,0.006761516,0.022230847
0.982482482,0.298723724,286211436.8,0.020825796,0.019560634
0.956456456,0.0498999,207580550.3,0.0243625,0.008792384
0.946446446,0.053328328,169307096.6,0.029706809,0.014029503
0.948448448,0.04964965,197847000.3,0.032455957,0.008385039
0.965465465,0.04954955,237375752.6,0.030841671,0.00457968
0.985985986,0.900075075,331258667.5,0.024995591,0.024882391
0.949449449,0.0495996,198886946.5,0.019793383,0.0146687
0.98048048,0.717442442,259314712.6,0.032598582,0.009909779
0.98048048,0.704179179,259314712.6,0.0452164,0.003049892
0.956456456,0.054079079,207873660.7,0.028630066,0.003292897
0.939439439,0.175800801,69955970.69,0.078001939,0.002117461
0.98048048,0.185485485,288541163.2,0.02473048,0.008368805
0.98048048,0.117667668,287028844.8,0.023530466,0.014861505
0.98048048,0.290215215,277264802.5,0.019081783,0.0205546
0.981481481,0.681781782,276651646,0.032875559,0.008989419
0.97047047,0.066616617,254034322.4,0.024846791,0.004987481
0.982482482,0.872847848,265935611.3,0.017773206,0.029093677
0.98048048,0.301401401,278755529.7,0.026390842,0.008790211
0.924424424,0.050975976,76231745.31,0.02419488,0.01405398
0.982482482,0.870095095,266424319.8,0.009345944,0.032939136
0.985485485,0.88983984,309477198.6,0.031880931,0.021436166
0.98048048,0.624724725,185415392.9,0.088993338,0.013752564
0.968468468,0.049324324,247153135.3,0.010980498,0.018866747
0.961461461,0.053678679,218696874.6,0.018643434,0.015385817
0.979479479,0.086736737,215644291.3,#NAME?,0.004334598
0.976476476,0.050475475,215342831.5,0.082882139,0.014825688
0.964464464,0.066491491,229266879.2,0.056365771,0
0.966966967,0.481656657,69955970.69,0.084090763,0.004981557
0.981481481,0.635735736,208753010.1,0.077319133,0.024622872
0.924424424,0.050975976,76231745.31,0.0087841,0.021205189
0.984484484,0.852052052,287975539.7,0.009211041,0.032872831
0.926426426,0.074349349,76231745.31,0.029183944,0.00473607
0.972472472,0.749724725,118701868.7,0.09396711,0.001140184
0.98048048,0.778878879,194269784.1,0.083921835,0.016280426
0.944444444,0.11026026,0,0.077696577,0.014825688
0.982482482,0.358633634,284571837,0.030380567,0.006673227
0.983483483,0.822747748,276924984,0.009414576,0.032725721
0.964964965,0.09481982,122851175.8,0.100552569,0.002468566
0.980980981,0.904379379,210221272.5,0.066534287,0.01182499
0.981481481,0.107932933,264356987.8,0.112109766,0
0.977977978,0.434184184,174748749.2,0.084241874,0.004802763
0.979479479,0.741091091,176432491,0.097557959,0.000991808
0.971971972,0.080205205,248708500.9,0.028400511,0.003924811
0.985485485,0.888663664,386812223,0.020112083,0.032524967
0.98048048,0.634284284,258354533.9,0.035499093,0.010487986
0.947947948,0.052777778,174075502.6,0.022964633,0.008274218
0.945445445,0.051001001,168722476.7,0.025218463,0.005172446
0.885385385,0.063688689,0,0.061158073,0.014877684
0.969469469,0.082057057,238266143.6,0.034376219,0.004054153
0.965965966,0.058258258,138694983,0.080111608,0.014825688
0.967467467,0.550225225,69955970.69,0.094158544,0
0.945445445,0.053553554,167840652.2,0.008624336,0.021207328
0.969469469,0.103678679,139563210.3,0.092289492,0.007427832
0.973473473,0.049249249,265646845.7,0.034465073,0.003731152
0.93993994,0.095795796,146187716,0.038377374,0.000348365
0.976476476,0.048923924,285616659.2,0.024344931,0.00801298
0.977477477,0.064514515,215644291.3,0.083881051,0.014525485
0.963463463,0.099024024,84988833.74,0.085478079,0.013736112
0.982482482,0.359109109,284571837,0.040721653,0.003359344
0.981981982,0.602427427,231495570.3,0.068878869,0.008217804
0.941941942,0.052577578,158616738.9,0.028593403,0.005617388
0.928928929,0.189764765,0,0.078395983,0.002178773
0.954454454,0.05005005,198488207.9,0.009386999,0.021114131
0.975475475,0.876401401,138101952.1,0.07978508,0.031012858
0.955955956,0.062862863,196837015.8,0.028153977,0.004080461
0.935935936,0.059084084,89346100.53,0.061122791,0.009475246
0.981481481,0.279304304,232438768.8,0.099496506,0
0.981981982,0.288513514,287028844.8,0.009894783,0.027295246
0.971471471,0.765015015,107364795.1,0.098281877,0
0.975475475,0.052552553,230870007.1,0.079315472,0.014525485
0.973473473,0.080855856,168666181.8,0.085973117,0
0.981481481,0.632307307,188726127.8,0.0862157,0.005448065
0.96046046,0.049774775,216585440.3,0.044926264,0.003077985
0.975475475,0.23043043,159718974.5,0.078736708,0.014840456
0.981481481,0.589439439,279058447.3,0.044890107,0.004911608
0.963963964,0.10975976,72989095.33,0.076719102,0.014634688
0.936936937,0.051426426,149730636.7,0.027491573,0.004861502
0.968968969,0.074149149,239227173.8,0.024287214,0.008314335
0.98048048,0.648398398,256479345.4,0.036012083,0.009707444
