REL,RF,NPC,PFC,WCC,AFR
0.956956957,0.074274274,286705724.7,0.036249563,0,7829.664389
0.870870871,0.446521522,76231745.31,0.035734827,0.01361637,5855.466853
0.892892893,0.777052052,69955970.69,0.090879602,0,7829.664389
0.947947948,0.113838839,248708500.9,0.024573157,0.011540905,7829.664389
0.805805806,0.228878879,69955970.69,0.023043292,0.002750565,4524.187321
0.913913914,0.161211211,178870234.7,0.006915123,0.025370194,5855.466853
0.962962963,0.521221221,279657684.6,0.027919954,0.018398778,7829.664389
0.81981982,0.059834835,69955970.69,0.079616769,0.002844047,7829.664389
0.887887888,0.049774775,189361322.8,0.0348058,0.001408171,7829.664389
0.898898899,0.058208208,178001090.1,0.029631318,0.003741983,7829.664389
0.954954955,0.051576577,286705724.7,0.031907405,0.001441796,7829.664389
0.934934935,0.788438438,234417199,0.019308951,0.024394173,4524.187321
0.868868869,0.050625626,146187716,0.010587017,0.020777302,4524.187321
0.950950951,0.049024024,279936781.6,0.026308025,0.011818351,7829.664389
0.957957958,0.43993994,258047691.1,0.012592527,0.027789336,7829.664389
0.926926927,0.145670671,207338411.9,0.032638982,0.004528074,7829.664389
0.953953954,0.048898899,285616659.2,0.024423304,0.012477586,4524.187321
0.881881882,0.952502503,76231745.31,0.028729057,0.026113666,7829.664389
0.918918919,0.109984985,191462020.6,0.005397695,0.023559369,5855.466853
0.792792793,0.60543043,0,#NAME?,0.002497389,4524.187321
0.928928929,0.054204204,156157885.7,0.101213236,0,9220.348761
0.927927928,0.073998999,121615255,0.096187449,0,9220.348761
0.958958959,0.306506507,269068543.5,0.037939013,0.002855005,7829.664389
0.926926927,0.145345345,207873660.7,0.029797833,0.005908013,7829.664389
0.960960961,0.150850851,305919400.5,0.018459193,0.018076028,5855.466853
0.865865866,0.352452452,76231745.31,0.039438498,0.009868952,5855.466853
0.798798799,0.466591592,0,#NAME?,0.003753099,5855.466853
0.933933934,0.171046046,219848291.2,0.017185933,0.021429683,7829.664389
0.92992993,0.700825826,146518251.4,0.087494817,0.000676371,7829.664389
0.956956957,0.048723724,303224371.2,0.024886851,0.013853683,9220.348761
0.930930931,0.09456957,233382530.8,0.018015758,0.015922849,4524.187321
0.953953954,0.631431431,249991307.6,0.042065502,0.00485421,7829.664389
0.873873874,0.11514014,146187716,0.017622936,0.015742101,4524.187321
0.955955956,0.09481982,308670514.1,0.02131569,0.014264253,4524.187321
0.942942943,0.107107107,269811400.3,0.034411506,0.000808805,4524.187321
0.936936937,0.11956957,174315981.8,0.09731527,0,9220.348761
0.961961962,0.883283283,285616659.2,0.022932036,0.02312378,4524.187321
0.933933934,0.422222222,214743262.5,0.008009567,0.029971719,7829.664389
0.95995996,0.595670671,296937104.3,0.010907702,0.030226351,4524.187321
0.927927928,0.478953954,188188246.2,0.031402277,0.014884786,7829.664389
0.875875876,0.050550551,149442049.1,0.03351877,0.007896216,7829.664389
0.893893894,0.848273273,149220840.6,0.029827865,0.018440651,5855.466853
0.93993994,0.166691692,249991307.6,#NAME?,0.01558242,4524.187321
0.934934935,0.169944945,94423745.84,0.10183976,0,9220.348761
0.897897898,0.0503003,178870234.7,0.00844492,0.021205189,4524.187321
0.93993994,0.127027027,249991307.6,0.008900111,0.022782085,4524.187321
0.931931932,0.148298298,215682976.4,0.031392549,0.004751326,7829.664389
0.875875876,0.0503003,154417999.4,0.021481841,0.013909582,4524.187321
0.886886887,0.81483984,151690475.2,0.051742134,0.001141853,4524.187321
0.952952953,0.321021021,279657684.6,0.024077469,0.025267898,4524.187321
0.778778779,0.268568569,0,0.027328572,0.003491041,5855.466853
0.917917918,0.921796797,115201030.9,0.090868747,5.76E-05,7829.664389
0.915915916,0.102077077,189348160.9,0.027859059,0.011050517,7829.664389
0.914914915,0.444394394,194216544,0.029207343,0.007540356,4524.187321
0.950950951,0.051551552,256650656.2,#NAME?,0.004171957,9220.348761
0.902902903,0.054804805,189677478.7,0.028634138,0.004936172,7829.664389
0.923923924,0.093918919,108303393.5,0.095022645,0,9220.348761
0.90990991,0.496671672,166181389.7,0.014462627,0.027908489,7829.664389
0.922922923,0.652852853,131923105.2,0.065988339,0.015296578,7829.664389
0.956956957,0.142717718,269353185.6,0.033004916,0.003514959,7829.664389
0.915915916,0.941766767,191462020.6,0.035474992,0.011858529,4524.187321
0.931931932,0.051726727,160902390.6,0.099190281,0.001468816,9220.348761
0.940940941,0.152127127,229940508.7,0.054495768,0,7829.664389
0.880880881,0.922897898,76231745.31,0.029249458,0.02441187,7829.664389
0.863863864,0.212537538,76231745.31,0.032084028,0.011965145,5855.466853
0.917917918,0.666516517,129338562.2,0.061574143,0.021538024,7829.664389
0.912912913,0.04984985,207873660.7,0.0414924,0.003492911,4524.187321
0.946946947,0.049249249,269353185.6,0.030902103,0.003897832,9220.348761
0.898898899,0.050275275,179423369.8,0.021364345,0.01444718,7829.664389
0.926926927,0.080580581,219540834.4,0.01763423,0.016833862,7829.664389
0.917917918,0.152227227,204905316.3,#NAME?,0.01670449,4524.187321
0.886886887,0.299049049,159682869.2,0.006813124,0.026320496,4524.187321
0.928928929,0.614464464,146518251.4,#NAME?,0.013180534,7829.664389
0.880880881,0.166341341,149220840.6,0.015964913,0.026695383,4524.187321
0.882882883,0.364339339,73210303.77,0.073347288,0.004049129,7829.664389
0.960960961,0.737862863,254034322.4,0.037108743,0.007834168,7829.664389
0.928928929,0.478653654,188419007.8,0.007421544,0.028601534,7829.664389
0.934934935,0.40492993,217201712.5,0.033864233,0.006863431,7829.664389
0.894894895,0.04964965,197322433.8,0.00809695,0.021205189,7829.664389
0.908908909,0.099274274,178594807.6,#NAME?,0.014098771,7829.664389
0.914914915,0.092492492,207873660.7,0.012221108,0.022963562,4524.187321
0.928928929,0.063013013,229940508.7,0.018222826,0.01652362,7829.664389
0.898898899,0.51961962,149316434.7,0.042829195,0.004162973,7829.664389
0.938938939,0.113863864,228705486.7,#NAME?,0,7829.664389
0.864864865,0.08490991,69955970.69,0.093700765,0,7829.664389
0.938938939,0.910685686,230235840.5,0.007455153,0.032318548,4524.187321
0.87987988,0.788238238,76231745.31,0.023449083,0.021968828,5855.466853
0.94994995,0.1253003,173705038.4,0.102777378,0,9220.348761
0.930930931,0.06966967,227173810.2,0.020232092,0.015173149,7829.664389
0.917917918,0.135285285,168080485.5,0.070245353,0.005115108,7829.664389
0.898898899,0.050325325,177628088.1,0.011589235,0.018668151,7829.664389
0.934934935,0.049449449,249991307.6,0.027953562,0.001192242,4524.187321
0.913913914,0.511386386,168987141.9,0.028294306,0.017854158,7829.664389
0.94994995,0.606856857,197285176.1,0.081388246,0.013180534,7829.664389
0.891891892,0.071396396,164524258.3,0.019770479,0.015028714,7829.664389
0.876876877,0.872372372,120605270.4,0.037888899,0.004273987,5855.466853
0.935935936,0.049324324,257809143.7,0.022474629,0.013143348,4524.187321
0.907907908,0.118168168,188720278.2,0.021644691,0.01376369,4524.187321
0.962962963,0.922822823,223950702.7,0.087049758,0.011078187,7829.664389
0.935935936,0.921821822,69955970.69,0.098798227,0.006527885,9220.348761
0.935935936,0.394369369,217201712.5,0.021597483,0.019415453,7829.664389
0.965965966,0.344994995,307566442.8,0.040360456,0.009829122,5855.466853
0.93993994,0.14532032,228020443.8,0.031383528,0.004751326,7829.664389
0.94994995,0.049124124,278755529.7,0.011497449,0.020777302,4524.187321
0.865865866,0.352452452,76231745.31,0.031129237,0.0141971,5855.466853
0.967967968,0.688638639,289882406.9,0.018740946,0.026416734,7829.664389
0.90990991,0.496671672,166181389.7,0.024997021,0.018646399,7829.664389
0.862862863,0.174199199,76231745.31,0.020767222,0.017305408,7829.664389
0.926926927,0.080580581,219540834.4,0.027298446,0.011123055,7829.664389
0.960960961,0.077252252,341011729.2,0.016306852,0.02263615,7829.664389
0.885885886,0.065740741,130744148.9,0.063124098,0.009821541,7829.664389
0.876876877,0.720545546,76231745.31,0.018461601,0.023902725,5855.466853
0.942942943,0.107107107,269811400.3,0.023247182,0.00765565,4524.187321
0.934934935,0.648723724,164156431.8,0.086276014,0.000945941,7829.664389
0.923923924,0.049574575,229266879.2,0.030957611,0.003295999,7829.664389
0.958958959,0.306506507,269068543.5,0.027406584,0.008693344,7829.664389
0.924924925,0.049574575,232332117.3,0.034835578,0.000656514,4524.187321
0.934934935,0.40492993,217201712.5,0.039428507,0.003754493,7829.664389
0.92992993,0.479454454,196466583.1,0.026120738,0.011275892,7829.664389
0.845845846,0.051076076,76231745.31,0.027691527,0.00378784,4524.187321
0.91991992,0.049774775,216921681.8,0.021135335,0.014725421,7829.664389
0.95995996,0.082482482,290761726,0.029365386,0.009957327,7829.664389
0.878878879,0.076601602,156868979.4,0.021312716,0.014034775,4524.187321
0.926926927,0.080680681,219540834.4,0.040124387,0.006266571,7829.664389
0.924924925,0.156131131,202889761,0.024053349,0.00589424,5855.466853
0.856856857,0.124099099,76231745.31,0.020910485,0.014991326,7829.664389
0.943943944,0.138263263,235653471.4,0.034761636,0.009962067,7829.664389
0.961961962,0.86473974,218041024.6,0.092642043,0.020807514,9220.348761
0.913913914,0.159834835,199661126,0.031676073,0.005412759,4524.187321
0.904904905,0.396996997,179703523.1,0.024418934,0.022497219,4524.187321
0.870870871,0.540215215,76231745.31,0.043863308,0.009548402,5855.466853
0.904904905,0.134134134,124230639.8,0.083531097,0,7829.664389
0.890890891,0.05045045,169454125.1,0.02226578,0.014321545,7829.664389
0.886886887,0.204454454,118701868.7,0.071690322,0.004850823,7829.664389
0.934934935,0.102727728,176707127.6,0.106831925,0,9220.348761
0.875875876,0.193293293,147250624.8,0.022349379,0.007372336,4524.187321
0.853853854,0.326676677,76231745.31,#NAME?,0.011931378,4524.187321
0.881881882,0.947497497,146187716,0.006303983,0.028492425,4524.187321
0.865865866,0.414289289,133164854.8,0.029690329,0.014964825,5855.466853
0.938938939,0.139264264,118100429.2,0.102410438,0,9220.348761
0.913913914,0.074224224,196133511.1,0.039787914,0.004959108,7829.664389
0.942942943,0.142442442,235950719.9,0.028719823,0.004367062,5855.466853
0.955955956,0.048823824,295135628.4,0.022945703,0.014993538,9220.348761
0.867867868,0.385985986,76231745.31,0.022194169,0.019250302,5855.466853
0.930930931,0.649524525,156200378.6,0.066016194,0.015294838,7829.664389
0.962962963,0.9251001,307402785.4,0.014976509,0.032282361,4524.187321
0.941941942,0.877927928,247153135.3,0.034905183,0.0081033,4524.187321
0.940940941,0.098973974,250234095.2,0.02898162,0.004506179,4524.187321
0.963963964,0.372272272,285616659.2,0.043525513,0.002001372,7829.664389
0.922922923,0.049724725,228461634.8,0.029806449,0.0037589,7829.664389
0.846846847,0.097222222,76231745.31,0.030645602,0.009041591,4524.187321
0.930930931,0.073273273,225383608.3,0.015958488,0.018729046,7829.664389
0.888888889,0.336561562,146187716,0.030820868,0.013813079,5855.466853
0.958958959,0.051476476,384720433.3,0.027340089,0.00463938,7829.664389
0.91991992,0.04974975,218478201.1,0.007347036,0.021205189,4524.187321
0.940940941,0.070245245,248953535.6,0.025882299,0.004777698,7829.664389
0.968968969,0.799524525,308670514.1,0.010838657,0.032624486,5855.466853
0.921921922,0.079179179,76324464.94,0.096264619,0,9220.348761
0.948948949,0.12007007,249991307.6,0.018236761,0.01787464,7829.664389
0.95995996,0.589914915,385813096.3,0.008618463,0.027381235,4524.187321
0.857857858,0.298298298,131041512.8,0.010411,0.019248737,4524.187321
0.964964965,0.919119119,231495570.3,0.047328336,0.034285626,7829.664389
0.913913914,0.054104104,209519658.9,0.031593211,0.002534834,7829.664389
0.913913914,0.185510511,178336749.8,0.032065663,0.004665364,5855.466853
0.886886887,0.135910911,129839105.5,0.062957945,0.010493274,7829.664389
0.781781782,0.21509009,0,0.040340019,0,4524.187321
0.881881882,0.953353353,76231745.31,0.008276189,0.035894467,7829.664389
0.920920921,0.049774775,217201712.5,0.010110706,0.021205189,9220.348761
0.878878879,0.752027027,117312425.9,0.023257394,0.021830603,5855.466853
0.956956957,0.14512012,304852069.3,0.035770804,0.009119638,4524.187321
0.966966967,0.791741742,288228286.5,0.031217744,0.011388892,7829.664389
0.850850851,0.074499499,76231745.31,0.04773304,0,7829.664389
0.920920921,0.088013013,215682976.4,#NAME?,0.011781835,4524.187321
0.908908909,0.052652653,0,0.081709978,0.014286476,9220.348761
0.846846847,0.131906907,76231745.31,0.028687272,0.002817539,4524.187321
0.962962963,0.724574575,261191335.8,0.014687333,0.031614585,7829.664389
0.932932933,0.152477477,215682976.4,0.006832007,0.025117411,7829.664389
0.967967968,0.783383383,305037315.5,0.041731516,0.004703442,5855.466853
0.957957958,0.085335335,345216749.2,0.024409323,0.013436872,4524.187321
0.864864865,0.239714715,76231745.31,0.027276839,0.014275962,5855.466853
0.852852853,0.074299299,76231745.31,0.01661267,0.016496877,7829.664389
0.95995996,0.670545546,263168536.9,0.043777647,0.002594126,5855.466853
0.901901902,0.058033033,177313292.5,0.02145661,0.013886772,7829.664389
0.892892893,0.7001001,69955970.69,0.06473541,0.019020531,7829.664389
0.903903904,0.113913914,182744616.1,0.041965585,0.00456489,4524.187321
0.95995996,0.096596597,287028844.8,0.030546902,0.003565326,7829.664389
0.903903904,0.049524525,208154850.5,0.016448195,0.017939912,4524.187321
0.93993994,0.049399399,266731562.9,0.023215104,0.004994448,4524.187321
0.848848849,0.164614615,76231745.31,0.025226139,0.014528289,4524.187321
0.957957958,0.683433433,248708500.9,0.021787914,0.023967955,7829.664389
0.958958959,0.742492492,245921151.9,0.014714699,0.030114212,7829.664389
0.923923924,0.13460961,75458729.94,0.094398777,0,9220.348761
0.966966967,0.687887888,287975539.7,0.019068429,0.024412766,7829.664389
0.92992993,0.463888889,194955262,0.022649126,0.019049319,7829.664389
0.94994995,0.049074074,275176613.9,0.021099936,0.014317881,4524.187321
0.912912913,0.706106106,104303828.4,0.077971118,0.004846388,7829.664389
0.943943944,0.186711712,259314712.6,0.027661251,0.013695859,4524.187321
0.907907908,0.05955956,176188656.4,0.073874889,0.013011187,7829.664389
0.90990991,0.482832833,162840286.1,0.015487885,0.026923599,7829.664389
0.911911912,0.075575576,189625238.3,0.037768105,0,5855.466853
0.90990991,0.057057057,194955262,0.023285461,0.012887978,7829.664389
0.928928929,0.087862863,229940508.7,#NAME?,0.001024918,4524.187321
0.940940941,0.120695696,229019759.3,0.0285359,0.010868444,7829.664389
0.942942943,0.11539039,236548264.3,0.034964029,0.009083806,5855.466853
0.948948949,0.497772773,238266143.6,0.021519472,0.021819199,7829.664389
0.881881882,0.952877878,76231745.31,0.016155957,0.034270256,7829.664389
0.865865866,0.215465465,69955970.69,#NAME?,0,7829.664389
0.933933934,0.049274274,248473914,0.008852243,0.021205189,4524.187321
0.890890891,0.106881882,169408381.7,0.027602597,0.004085478,4524.187321
0.947947948,0.053453453,217204025.3,0.092870318,0.003852265,9220.348761
0.87987988,0.748048048,76231745.31,0.037366441,0.007813616,7829.664389
0.911911912,0.118293293,179974666.2,0.026197609,0.007631774,7829.664389
0.888888889,0.101526527,167285332.3,0.02494407,0.005607293,4524.187321
0.93993994,0.089189189,259685735.3,0.022329051,0.013916672,4524.187321
0.952952953,0.074674675,269353185.6,0.018026074,0.015944444,5855.466853
0.903903904,0.077677678,175794798.5,0.044600998,0.003954308,7829.664389
0.924924925,0.086486486,217201712.5,0.022866062,0.01033585,5855.466853
0.906906907,0.05005005,199151593.8,#NAME?,0.014549941,4524.187321
0.96996997,0.923473473,284213262.7,0.013229533,0.03581931,5855.466853
0.954954955,0.45472973,276134593.3,0.023870678,0.019170788,4524.187321
0.942942943,0.120720721,134130544.5,0.105335378,0,9220.348761
0.81981982,0.970495495,0,#NAME?,0.007415167,5855.466853
0.930930931,0.844894895,197554777.4,0.049125848,0.002152779,5855.466853
0.838838839,0.113513514,0,0.076361203,0.00267257,7829.664389
0.871871872,0.47525025,76231745.31,0.028267857,0.010527623,7829.664389
0.898898899,0.800725726,164222050.3,0.025773338,0.019903665,4524.187321
0.964964965,0.296946947,374731137.2,0.01905719,0.020516407,5855.466853
0.956956957,0.481781782,279058447.3,0.022946732,0.019486046,4524.187321
0.885885886,0.051251251,166955976.9,0.029309094,0.004873432,4524.187321
0.874874875,0.051326326,161174886,0.024465147,0.002442861,4524.187321
0.93993994,0.102802803,238540321.3,0.017641333,0.017275036,7829.664389
0.971971972,0.894194194,401342377.4,0.019401034,0.030918816,7829.664389
0.934934935,0.068668669,237375752.6,0.026736916,0.005582824,7829.664389
0.843843844,0.418243243,0,0.073928874,0.016651861,7829.664389
0.856856857,0.124099099,76231745.31,0.037597693,0.006586512,7829.664389
0.852852853,0.462137137,76231745.31,0.030076725,0.006159858,4524.187321
0.961961962,0.282632633,296314879.3,0.039089636,0.00159048,5855.466853
0.951951952,0.605705706,219172362.9,0.081489391,0.013038582,7829.664389
0.915915916,0.16458959,173759562.2,0.080797375,0.003074816,7829.664389
0.887887888,0.196821822,125589013.1,0.069599735,0.005804317,7829.664389
0.947947948,0.497797798,238266143.6,0.042865694,0.011202124,7829.664389
0.94994995,0.667467467,239227173.8,0.026782525,0.015145262,7829.664389
0.886886887,0.81483984,151690475.2,0.039074037,0.007153947,4524.187321
0.932932933,0.626676677,197570384.7,0.073806003,0.003434003,7829.664389
0.920920921,0.061261261,214159114.4,0.029209966,0.00290621,5855.466853
0.874874875,0.200750751,146187716,0.03309465,0.001880253,4524.187321
0.945945946,0.319119119,256479345.4,0.019711526,0.029344875,4524.187321
0.888888889,0.491041041,69955970.69,0.067921527,0.014559915,7829.664389
0.847847848,0.122797798,76231745.31,0.046983456,0.000966051,4524.187321
0.957957958,0.494319319,257434161,0.032404347,0.007810618,5855.466853
0.943943944,0.109459459,245256856.1,0.032775171,0.002105836,5855.466853
0.955955956,0.110335335,358652070.2,0.043503783,0.004674082,4524.187321
0.892892893,0.101226226,167285332.3,0.023755567,0.006877594,5855.466853
0.955955956,0.11498999,187425951.3,0.103215765,0,9220.348761
0.907907908,0.142642643,175440107.3,0.029310695,0.004900505,5855.466853
0.964964965,0.296846847,308670514.1,0.031118584,0.014022692,7829.664389
0.924924925,0.174074074,217522915.7,0.031361846,0.011941847,4524.187321
0.880880881,0.122222222,146187716,0.022956376,0.004812519,5855.466853
0.924924925,0.064714715,229940508.7,0.029359666,0.002588516,7829.664389
0.955955956,0.048898899,286211436.8,0.042026735,0.005607319,7829.664389
0.962962963,0.919894895,220083134,0.051996817,0.031260973,7829.664389
0.867867868,0.414214214,76231745.31,0.03840503,0.004552779,7829.664389
0.866866867,0.384634635,76231745.31,0.039797942,0.009909291,5855.466853
0.967967968,0.756156156,298333720.2,0.026340897,0.022866446,9220.348761
0.863863864,0.214439439,76231745.31,0.03214893,0.005996093,7829.664389
0.958958959,0.511386386,257805183.6,0.043615185,0.003101857,7829.664389
0.956956957,0.388588589,439583598.7,0.034074598,0.004508533,4524.187321
0.946946947,0.760935936,187568622.1,0.094863607,0,7829.664389
0.964964965,0.296846847,308670514.1,0.022269093,0.018868975,7829.664389
0.944944945,0.172147147,239227173.8,0.024149693,0.013485898,7829.664389
0.951951952,0.049024024,279936781.6,0.021770065,0.015570743,9220.348761
0.925925926,0.643668669,216585440.3,0.021031257,0.019257621,4524.187321
0.950950951,0.591491491,239550232,0.021540846,0.021472695,7829.664389
0.955955956,0.181281281,286211436.8,0.008767798,0.027610121,4524.187321
